Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
24/06/2013,126.2188,126.25,125.0156,125.9531,1973159,2113761,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125953,125.9531,125.1719,0.962044766,7429
25/06/2013,126.0156,126.5469,125.5156,125.7031,1599760,2100321,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125703,125.7031,124.9219,1.121984252,7430
26/06/2013,125.6094,126.4375,125.3281,126.1563,1407693,2088849,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126156,126.1563,125.375,1.301880278,7431
27/06/2013,126.2188,126.7813,126.0625,126.6406,1308690,2101610,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126641,126.6406,125.7031,1.387694839,7432
28/06/2013,126.7031,126.9219,125.9844,126.5625,1436070,2137970,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126563,126.5625,125.625,1.424305286,7433
01/07/2013,126.375,126.6875,125.9688,126.5313,852394,2160389,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126531,126.5313,125.5938,1.442963824,7434
02/07/2013,126.6563,126.8125,126.4219,126.6094,812642,2154501,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126609,126.6094,125.7031,1.451216305,7435
03/07/2013,126.5781,127.0781,126.1875,126.6094,874195,2136880,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126609,126.6094,125.7031,1.425179979,7436
04/07/2013,126.5781,127.0781,126.1875,126.3594,874195,2136880,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126359,126.3594,125.4531,1.360993764,7437
05/07/2013,126.2031,126.2344,124.4844,124.6563,1729783,2197741,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124656,124.6563,123.75,1.3402109,7438
08/07/2013,124.625,125.3438,124.3594,125.2813,1050649,2227174,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125281,125.2813,124.375,1.44728521,7439
09/07/2013,125.3438,125.6094,125.125,125.5,826053,2224506,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125500,125.5,124.6094,1.459598653,7440
10/07/2013,125.4688,125.7188,125.1563,125.2813,1149948,2192757,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125281,125.2813,124.375,1.449391967,7441
11/07/2013,125.875,126.5,125.8438,126.3125,1274382,2169523,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126313,126.3125,125.4531,1.398104987,7442
12/07/2013,126.25,126.7969,126.0625,126.0938,972626,2134372,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126094,126.0938,125.2344,1.208447647,7443
15/07/2013,126.1563,126.6094,125.8125,126.5,762137,2135597,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126500,126.5,125.6406,1.004289034,7444
16/07/2013,126.5938,126.8281,126.4375,126.5938,843310,2110112,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126594,126.5938,125.75,0.726209641,7445
17/07/2013,126.5781,127.3125,126.3438,127.0156,1287702,2096246,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127016,127.0156,126.1875,0.60899018,7446
18/07/2013,126.9844,127.2813,126.6094,126.75,1011918,2141649,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126750,126.75,125.8906,0.602431178,7447
19/07/2013,126.7813,127.1563,126.7031,127.0938,654620,2161071,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127094,127.0938,126.2656,0.61816773,7448
22/07/2013,127.0781,127.3125,127.0625,127.1094,603203,2181155,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127109,127.1094,126.2813,0.65109676,7449
23/07/2013,127.2031,127.2188,126.7813,126.9531,778470,2193979,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126953,126.9531,126.0938,0.668332201,7450
24/07/2013,127.0313,127.0469,126.1094,126.4219,1133171,2207634,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126422,126.4219,125.5156,0.683785587,7451
25/07/2013,126.4375,126.6719,126.0938,126.2969,1201656,2213235,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126297,126.2969,125.3594,0.680269938,7452
26/07/2013,126.5938,126.8125,126.4531,126.6875,700602,2223237,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126688,126.6875,125.7813,0.677911491,7453
29/07/2013,126.625,126.8125,126.375,126.5313,677973,2240811,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126531,126.5313,125.625,0.681627873,7454
30/07/2013,126.4375,126.6563,126.3594,126.4219,740638,2273017,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126422,126.4219,125.5156,0.68003454,7455
31/07/2013,126.4063,126.625,125.5313,126.4375,1660001,2292981,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126438,126.4375,125.5,0.676928566,7456
01/08/2013,126.5,126.5469,125.3594,125.375,1340420,2346304,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125375,125.375,124.375,0.677492281,7457
02/08/2013,125.5,126.625,125.1563,126.5781,1561903,2303634,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126578,126.5781,125.6563,0.594914373,7458
05/08/2013,126.5625,126.6406,126.1719,126.3438,699487,2296571,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126344,126.3438,125.4063,0.537024466,7459
06/08/2013,126.375,126.4844,126.1875,126.3594,672231,2291247,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126359,126.3594,125.4063,0.489637647,7460
07/08/2013,126.3594,126.75,126.3281,126.6406,946211,2267487,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126641,126.6406,125.7188,0.399202828,7461
08/08/2013,126.6406,126.9063,126.5781,126.8125,920049,2237014,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126813,126.8125,125.8906,0.396828877,7462
09/08/2013,126.75,126.875,126.6406,126.8125,520223,2229800,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126813,126.8125,125.8906,0.386348634,7463
12/08/2013,126.7969,126.9844,126.4844,126.625,732539,2235693,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126625,126.625,125.7031,0.389623155,7464
13/08/2013,126.5156,126.5156,125.5781,125.7031,1390906,2266667,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125703,125.7031,124.7031,0.38970004,7465
14/08/2013,125.6719,125.9063,125.5625,125.7813,785023,2268279,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125781,125.7813,124.7813,0.425316191,7466
15/08/2013,125.7969,125.875,124.8125,125.5,1682284,2258201,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125500,125.5,124.4375,0.453808152,7467
16/08/2013,125.4219,125.4688,124.6563,124.9844,1145450,2238945,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124984,124.9844,123.875,0.47924664,7468
19/08/2013,125.0156,125.0156,124.4844,124.6094,1021671,2254685,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124609,124.6094,123.4375,0.545201693,7469
20/08/2013,124.6563,125.2813,124.6563,125.1719,1036793,2200436,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125172,125.1719,124.0313,0.640562934,7470
21/08/2013,125.1563,125.2344,124.3906,124.7188,1278075,2198544,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124719,124.7188,123.5469,0.674774683,7471
22/08/2013,124.4688,124.5625,124.0781,124.2656,1225230,2206271,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124266,124.2656,123,0.741462072,7472
23/08/2013,124.3906,125.0469,124,124.8594,1476295,2105820,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124859,124.8594,123.625,0.821466287,7473
26/08/2013,124.9375,125.2656,124.7969,125.0469,1078713,1920804,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125047,125.0469,123.8281,0.836939128,7474
27/08/2013,125.1563,125.875,125.0313,125.7344,1923633,1476295,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125734,125.7344,124.6094,0.83866239,7475
28/08/2013,124.625,124.7188,123.9688,124.0938,2402128,1539829,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124094,125.2656,124.0938,0.820423664,7476
29/08/2013,124.2188,124.4375,123.625,124.375,1774220,1845311,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124375,125.5,124.375,0.896059432,7477
30/08/2013,124.2969,124.4688,123.9844,124.375,1294282,1947692,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124375,125.5,124.375,0.906671607,7478
02/09/2013,124.2969,124.4688,123.9844,124.2813,1294282,1947692,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124281,125.3438,124.2813,0.916929908,7479
03/09/2013,123.8594,123.8906,122.9844,123.5625,1641880,2007823,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123563,124.6563,123.5625,0.919202075,7480
04/09/2013,123.5313,123.5938,123.0156,123.0938,1031353,2027353,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123094,124.1875,123.0938,0.937836222,7481
