Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,Instrument,st_dev,no_days
28/10/1997,862,933,844,924.5,15742,14796,Future,CME,USD,0.25,12.5,50,43700,ES1 Index,25.0853,35
29/10/1997,924,942,916.25,924.25,30380,15354,Future,CME,USD,0.25,12.5,50,46225,ES1 Index,26.7762,36
30/10/1997,924.5,928.5,902,903,14343,15041,Future,CME,USD,0.25,12.5,50,46212.5,ES1 Index,28.1705,37
31/10/1997,902,926.25,889.75,924,25784,14863,Future,CME,USD,0.25,12.5,50,45150,ES1 Index,30.8586,38
03/11/1997,923.75,948,921.25,945.75,22724,15073,Future,CME,USD,0.25,12.5,50,46200,ES1 Index,31.2044,39
04/11/1997,946,946.75,936.25,942,22117,15299,Future,CME,USD,0.25,12.5,50,47287.5,ES1 Index,30.0378,40
05/11/1997,941.5,956,938.25,947,19828,15517,Future,CME,USD,0.25,12.5,50,47100,ES1 Index,29.1762,41
06/11/1997,946.5,947.5,937.25,942.25,13406,15339,Future,CME,USD,0.25,12.5,50,47350,ES1 Index,28.3586,42
07/11/1997,942.25,943,916.5,931.25,23383,15860,Future,CME,USD,0.25,12.5,50,47112.5,ES1 Index,27.509,43
10/11/1997,930,940.5,922.75,926.25,16574,15564,Future,CME,USD,0.25,12.5,50,46562.5,ES1 Index,26.7044,44
11/11/1997,926,932.75,922.5,926.5,20725,15508,Future,CME,USD,0.25,12.5,50,46312.5,ES1 Index,25.6847,45
12/11/1997,926.5,929.5,905.5,908.25,28062,16443,Future,CME,USD,0.25,12.5,50,46325,ES1 Index,24.6374,46
13/11/1997,907,922.5,902.5,919.25,25268,16425,Future,CME,USD,0.25,12.5,50,45412.5,ES1 Index,25.0195,47
14/11/1997,920,934.75,915,932.5,9785,16821,Future,CME,USD,0.25,12.5,50,45962.5,ES1 Index,25.0969,48
17/11/1997,932,954.5,932,950,20674,16590,Future,CME,USD,0.25,12.5,50,46625,ES1 Index,24.1745,49
18/11/1997,950,954.5,940,942.5,22133,16724,Future,CME,USD,0.25,12.5,50,47500,ES1 Index,21.8466,50
19/11/1997,942.25,951.5,936.25,947.75,21385,16891,Future,CME,USD,0.25,12.5,50,47125,ES1 Index,19.4621,51
20/11/1997,948,965.5,947,963,9752,17424,Future,CME,USD,0.25,12.5,50,47387.5,ES1 Index,18.9644,52
21/11/1997,962.5,971,957.5,969.5,7706,17388,Future,CME,USD,0.25,12.5,50,48150,ES1 Index,20.2452,53
24/11/1997,968.5,969,947,949.75,18384,16888,Future,CME,USD,0.25,12.5,50,48475,ES1 Index,17.1297,54
25/11/1997,950,957.5,944.75,951.75,169,16756,Future,CME,USD,0.25,12.5,50,47487.5,ES1 Index,17.2296,55
26/11/1997,952,959.75,948.75,955,2108,17088,Future,CME,USD,0.25,12.5,50,47587.5,ES1 Index,17.2925,56
28/11/1997,954.75,962.25,953.75,955,12532,16750,Future,CME,USD,0.25,12.5,50,47750,ES1 Index,15.4612,57
01/12/1997,955.5,979.75,955,979.5,20505,16968,Future,CME,USD,0.25,12.5,50,47750,ES1 Index,15.2294,58
02/12/1997,980,982,972,975,22124,16908,Future,CME,USD,0.25,12.5,50,48975,ES1 Index,17.4504,59
03/12/1997,974.75,983.75,967.75,977.5,24283,17130,Future,CME,USD,0.25,12.5,50,48750,ES1 Index,18.8127,60
04/12/1997,977.5,985.75,972.5,977,26187,17283,Future,CME,USD,0.25,12.5,50,48875,ES1 Index,20.1649,61
05/12/1997,976.25,989,963,986.5,22469,17976,Future,CME,USD,0.25,12.5,50,48850,ES1 Index,21.2111,62
08/12/1997,986.5,989.75,980.5,984.5,19903,17805,Future,CME,USD,0.25,12.5,50,49325,ES1 Index,22.3514,63
09/12/1997,984.75,986.25,974.5,979,22891,17979,Future,CME,USD,0.25,12.5,50,49225,ES1 Index,22.5827,64
10/12/1997,978.75,979.75,963.5,970.25,15467,18095,Future,CME,USD,0.25,12.5,50,48950,ES1 Index,22.0687,65
11/12/1997,969.75,970.25,951.25,954.5,5127,17501,Future,CME,USD,0.25,12.5,50,48512.5,ES1 Index,18.6056,66
12/12/1997,948.5,965,946.75,955.5,1060,16922,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,15.7085,67
15/12/1997,956,967.25,951,963.25,1936,16312,Future,CME,USD,0.25,12.5,50,47775,ES1 Index,14.0065,68
16/12/1997,963,974.25,963,969.5,1321,15974,Future,CME,USD,0.25,12.5,50,48162.5,ES1 Index,13.5732,69
17/12/1997,969,975.5,964,964.5,1030,14403,Future,CME,USD,0.25,12.5,50,48475,ES1 Index,12.4428,70
18/12/1997,965.25,966,949.75,954.5,581,13821,Future,CME,USD,0.25,12.5,50,48225,ES1 Index,11.6047,71
19/12/1997,964,964.5,935,957.5,25275,6405,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,11.9424,72
22/12/1997,956.75,968.25,948.25,962.75,15530,5873,Future,CME,USD,0.25,12.5,50,47875,ES1 Index,12.116,73
23/12/1997,962.75,965,944,945,3671,6022,Future,CME,USD,0.25,12.5,50,48137.5,ES1 Index,11.4788,74
24/12/1997,944.75,953.5,941.5,941.75,5543,5973,Future,CME,USD,0.25,12.5,50,47250,ES1 Index,12.0665,75
26/12/1997,944,949.5,943,946,8232,5969,Future,CME,USD,0.25,12.5,50,47087.5,ES1 Index,13.1142,76
29/12/1997,945.5,966.5,941.25,965.75,12885,6254,Future,CME,USD,0.25,12.5,50,47300,ES1 Index,13.6819,77
30/12/1997,966.5,980.5,965.5,979.25,11839,5861,Future,CME,USD,0.25,12.5,50,48287.5,ES1 Index,13.2558,78
31/12/1997,979.5,984,975.25,979,9914,5968,Future,CME,USD,0.25,12.5,50,48962.5,ES1 Index,13.4724,79
02/01/1998,979.25,984.75,972.5,984.75,17126,5918,Future,CME,USD,0.25,12.5,50,48950,ES1 Index,13.5541,80
05/01/1998,984.25,992.75,976.5,987,25319,6750,Future,CME,USD,0.25,12.5,50,49237.5,ES1 Index,14.0414,81
06/01/1998,987,987.75,970.5,971,26364,6882,Future,CME,USD,0.25,12.5,50,49350,ES1 Index,14.0835,82
07/01/1998,970.75,974.75,960.5,974,27332,7490,Future,CME,USD,0.25,12.5,50,48550,ES1 Index,13.3946,83
08/01/1998,973.75,977.25,960.5,961.25,32119,8034,Future,CME,USD,0.25,12.5,50,48700,ES1 Index,13.1465,84
09/01/1998,962,963,925.5,929.5,38200,9051,Future,CME,USD,0.25,12.5,50,48062.5,ES1 Index,13.0903,85
12/01/1998,929,948.25,914.5,945.5,12443,8383,Future,CME,USD,0.25,12.5,50,46475,ES1 Index,15.1904,86
13/01/1998,945.5,960,944.5,959.5,12290,8435,Future,CME,USD,0.25,12.5,50,47275,ES1 Index,15.6217,87
14/01/1998,960,966.25,953.75,963.25,11956,7763,Future,CME,USD,0.25,12.5,50,47975,ES1 Index,15.6314,88
15/01/1998,963.5,964,954.75,955,318,7967,Future,CME,USD,0.25,12.5,50,48162.5,ES1 Index,15.5302,89
16/01/1998,955,972.75,952.5,968.5,20275,7942,Future,CME,USD,0.25,12.5,50,47750,ES1 Index,15.5869,90
20/01/1998,971.5,986,966.75,985.25,24862,8373,Future,CME,USD,0.25,12.5,50,48425,ES1 Index,15.5849,91
21/01/1998,984.5,985.25,967.5,975.5,29693,9295,Future,CME,USD,0.25,12.5,50,49262.5,ES1 Index,16.4265,92
22/01/1998,977.25,977.5,964.25,966.25,15723,9884,Future,CME,USD,0.25,12.5,50,48775,ES1 Index,16.6586,93
23/01/1998,966,972.5,955,964.5,27570,10409,Future,CME,USD,0.25,12.5,50,48312.5,ES1 Index,16.01,94
26/01/1998,961,969.75,953.5,963.5,15369,10537,Future,CME,USD,0.25,12.5,50,48225,ES1 Index,14.9797,95
27/01/1998,963.25,979.75,960.75,973.75,28488,10831,Future,CME,USD,0.25,12.5,50,48175,ES1 Index,14.175,96
28/01/1998,974,985,973,982,13700,10946,Future,CME,USD,0.25,12.5,50,48687.5,ES1 Index,14.2458,97
29/01/1998,982,999,979.75,987,14103,11468,Future,CME,USD,0.25,12.5,50,49100,ES1 Index,14.383,98
30/01/1998,987.75,993.5,984,987.75,26001,11788,Future,CME,USD,0.25,12.5,50,49350,ES1 Index,14.8377,99
02/02/1998,988,1009,987.75,1004,23282,11364,Future,CME,USD,0.25,12.5,50,49387.5,ES1 Index,15.0375,100
03/02/1998,1002.75,1011.75,1001.25,1010.75,13638,11867,Future,CME,USD,0.25,12.5,50,50200,ES1 Index,16.6262,101
04/02/1998,1011,1014.75,1002.75,1009.75,13611,12211,Future,CME,USD,0.25,12.5,50,50537.5,ES1 Index,19.158,102
05/02/1998,1009.5,1019.25,1004,1009,13044,12561,Future,CME,USD,0.25,12.5,50,50487.5,ES1 Index,21.0854,103
06/02/1998,1009,1019,1008,1019,11404,12825,Future,CME,USD,0.25,12.5,50,50450,ES1 Index,22.3768,104
09/02/1998,1019,1022,1010.25,1015,23918,13261,Future,CME,USD,0.25,12.5,50,50950,ES1 Index,21.4909,105
10/02/1998,1014.75,1027.75,1012.5,1024.25,22100,13913,Future,CME,USD,0.25,12.5,50,50750,ES1 Index,21.1116,106
11/02/1998,1024,1026.5,1019.5,1023.75,22740,14607,Future,CME,USD,0.25,12.5,50,51212.5,ES1 Index,22.1104,107
12/02/1998,1023.5,1031.5,1011.25,1026.75,325,15090,Future,CME,USD,0.25,12.5,50,51187.5,ES1 Index,22.7589,108
13/02/1998,1026.75,1028.25,1020.75,1022.25,9176,14853,Future,CME,USD,0.25,12.5,50,51337.5,ES1 Index,22.4457,109
17/02/1998,1022.5,1033.5,1017.5,1027.5,20951,14522,Future,CME,USD,0.25,12.5,50,51112.5,ES1 Index,22.3685,110
18/02/1998,1027.5,1036,1024,1035.25,11141,15475,Future,CME,USD,0.25,12.5,50,51375,ES1 Index,23.1821,111
19/02/1998,1035.5,1038,1028.75,1030.75,11325,16408,Future,CME,USD,0.25,12.5,50,51762.5,ES1 Index,23.7774,112
20/02/1998,1030.25,1038,1024.75,1037.5,22579,16218,Future,CME,USD,0.25,12.5,50,51537.5,ES1 Index,22.8656,113
23/02/1998,1037.25,1045.75,1033.75,1041.25,24826,16616,Future,CME,USD,0.25,12.5,50,51875,ES1 Index,21.5785,114
24/02/1998,1041.5,1041.75,1030.25,1033.75,9873,16554,Future,CME,USD,0.25,12.5,50,52062.5,ES1 Index,19.5528,115
25/02/1998,1033.25,1049.5,1032.75,1045.5,20592,16711,Future,CME,USD,0.25,12.5,50,51687.5,ES1 Index,17.4073,116
26/02/1998,1045.5,1052.5,1042,1052,20836,16748,Future,CME,USD,0.25,12.5,50,52275,ES1 Index,16.3314,117
27/02/1998,1050.5,1055,1046,1050.5,21040,16779,Future,CME,USD,0.25,12.5,50,52600,ES1 Index,15.7055,118
02/03/1998,1049.25,1057,1046.5,1050,23240,17053,Future,CME,USD,0.25,12.5,50,52525,ES1 Index,14.1863,119
03/03/1998,1049.5,1056.5,1044.75,1055.5,25765,17106,Future,CME,USD,0.25,12.5,50,52500,ES1 Index,13.9135,120
04/03/1998,1055.25,1055.5,1043.5,1048,16113,17654,Future,CME,USD,0.25,12.5,50,52775,ES1 Index,14.3076,121
05/03/1998,1045.75,1046,1032,1038.5,13853,18552,Future,CME,USD,0.25,12.5,50,52400,ES1 Index,13.67,122
06/03/1998,1038.5,1058,1034.5,1057.5,11336,18004,Future,CME,USD,0.25,12.5,50,51925,ES1 Index,12.2665,123
09/03/1998,1054,1061.5,1051,1054,23804,18215,Future,CME,USD,0.25,12.5,50,52875,ES1 Index,12.5433,124
10/03/1998,1054,1067.25,1053.25,1065,16992,18742,Future,CME,USD,0.25,12.5,50,52700,ES1 Index,11.7984,125
11/03/1998,1065,1071,1064.25,1068.5,3177,18647,Future,CME,USD,0.25,12.5,50,53250,ES1 Index,12.514,126
12/03/1998,1068.5,1073.5,1063.5,1072.5,1519,17576,Future,CME,USD,0.25,12.5,50,53425,ES1 Index,13.1139,127
13/03/1998,1072.25,1080,1067,1069.5,1916,17169,Future,CME,USD,0.25,12.5,50,53625,ES1 Index,13.906,128
16/03/1998,1069.25,1081,1065.25,1080,9,16905,Future,CME,USD,0.25,12.5,50,53475,ES1 Index,13.5258,129
17/03/1998,1080,1083,1074.25,1082.5,990,16133,Future,CME,USD,0.25,12.5,50,54000,ES1 Index,14.212,130
18/03/1998,1081,1086.25,1078,1085.75,700,15837,Future,CME,USD,0.25,12.5,50,54125,ES1 Index,15.2394,131
19/03/1998,1086,1090.25,1083.75,1089.75,123,15680,Future,CME,USD,0.25,12.5,50,54287.5,ES1 Index,15.7224,132
20/03/1998,1091.25,1096.75,1088.75,1093.75,123,14781,Future,CME,USD,0.25,12.5,50,54487.5,ES1 Index,16.6199,133
23/03/1998,1110.5,1113.5,1104,1108.25,11596,8334,Future,CME,USD,0.25,12.5,50,54687.5,ES1 Index,17.6611,134
24/03/1998,1108.5,1119.25,1107.5,1117,16114,8048,Future,CME,USD,0.25,12.5,50,55412.5,ES1 Index,19.0753,135
25/03/1998,1117,1125.25,1102.5,1113.75,29049,8604,Future,CME,USD,0.25,12.5,50,55850,ES1 Index,21.5554,136
26/03/1998,1113.75,1118,1107,1110.75,25455,8570,Future,CME,USD,0.25,12.5,50,55687.5,ES1 Index,23.2111,137
27/03/1998,1110.75,1119.5,1098.75,1107.5,22000,8829,Future,CME,USD,0.25,12.5,50,55537.5,ES1 Index,23.9691,138
30/03/1998,1106.25,1111,1100.25,1105.75,22896,8739,Future,CME,USD,0.25,12.5,50,55375,ES1 Index,24.0181,139
31/03/1998,1105.5,1122.25,1104.25,1110.5,27236,9311,Future,CME,USD,0.25,12.5,50,55287.5,ES1 Index,23.9492,140
01/04/1998,1109.75,1121.25,1104.25,1118.25,12802,9611,Future,CME,USD,0.25,12.5,50,55525,ES1 Index,23.2228,141
02/04/1998,1119,1132.75,1116,1131,13065,10197,Future,CME,USD,0.25,12.5,50,55912.5,ES1 Index,21.3226,142
03/04/1998,1131,1137.5,1128,1135,12625,10424,Future,CME,USD,0.25,12.5,50,56550,ES1 Index,21.7566,143
06/04/1998,1134.5,1142.5,1126.75,1127,15450,10773,Future,CME,USD,0.25,12.5,50,56750,ES1 Index,21.4386,144
07/04/1998,1127.25,1131,1110.5,1119,14322,10493,Future,CME,USD,0.25,12.5,50,56350,ES1 Index,20.8208,145
08/04/1998,1118.5,1123.5,1105,1111.75,24318,10515,Future,CME,USD,0.25,12.5,50,55950,ES1 Index,19.5706,146
09/04/1998,1112.5,1121.25,1111.5,1119.5,22236,10771,Future,CME,USD,0.25,12.5,50,55587.5,ES1 Index,18.0657,147
13/04/1998,1119,1124.25,1107.5,1117.25,11404,10757,Future,CME,USD,0.25,12.5,50,55975,ES1 Index,15.9489,148
14/04/1998,1117.25,1126,1116.25,1125,12731,11378,Future,CME,USD,0.25,12.5,50,55862.5,ES1 Index,14.4324,149
15/04/1998,1123.75,1128.75,1119.5,1128.25,28370,12179,Future,CME,USD,0.25,12.5,50,56250,ES1 Index,13.0392,150
16/04/1998,1128.25,1129,1111.75,1115.5,14424,12162,Future,CME,USD,0.25,12.5,50,56412.5,ES1 Index,11.6846,151
17/04/1998,1116.5,1131.5,1105.75,1130.5,26340,12576,Future,CME,USD,0.25,12.5,50,55775,ES1 Index,9.9289,152
20/04/1998,1130.5,1132.75,1125,1129,26610,12460,Future,CME,USD,0.25,12.5,50,56525,ES1 Index,8.7464,153
21/04/1998,1129,1137.5,1125.75,1135.5,25368,12667,Future,CME,USD,0.25,12.5,50,56450,ES1 Index,8.6908,154
22/04/1998,1135,1140,1133.25,1136.5,15359,12987,Future,CME,USD,0.25,12.5,50,56775,ES1 Index,9.3922,155
23/04/1998,1136,1136.25,1123.5,1126.5,15407,13260,Future,CME,USD,0.25,12.5,50,56825,ES1 Index,9.9109,156
24/04/1998,1125.5,1130.5,1109,1113,20244,13676,Future,CME,USD,0.25,12.5,50,56325,ES1 Index,9.5921,157
27/04/1998,1112,1113.75,1081.5,1093.75,17184,14309,Future,CME,USD,0.25,12.5,50,55650,ES1 Index,9.1857,158
28/04/1998,1093.5,1103,1087,1091,34089,14044,Future,CME,USD,0.25,12.5,50,54687.5,ES1 Index,10.7144,159
29/04/1998,1091.25,1104,1088.75,1096.75,14333,14172,Future,CME,USD,0.25,12.5,50,54550,ES1 Index,12.6598,160
30/04/1998,1096.75,1124,1094.5,1119.25,9800,14273,Future,CME,USD,0.25,12.5,50,54837.5,ES1 Index,13.8457,161
01/05/1998,1119.25,1130.25,1117.75,1130.25,24008,14267,Future,CME,USD,0.25,12.5,50,55962.5,ES1 Index,13.5915,162
04/05/1998,1129.5,1137,1126,1128,16102,14118,Future,CME,USD,0.25,12.5,50,56512.5,ES1 Index,13.3312,163
05/05/1998,1127.75,1128.25,1114.75,1120,16050,14388,Future,CME,USD,0.25,12.5,50,56400,ES1 Index,13.3656,164
06/05/1998,1120,1124.5,1106.25,1106.75,15035,14820,Future,CME,USD,0.25,12.5,50,56000,ES1 Index,13.3664,165
07/05/1998,1106,1111,1097.25,1098.25,14786,14825,Future,CME,USD,0.25,12.5,50,55337.5,ES1 Index,13.5715,166
08/05/1998,1098.75,1116.75,1096,1116.25,29415,15023,Future,CME,USD,0.25,12.5,50,54912.5,ES1 Index,14.385,167
11/05/1998,1115.5,1124.75,1107.25,1112.25,16687,15566,Future,CME,USD,0.25,12.5,50,55812.5,ES1 Index,14.3895,168
12/05/1998,1111.5,1123,1106.5,1122,14167,15593,Future,CME,USD,0.25,12.5,50,55612.5,ES1 Index,14.3369,169
13/05/1998,1122,1128,1118.5,1124,16260,15556,Future,CME,USD,0.25,12.5,50,56100,ES1 Index,14.1402,170
14/05/1998,1124,1129.25,1116,1119.5,28608,15894,Future,CME,USD,0.25,12.5,50,56200,ES1 Index,14.2279,171
15/05/1998,1119.5,1123.5,1110,1112.5,13337,16210,Future,CME,USD,0.25,12.5,50,55975,ES1 Index,13.8823,172
18/05/1998,1110.5,1117.25,1100.5,1108.25,28166,16587,Future,CME,USD,0.25,12.5,50,55625,ES1 Index,13.5872,173
19/05/1998,1109.5,1118.75,1107.5,1115.5,29828,16805,Future,CME,USD,0.25,12.5,50,55412.5,ES1 Index,12.8193,174
20/05/1998,1114.75,1124.75,1110.5,1124,14098,16338,Future,CME,USD,0.25,12.5,50,55775,ES1 Index,11.6671,175
21/05/1998,1125,1128.75,1114.5,1118.25,44,16765,Future,CME,USD,0.25,12.5,50,56200,ES1 Index,11.5238,176
22/05/1998,1118,1121.25,1110.75,1114,22489,16912,Future,CME,USD,0.25,12.5,50,55912.5,ES1 Index,11.5809,177
26/05/1998,1112.5,1120.75,1092,1094,21364,17859,Future,CME,USD,0.25,12.5,50,55700,ES1 Index,10.5481,178
27/05/1998,1095,1098.5,1075,1098,15659,18326,Future,CME,USD,0.25,12.5,50,54700,ES1 Index,10.1922,179
28/05/1998,1097.25,1103.25,1091,1100.75,8529,18268,Future,CME,USD,0.25,12.5,50,54900,ES1 Index,10.0731,180
29/05/1998,1101,1107.75,1090.5,1090.75,17072,18125,Future,CME,USD,0.25,12.5,50,55037.5,ES1 Index,10.5029,181
01/06/1998,1090,1101.5,1084.5,1095.25,17473,19003,Future,CME,USD,0.25,12.5,50,54537.5,ES1 Index,10.9682,182
02/06/1998,1095.25,1102.5,1091,1095.75,14364,19198,Future,CME,USD,0.25,12.5,50,54762.5,ES1 Index,10.8431,183
03/06/1998,1095.5,1100.25,1078,1078.25,17478,19710,Future,CME,USD,0.25,12.5,50,54787.5,ES1 Index,11.0279,184
04/06/1998,1078,1083.75,1077.25,1097.75,16504,19842,Future,CME,USD,0.25,12.5,50,53912.5,ES1 Index,13.0635,185
05/06/1998,1097.5,1118,1094.5,1117.5,10191,20244,Future,CME,USD,0.25,12.5,50,54887.5,ES1 Index,13.0831,186
08/06/1998,1117.25,1122.5,1114.5,1117,11817,20477,Future,CME,USD,0.25,12.5,50,55875,ES1 Index,13.1342,187
09/06/1998,1116.75,1122,1112.75,1119.5,18469,20177,Future,CME,USD,0.25,12.5,50,55850,ES1 Index,13.2785,188
10/06/1998,1119.5,1127.75,1109.5,1113,2926,20122,Future,CME,USD,0.25,12.5,50,55975,ES1 Index,13.1388,189
11/06/1998,1113.25,1113.75,1090,1092,1143,19313,Future,CME,USD,0.25,12.5,50,55650,ES1 Index,12.5976,190
12/06/1998,1093,1102,1081,1100.5,1815,18605,Future,CME,USD,0.25,12.5,50,54600,ES1 Index,12.6391,191
15/06/1998,1101.5,1103.5,1073.5,1073.75,376,18008,Future,CME,USD,0.25,12.5,50,55025,ES1 Index,12.5625,192
16/06/1998,1073.25,1081.5,1071.5,1088,351,8570,Future,CME,USD,0.25,12.5,50,53687.5,ES1 Index,14.3873,193
17/06/1998,1087.25,1115.5,1087.25,1110.5,207,8211,Future,CME,USD,0.25,12.5,50,54400,ES1 Index,14.4347,194
18/06/1998,1111,1114,1104,1106.5,138,7713,Future,CME,USD,0.25,12.5,50,55525,ES1 Index,13.5707,195
19/06/1998,1118.25,1124,1107.75,1111.5,14971,7479,Future,CME,USD,0.25,12.5,50,55325,ES1 Index,12.9846,196
22/06/1998,1110.5,1121.5,1107.75,1116.75,15772,7913,Future,CME,USD,0.25,12.5,50,55575,ES1 Index,12.8483,197
23/06/1998,1116.5,1131.75,1114.75,1130,16122,7439,Future,CME,USD,0.25,12.5,50,55837.5,ES1 Index,13.3086,198
24/06/1998,1129.75,1147.5,1126.25,1145.5,18446,8075,Future,CME,USD,0.25,12.5,50,56500,ES1 Index,14.8189,199
25/06/1998,1146.75,1154.5,1138.5,1143.5,11693,8209,Future,CME,USD,0.25,12.5,50,57275,ES1 Index,17.7294,200
26/06/1998,1143.5,1149,1141.5,1147.5,14013,7936,Future,CME,USD,0.25,12.5,50,57175,ES1 Index,19.3855,201
29/06/1998,1147.75,1158,1147.5,1151.5,14366,9163,Future,CME,USD,0.25,12.5,50,57375,ES1 Index,21.1024,202
30/06/1998,1151.75,1153.5,1141,1143,16837,9862,Future,CME,USD,0.25,12.5,50,57575,ES1 Index,22.7115,203
01/07/1998,1143,1159,1142.5,1156.5,130,9912,Future,CME,USD,0.25,12.5,50,57150,ES1 Index,21.9398,204
02/07/1998,1156.5,1159.5,1151.75,1158,13530,7411,Future,CME,USD,0.25,12.5,50,57825,ES1 Index,23.1643,205
06/07/1998,1159,1169.75,1155.75,1169.5,16119,7009,Future,CME,USD,0.25,12.5,50,57900,ES1 Index,24.7127,206
07/07/1998,1169.5,1171.25,1162.5,1167.25,16202,7680,Future,CME,USD,0.25,12.5,50,58475,ES1 Index,26.9188,207
08/07/1998,1167,1177.75,1165,1175,17193,7981,Future,CME,USD,0.25,12.5,50,58362.5,ES1 Index,28.5462,208
09/07/1998,1175,1176.75,1164.75,1167.5,18952,8402,Future,CME,USD,0.25,12.5,50,58750,ES1 Index,30.2737,209
10/07/1998,1167.5,1177.5,1159.5,1172.5,15556,8635,Future,CME,USD,0.25,12.5,50,58375,ES1 Index,29.8385,210
