Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,st_dev,no_days
19/12/2013,128.01,128.1,127.34,126.12,64525,277979,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126120,0.9551024377949152,4943
20/12/2013,128.01,128.1,127.34,126.38,64525,274137,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126380,1.002862901903878,4944
23/12/2013,128.01,128.1,127.34,126.29,64525,270472,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126290,1.0174644957024321,4945
24/12/2013,128.01,128.1,127.34,126.29,64525,270182,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126290,1.030174257111364,4946
25/12/2013,128.01,128.1,127.34,126.29,64525,270182,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126290,1.0578174070611475,4947
26/12/2013,128.01,128.1,127.34,125.88,64525,270182,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125880,1.095341347106698,4948
27/12/2013,128.01,128.1,127.34,125.2,64525,278978,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125200,1.1355468579858103,4949
30/12/2013,128.01,128.1,127.34,125.72,64525,281902,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125720,1.0979461128313075,4950
31/12/2013,128.01,128.1,127.34,125.72,64525,269522,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125720,1.0967793761803954,4951
01/01/2014,128.01,128.1,127.34,125.41,64525,269522,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125410,1.1206667658205118,4952
02/01/2014,128.01,128.1,127.34,125.68,64525,279513,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125680,1.1046714443736436,4953
03/01/2014,128.01,128.1,127.34,125.62,64525,291043,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125620,1.0853099403770199,4954
06/01/2014,128.01,128.1,127.34,125.98,64525,301147,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,125980,1.0716207351551519,4955
07/01/2014,128.01,128.1,127.34,126.41,64525,303951,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126410,1.023671985231485,4956
08/01/2014,128.01,128.1,127.34,126.03,64525,307514,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126030,1.0035724521334135,4957
09/01/2014,128.01,128.1,127.34,126.39,64525,310723,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,126390,0.9826650836785908,4958
10/01/2014,128.01,128.1,127.34,127.8,64525,314584,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127800,1.001328284504001,4959
13/01/2014,128.01,128.1,127.34,127.92,64525,315112,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127920,1.0154288092628965,4960
14/01/2014,128.01,128.1,127.34,127.63,64525,314348,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127630,0.9676702262036653,4961
15/01/2014,128.01,128.1,127.34,127.66,64525,312081,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127660,0.9487347715146977,4962
16/01/2014,128.01,128.1,127.34,128.14,64525,314177,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128140,0.9709802607061845,4963
17/01/2014,128.01,128.1,127.34,128.43,64525,308901,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128430,1.0068791718379422,4964
20/01/2014,128.01,128.1,127.34,128.64,64525,304205,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128640,1.06164290921245,4965
21/01/2014,128.01,128.1,127.34,128.56,64525,313017,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128560,1.0946495634133708,4966
22/01/2014,128.01,128.1,127.34,128.6,64525,313442,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128600,1.1387627789320722,4967
23/01/2014,128.01,128.1,127.34,129.43,64525,313992,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129430,1.2493231500888067,4968
24/01/2014,131.24,131.45,130.62,130.74,74833,324350,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130740,1.4622148724957957,4969
27/01/2014,128.01,128.1,127.34,129.1,64525,315790,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129100,1.5079730324781262,4970
28/01/2014,128.01,128.1,127.34,129.39,64525,312031,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129390,1.559115988847951,4971
29/01/2014,128.01,128.1,127.34,129.92,64525,313980,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129920,1.6290999560129449,4972
30/01/2014,128.01,128.1,127.34,129.79,64525,309939,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129790,1.660479047347914,4973
31/01/2014,128.01,128.1,127.34,130.1,64525,304244,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130100,1.6550107753974024,4974
03/02/2014,128.01,128.1,127.34,130.56,64525,310566,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130560,1.6852942374201558,4975
04/02/2014,128.01,128.1,127.34,130.17,64525,309503,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130170,1.670930379563528,4976
05/02/2014,128.01,128.1,127.34,129.86,64525,311094,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129860,1.6008851718185118,4977
06/02/2014,131.13,131.19,130.59,130.71,61232,316847,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130710,1.5681350919744759,4978
07/02/2014,130.64,131.46,130.57,131.16,61520,322767,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131160,1.528779796661994,4979
10/02/2014,131.17,131.17,130.8,130.93,31103,303249,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130930,1.4725955543468034,4980
11/02/2014,130.84,130.9,130.44,130.56,41901,299887,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130560,1.4052025951259466,4981
