Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
21/02/2023,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.9621827615622642,4472,0.002,0.25,1.1308,
22/02/2023,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.0338388010940458,4473,0.002,0.25,1.1308,
23/02/2023,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.1474692443144399,4474,0.002,0.25,1.1308,
24/02/2023,165.72,166.4,165.6,166.21,841355,1651201,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166210,166.21,162.95,1.272212901462456,4475,0.002,0.25,1.1308,
27/02/2023,166.22,166.32,165.9,166.08,640091,1624074,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166080,166.08,162.84,1.3781034068533584,4476,0.002,0.25,1.1308,
28/02/2023,166.04,166.22,165.7,166.05,964851,1528464,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166050,166.05,162.81,1.4570889929287587,4477,0.002,0.25,1.1308,
01/03/2023,165.78,165.9,164.75,164.93,1406475,1372386,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164930,164.93,161.7,1.4229310126100487,4478,0.002,0.25,1.1308,
02/03/2023,164.99,164.99,164.42,164.61,1294596,1163974,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164610,164.61,161.4,1.3439742060945392,4479,0.002,0.25,1.1308,
03/03/2023,161.59,161.6,160.63,160.71,1535914,1224904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160710,163.98,160.71,1.4330947863443806,4480,0.002,0.25,1.1308,
06/03/2023,160.91,161.29,160.81,160.88,1264538,1640121,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160880,164.09,160.88,1.5126635448706962,4481,0.002,0.25,1.1308,
07/03/2023,160.92,161.55,160.84,161.3,955361,1688652,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161300,164.39,161.3,1.5595637210389255,4482,0.002,0.25,1.1308,
08/03/2023,161.27,161.29,160.46,160.5,731439,1700160,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160500,164,160.5,1.6378021858517546,4483,0.002,0.25,1.1308,
09/03/2023,160.53,160.66,159.57,159.99,921291,1680580,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159990,159.99,161.35,1.7832928344257204,4484,0.002,0.25,1.1308,
10/03/2023,159.63,159.85,158.87,159.01,941355,1681650,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159010,159.01,160.38,1.999657303968391,4485,0.002,0.25,1.1308,
13/03/2023,159.09,159.68,158.94,159.19,603305,1654368,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159190,159.19,160.56,2.1778190925742233,4486,0.002,0.25,1.1308,
14/03/2023,159.03,159.66,158.73,159.56,728154,1657343,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159560,159.56,160.96,2.3053741561796044,4487,0.002,0.25,1.1308,
15/03/2023,159.55,160.45,159.42,160.09,678357,1652588,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160090,160.09,161.55,2.3754019308980463,4488,0.002,0.25,1.1308,
16/03/2023,160.23,160.38,159.16,159.72,797754,1672146,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159720,159.72,161.17,2.450139587856342,4489,0.002,0.25,1.1308,
17/03/2023,159.33,159.89,159.09,159.82,634353,1674875,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159820,159.82,161.28,2.511795373827426,4490,0.002,0.25,1.1308,
20/03/2023,159.93,159.96,159.38,159.78,521599,1658666,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159780,159.78,161.23,2.5660859949179815,4491,0.002,0.25,1.1308,
21/03/2023,159.69,159.84,159.12,159.56,881146,1644743,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,159560,159.56,161.01,2.6252230381399766,4492,0.002,0.25,1.1308,
22/03/2023,159.72,160.33,159.65,160.2,829609,1630306,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160200,160.2,161.72,2.652399416876645,4493,0.002,0.25,1.1308,
23/03/2023,160.12,160.47,159.88,160.03,745141,1628921,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160030,160.03,161.57,2.6662488005899934,4494,0.002,0.25,1.1308,
24/03/2023,159.94,160.35,159.73,160.22,537388,1631036,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160220,160.22,161.78,2.6452178234153525,4495,0.002,0.25,1.1308,
27/03/2023,160.51,161,160.23,160.26,710739,1628219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160260,160.26,161.86,2.605175106075264,4496,0.002,0.25,1.1308,
28/03/2023,160.22,160.71,160.14,160.6,672586,1625379,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160600,160.6,162.23,2.5539977159962906,4497,0.002,0.25,1.1308,
29/03/2023,160.24,161.24,160.18,161.15,791616,1635485,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161150,161.15,162.86,2.45500149354624,4498,0.002,0.25,1.1308,
30/03/2023,161.16,161.57,161.06,161.44,704625,1645287,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161440,161.44,163.18,2.294317400298895,4499,0.002,0.25,1.1308,
31/03/2023,161.46,161.53,161.21,161.42,618281,1651044,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161420,161.42,163.17,2.052317795399697,4500,0.002,0.25,1.1308,
03/04/2023,161.4,162.18,161.34,162.09,622567,1668062,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162090,162.09,163.91,1.7853969679917878,4501,0.002,0.25,1.1308,
04/04/2023,162.21,162.72,162.17,162.53,833246,1724172,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162530,162.53,164.39,1.4763973042446696,4502,0.002,0.25,1.1308,
05/04/2023,162.53,162.69,162.02,162.4,654752,1729180,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162400,162.4,164.26,1.2496342131390248,4503,0.002,0.25,1.1308,
06/04/2023,162.63,162.67,162.25,162.39,589191,1741927,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162390,162.39,164.25,1.0159309359634532,4504,0.002,0.25,1.1308,
07/04/2023,162.78,163.05,162.5,162.85,595785,1743739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162850,162.85,164.75,1.1117813034259842,4505,0.002,0.25,1.1308,
10/04/2023,162.59,163.3,162.59,162.99,507219,1738755,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162990,162.99,164.87,1.2039306458350985,4506,0.002,0.25,1.1308,
11/04/2023,163.28,163.39,162.87,163.21,660594,1746199,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,165.11,1.2964374261725544,4507,0.002,0.25,1.1308,
12/04/2023,163.26,163.53,163.01,163.25,535916,1754749,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163250,163.25,165.15,1.380338122821453,4508,0.002,0.25,1.1308,
13/04/2023,163.58,163.82,163.41,163.25,490704,1764101,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163250,163.25,165.15,1.4386234160871494,4509,0.002,0.25,1.1308,
14/04/2023,163.58,163.82,163.41,163.25,490704,1764101,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163250,163.25,165.15,1.4342942515331143,4510,0.002,0.25,1.1308,
17/04/2023,163.58,163.82,163.41,163.54,490704,1764101,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,165.49,1.4378282233914255,4511,0.002,0.25,1.1308,
18/04/2023,163.6,163.99,163.34,163.68,571565,1769913,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163680,163.68,165.64,1.4513278977018327,4512,0.002,0.25,1.1308,
19/04/2023,163.77,163.8,163.16,163.25,630807,1783076,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163250,163.25,165.19,1.4529599673245075,4513,0.002,0.25,1.1308,
20/04/2023,163.39,163.44,162.52,162.74,711948,1796672,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162740,162.74,164.63,1.4049139949884164,4514,0.002,0.25,1.1308,
21/04/2023,162.91,162.94,162.49,162.74,528563,1752188,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162740,162.74,164.63,1.350658851566272,4515,0.002,0.25,1.1308,
24/04/2023,161.52,161.63,160.93,161.35,985541,1765759,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161350,161.35,163.1,1.2800783830092823,4516,0.002,0.25,1.1308,
25/04/2023,161.32,161.47,160.65,160.98,841149,1766646,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160980,160.98,162.7,1.1952729116458438,4517,0.002,0.25,1.1308,
26/04/2023,160.7,161.36,160.64,161.27,746217,1758980,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161270,161.27,163.04,1.1434673876624852,4518,0.002,0.25,1.1308,
27/04/2023,161.25,162.15,161.02,162.01,774193,1750994,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162010,162.01,163.81,1.0584307566618023,4519,0.002,0.25,1.1308,
28/04/2023,161.94,161.98,161.26,162.01,785332,1775687,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162010,162.01,163.81,0.976690841556842,4520,0.002,0.25,1.1308,
01/05/2023,161.94,161.98,161.26,161.78,785332,1775687,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161780,161.78,163.57,0.8900829549248103,4521,0.002,0.25,1.1308,
02/05/2023,161.7,161.81,161.45,161.69,480154,1765743,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161690,161.69,163.49,0.8263901419110014,4522,0.002,0.25,1.1308,
03/05/2023,161.77,161.94,161.53,161.69,532370,1750957,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161690,161.69,163.49,0.7997916395209991,4523,0.002,0.25,1.1308,
04/05/2023,161.53,161.53,160.74,160.9,792814,1758817,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160900,160.9,162.62,0.8331690504619618,4524,0.002,0.25,1.1308,
05/05/2023,161,161.17,160.37,160.46,714720,1757897,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160460,160.46,162.13,0.898368892297415,4525,0.002,0.25,1.1308,
08/05/2023,160.29,160.98,160.25,160.46,723295,1746239,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160460,160.46,162.11,0.9727354899017252,4526,0.002,0.25,1.1308,
09/05/2023,160.47,160.48,160.11,160.29,681243,1721240,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160290,160.29,161.96,1.0477536287924196,4527,0.002,0.25,1.1308,
10/05/2023,160.41,160.83,160.22,160.6,646867,1734112,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160600,160.6,162.3,1.0926882751488105,4528,0.002,0.25,1.1308,
11/05/2023,160.3,160.56,160,160.42,727359,1719919,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160420,160.42,162.12,1.1412488773186231,4529,0.002,0.25,1.1308,
12/05/2023,160.5,160.99,160.41,160.88,598554,1718754,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160880,160.88,162.64,1.149990144877056,4530,0.002,0.25,1.1308,
15/05/2023,160.84,160.89,160.46,160.51,553414,1716127,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160510,160.51,162.25,1.1632127922186115,4531,0.002,0.25,1.1308,
16/05/2023,160.61,160.63,160.17,160.48,700766,1729995,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160480,160.48,162.22,1.1581951476245342,4532,0.002,0.25,1.1308,
17/05/2023,160.58,161.57,160.47,161.06,884706,1726135,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161060,161.06,162.87,1.1214004636975203,4533,0.002,0.25,1.1308,
18/05/2023,161.25,162.02,161.1,161.53,1012438,1720393,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161530,161.53,163.38,1.0708739421523947,4534,0.002,0.25,1.1308,
19/05/2023,161.46,161.55,161.17,161.3,485003,1697713,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161300,161.3,163.13,1.01387918411466,4535,0.002,0.25,1.1308,
22/05/2023,161.22,161.47,160.79,160.99,551072,1689296,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160990,160.99,162.82,0.9249708103399842,4536,0.002,0.25,1.1308,
23/05/2023,161.09,161.32,160.59,160.87,666271,1693719,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160870,160.87,162.71,0.7988558484781014,4537,0.002,0.25,1.1308,
24/05/2023,160.8,161.13,160.68,160.8,666479,1687012,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160800,160.8,162.67,0.6915097010510142,4538,0.002,0.25,1.1308,
25/05/2023,161.1,161.43,161.02,161.31,537911,1691084,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161310,161.31,163.22,0.6128289592654119,4539,0.002,0.25,1.1308,
26/05/2023,161.48,161.88,161.33,161.79,638473,1658079,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161790,161.79,163.74,0.5334910183383218,4540,0.002,0.25,1.1308,
29/05/2023,161.8,162.32,161.68,162.28,257675,1661915,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162280,162.28,164.25,0.582065861091047,4541,0.002,0.25,1.1308,
30/05/2023,162.29,162.43,162.06,162.33,781453,1617341,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162330,162.33,164.31,0.6279575357041803,4542,0.002,0.25,1.1308,
31/05/2023,162.42,162.45,162.07,162.32,953498,1543626,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162320,162.32,164.3,0.6675107988996646,4543,0.002,0.25,1.1308,
01/06/2023,162.19,162.32,161.95,162.28,889487,1451508,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162280,162.28,164.24,0.6826621907266216,4544,0.002,0.25,1.1308,
02/06/2023,162.13,162.77,162.13,162.69,1186083,1157214,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162690,162.69,164.66,0.7266973234992727,4545,0.002,0.25,1.1308,
05/06/2023,164.59,164.65,164.32,164.49,980829,1077308,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164490,162.49,164.49,0.9681886868345213,4546,0.002,0.25,1.1308,
06/06/2023,164.54,165,164.54,164.93,1481271,1505572,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164930,162.92,164.93,1.2007736394984563,4547,0.002,0.25,1.1308,
07/06/2023,164.81,165.11,164.75,165,872008,1644913,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165000,162.87,165,1.3895122645426283,4548,0.002,0.25,1.1308,
08/06/2023,164.81,165.18,164.5,164.97,802137,1665024,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164970,162.56,164.97,1.5306090291060854,4549,0.002,0.25,1.1308,
09/06/2023,165.14,165.18,164.74,164.87,499063,1674519,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164870,164.87,161.85,1.6210027760559518,4550,0.002,0.25,1.1308,
12/06/2023,164.95,165.26,164.86,165.1,474841,1697316,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165100,165.1,162.1,1.7034887730716413,4551,0.002,0.25,1.1308,
13/06/2023,165.09,165.13,164.72,164.93,496430,1692715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164930,164.93,161.95,1.7431578624193735,4552,0.002,0.25,1.1308,
14/06/2023,165.05,165.55,164.83,165.46,682882,1708604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165460,165.46,162.48,1.8096843186905576,4553,0.002,0.25,1.1308,
15/06/2023,165.33,165.44,164.4,164.59,768892,1696696,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164590,164.59,161.63,1.7979327944376915,4554,0.002,0.25,1.1308,
16/06/2023,164.54,164.76,164.13,164.73,537343,1692895,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164730,164.73,161.78,1.7995024312240344,4555,0.002,0.25,1.1308,
19/06/2023,164.68,164.82,164.43,164.65,475052,1692496,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164650,164.65,161.72,1.7639515299410116,4556,0.002,0.25,1.1308,
20/06/2023,164.65,165.02,164.6,164.92,493108,1705971,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164920,164.92,161.99,1.7194676501700359,4557,0.002,0.25,1.1308,
21/06/2023,165,165.29,164.79,164.97,671527,1704056,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164970,164.97,162.04,1.6936154620558446,4558,0.002,0.25,1.1308,
22/06/2023,164.99,165.25,164.88,165.09,637887,1691263,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165090,165.09,162.15,1.682614235838981,4559,0.002,0.25,1.1308,
23/06/2023,165.05,165.16,164.94,165.07,446216,1665382,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165070,165.07,162.13,1.6451532856590299,4560,0.002,0.25,1.1308,
26/06/2023,165,165.44,164.99,165.14,582560,1660377,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165140,165.14,162.17,1.5725847088942708,4561,0.002,0.25,1.1308,
27/06/2023,165.13,165.33,163.13,163.75,1120289,1692877,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163750,163.75,160.8,1.4477674767199702,4562,0.002,0.25,1.1308,
28/06/2023,163.05,164.04,162.78,163.45,1223067,1626310,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163450,163.45,160.5,1.2976391383257537,4563,0.002,0.25,1.1308,
29/06/2023,163.3,163.31,162.06,162.17,1052629,1605430,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162170,162.17,159.25,1.2318628170301604,4564,0.002,0.25,1.1308,
30/06/2023,162.05,162.6,161.65,161.87,959622,1590857,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161870,161.87,158.95,1.2257582687115816,4565,0.002,0.25,1.1308,
03/07/2023,161.55,162.32,161.52,161.65,598644,1599109,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161650,161.65,158.74,1.2700253278241376,4566,0.002,0.25,1.1308,
04/07/2023,161.92,162.2,161.8,161.85,418055,1585846,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.94,1.3004815774607519,4567,0.002,0.25,1.1308,
05/07/2023,161.85,162.12,161.54,161.93,659034,1579761,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161930,161.93,159.04,1.3240688552015711,4568,0.002,0.25,1.1308,
06/07/2023,161.83,161.9,160.43,160.5,1225775,1607680,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160500,160.5,157.62,1.4622896429850867,4569,0.002,0.25,1.1308,
07/07/2023,160.54,160.73,160.31,160.49,782908,1596982,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160490,160.49,157.64,1.600948989396006,4570,0.002,0.25,1.1308,
10/07/2023,160.44,161.13,160.44,160.94,600631,1608882,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160940,160.94,158.08,1.6975249629921174,4571,0.002,0.25,1.1308,
11/07/2023,160.78,160.95,160.48,160.69,584656,1607344,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160690,160.69,157.83,1.7814163840367812,4572,0.002,0.25,1.1308,
12/07/2023,160.97,161.44,160.83,161.42,689814,1608328,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161420,161.42,158.55,1.8038500491951408,4573,0.002,0.25,1.1308,
13/07/2023,161.44,161.92,161.02,161.15,785938,1619264,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161150,161.15,158.3,1.8276581554860312,4574,0.002,0.25,1.1308,
14/07/2023,161.35,161.75,161.06,161.14,513700,1598316,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161140,161.14,158.29,1.842529963568542,4575,0.002,0.25,1.1308,
17/07/2023,161.08,161.53,161.06,161.28,369064,1587275,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161280,161.28,158.43,1.8286213385994317,4576,0.002,0.25,1.1308,
18/07/2023,161.45,161.77,161.24,161.61,577327,1576598,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.74,1.7993991589734788,4577,0.002,0.25,1.1308,
