Date,AD1_small_alpha_forecast,AD1_small_one_perc_change,AD1_small_block_value,AD1_small_price_volatility,AD1_small_cash_vol_daily,AD1_small_std_dev,AD1_small_icv,AD1_small_ivv,AD1_small_vol_scalar,AD1_small_alpha_subsystem_position,AD1_small_alpha_trades_needed,AD1_small_alpha_target_pos,AD1_small_execution_price,AD1_small_daily_instrument_pnls,AD1_small_daily_current_pnls,AD1_small_alpha_current_pos,RX1_small_alpha_forecast,RX1_small_one_perc_change,RX1_small_block_value,RX1_small_price_volatility,RX1_small_cash_vol_daily,RX1_small_std_dev,RX1_small_icv,RX1_small_ivv,RX1_small_vol_scalar,RX1_small_alpha_subsystem_position,RX1_small_alpha_trades_needed,RX1_small_alpha_target_pos,RX1_small_execution_price,RX1_small_daily_instrument_pnls,RX1_small_daily_current_pnls,RX1_small_alpha_current_pos,AUM,NAV
2018-03-02,-2.0213573448058395,0.6534000000000001,653.4000000000001,0.6,39133.54687499978,0.3920866188148343,392.04,254.23794,154.967343288731,-31.324437756172433,-10.0,-22.0,64.6866,-6534.000000000049,-4440.000000000055,-12.0,-6.792023979168553,1.5977000000000001,1597.7,0.39,39133.54687499978,0.621302395,623.1030000000001,704.6048724000001,55.91584683597455,-37.97817725254552,5.0,-27.0,161.3677,-7988.500000000016,-2240.000000000691,-32.0,3130683.7499999823,3130683.7499999823
2018-03-05,-1.3299859338681963,0.65125,651.25,0.56,39955.63187499979,0.3657273574495066,364.70000000000005,236.50795000000002,165.46398070339615,-22.006476689735553,6.0,-16.0,65.77625,-3907.5000000000273,4730.000000000075,-22.0,-6.599478301481303,1.5719,1571.9,0.43,39955.63187499979,0.683397883,675.917,764.3269436,51.20000963289315,-33.789335260791205,3.0,-24.0,158.7619,-4715.699999999998,69660.00000000033,-27.0,3196450.5499999826,3196450.5499999826
2018-03-06,-1.4676355549910725,0.6506000000000001,650.6,0.5,39808.96187499979,0.3276780686187047,325.3,210.95705,189.40173781819468,-27.797272459907976,-4.0,-20.0,64.4094,-2602.3999999999887,1039.9999999999636,-16.0,-12.474234952890246,1.5656999999999999,1565.6999999999998,0.5,39808.96187499979,0.785907543,782.8499999999999,885.24678,45.13502085260315,-56.30248547189723,-16.0,-40.0,155.0043,-25051.19999999988,14880.00000000011,-24.0,3184716.949999983,3184716.949999983
2018-03-07,-1.805539303288617,0.6569,656.9000000000001,0.46,39305.78312499978,0.2995445153123167,302.17400000000004,195.95983900000002,203.14857410655347,-36.67927349564225,-6.0,-26.0,65.03309999999999,-3941.400000000044,-12599.999999999909,-20.0,-16.372534420073983,1.5681,1568.1000000000001,0.54,39305.78312499978,0.848464888,846.7740000000001,957.5320392000001,41.57454815638276,-68.06807206894001,-9.0,-49.0,155.2419,-14112.900000000138,-9600.000000000364,-40.0,3144462.6499999827,3144462.6499999827
2018-03-08,0.093451177224397,0.66235,662.35,0.51,38640.463749999784,0.3401424946308297,337.7985,219.06232724999998,179.42739684374365,1.67677014613569,27.0,1.0,66.89735,-17883.450000000095,-14170.000000000044,-26.0,-17.091953622271596,1.5721,1572.1000000000001,0.56,38640.463749999784,0.878803543,880.3760000000002,995.5291808000003,39.48230135596219,-67.48296636766568,1.0,-48.0,158.7821,-1572.100000000006,-19600.00000000028,-49.0,3091237.0999999824,3091237.0999999824
2018-03-09,2.5893967122225927,0.6627,662.6999999999999,0.59,38457.12749999979,0.3922474771369904,390.99299999999994,253.55896049999996,152.39242057864405,39.46044328139835,27.0,28.0,66.9327,-17892.900000000027,34.99999999999659,1.0,-16.0250985718037,1.5697999999999999,1569.8,0.58,38457.12749999979,0.915459812,910.4839999999999,1029.5753072,37.53048803694132,-60.14297702398842,5.0,-43.0,158.5498,-7849.000000000075,11040.000000000873,-48.0,3076570.199999983,3076570.199999983
2018-03-12,4.383342705405528,0.6612,661.2,0.62,38029.61249999978,0.411938810165192,409.944,265.848684,144.6579570053459,63.408540061824944,17.0,45.0,66.7812,-11240.399999999894,-4199.999999999762,28.0,-15.036647848540932,1.5727000000000002,1572.7000000000003,0.6,38029.61249999978,0.937498089,943.6200000000001,1067.0454960000002,36.040757066275816,-54.19321722004027,4.0,-39.0,158.8427,-6290.79999999999,-12470.00000000088,-43.0,3042368.9999999823,3042368.9999999823
2018-03-13,5.184505793084015,0.6605,660.5,0.65,37784.14874999978,0.4321241141002986,429.325,278.4172625,136.59215006468852,70.81627933001788,6.0,51.0,66.7105,-3962.9999999999936,-3150.0000000003324,45.0,-14.109443207700425,1.5747,1574.7,0.6,37784.14874999978,0.941714217,944.8199999999999,1068.402456,35.59483814964178,-50.222334735965916,3.0,-36.0,159.0447,-4724.100000000021,-7799.999999999556,-39.0,3022731.899999982,3022731.899999982
2018-03-14,5.365835994843649,0.6644,664.4,0.72,37709.08374999978,0.4770351139978576,478.36799999999994,310.22164799999996,121.79726654665888,65.35441569096284,-4.0,47.0,65.7756,-2657.600000000002,19890.00000000003,51.0,-12.497323097245816,1.5794,1579.3999999999999,0.6,37709.08374999978,0.94318609,947.6399999999999,1071.5913119999998,35.25984983909592,-44.06537357995526,4.0,-32.0,159.5194,-6317.59999999997,-16919.99999999996,-36.0,3016726.6999999825,3016726.6999999825
2018-03-15,6.629100176231411,0.65995,659.95,0.72,37158.29812499979,0.476598887941352,475.164,308.143854,122.37493385151139,81.12356955613613,11.0,58.0,66.65495,-7259.449999999944,-20914.99999999968,47.0,-10.237060535369348,1.5814,1581.3999999999999,0.59,37158.29812499979,0.938544973,933.0259999999998,1055.0658007999998,35.740978165918186,-36.58825570778186,6.0,-26.0,159.7214,-9488.400000000012,-6399.999999999636,-32.0,2972663.8499999833,2972663.8499999833
2018-03-16,5.840918129002812,0.6580500000000001,658.0500000000002,0.73,36859.398124999796,0.4779314804309564,480.37650000000014,311.5241602500001,119.27902508486027,69.66990200279415,-8.0,50.0,65.14695,-5264.400000000023,-11019.999999999869,58.0,-8.814213841856871,1.5819,1581.9,0.59,36859.398124999796,0.93789214,933.321,1055.3993868,35.2078071957809,-31.032914152647997,4.0,-22.0,159.7719,-6327.599999999961,-1300.0000000002956,-26.0,2948751.8499999833,2948751.8499999833
2018-03-19,4.857595440365268,0.6573000000000001,657.3000000000001,0.73,36707.79812499979,0.4781999233098919,479.82900000000006,311.1691065,118.45455527250355,57.540430758220886,-9.0,41.0,65.0727,-5915.700000000058,-3750.000000000142,50.0,-8.264799315540406,1.5823,1582.3,0.59,36707.79812499979,0.936491146,933.5569999999999,1055.6662555999999,34.91576805592819,-28.85718159302029,1.0,-21.0,159.8123,-1582.3000000000036,-879.9999999998249,-22.0,2936623.8499999833,2936623.8499999833
2018-03-20,2.364577939623446,0.6547,654.6999999999999,0.65,36452.10812499979,0.4266396801207922,425.55499999999995,275.97241749999995,133.01256139121148,31.45185683584679,-18.0,23.0,64.8153,-11784.600000000097,-10660.00000000021,41.0,-7.929076372926191,1.5806,1580.6,0.59,36452.10812499979,0.93680343,932.5539999999999,1054.5320631999998,34.80956094744924,-27.600766726035403,1.0,-20.0,159.6406,-1580.600000000004,3569.999999999737,-21.0,2916168.6499999827,2916168.6499999827
2018-03-21,2.500565590744213,0.6594,659.4,0.63,36604.25562499979,0.4127788956009706,415.42199999999997,269.401167,135.3079072779213,33.834629709477845,1.0,24.0,66.5994,-659.4000000000051,10809.999999999975,23.0,-8.486152020017855,1.5788,1578.8,0.59,36604.25562499979,0.93810305,931.492,1053.3311535999999,34.60650337779945,-29.367604854526753,-1.0,-21.0,156.3012,-1578.800000000001,3600.0000000001364,-20.0,2928340.449999983,2928340.449999983
