Date,PX_CLOSE_1D,ema_fast,ema_slow,raw_cross,std_dev,vol_adj_crossover,forecast_uncapped,capped_forecast,daily_return,forecast*returns,cumulative_performance,forecast_scalar,turnover,signal_sharpe,net_sharpe,max_payable_cost,standard_cost,status
31/01/2017,162.13,163.6711036144802,164.2295762906521,-0.5584726761719025,0.43041567870002795,-1.2975193604904018,-2.4263612041170517,-2.4263612041170517,0.0003702104029124076,0.007782075039417773,0.016045720528264563,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
01/02/2017,161.61,163.60768504172694,164.20919048294274,-0.6015054412158065,0.4357292109902899,-1.3804570041305102,-2.581454597724054,-2.581454597724054,-0.003207302781718213,-0.012139753073883128,0.003905967454381435,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
02/02/2017,162.37,163.56960242505843,164.1948777165385,-0.6252752914800794,0.45915015755778965,-1.361810033575739,-2.5465847627866323,-2.5465847627866323,0.004702679289647849,-0.0018820605501902853,0.0020239069041911497,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
03/02/2017,162.49,163.53638388890278,164.18161018567054,-0.6452262967677598,0.4474389691581082,-1.4420431416195243,-2.6966206748285106,-2.6966206748285106,0.0007390527806860892,-0.011616927025539594,-0.009593020121348444,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
06/02/2017,163.19,163.5257259230904,164.17389337488711,-0.6481674517967235,0.46461425701049813,-1.3950657820258794,-2.6087730123883945,-2.6087730123883945,0.0043079574127637965,-0.0030373605757324693,-0.012630380697080914,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
07/02/2017,163.38,163.52124204853376,164.16771521632768,-0.6464731677939142,0.45403667769482164,-1.423834680220345,-2.6625708520120455,-2.6625708520120455,0.001164287027391353,-0.013689310293121192,-0.026319690990202108,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
08/02/2017,164.22,163.54274229319427,164.16812210180373,-0.6253798086094662,0.4828526064687411,-1.2951774521485409,-2.4219818355177716,-2.4219818355177716,0.005141388174807249,-0.0001474839748821047,-0.026467174965084213,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
09/02/2017,164.23,163.5638886841729,164.16860364186752,-0.6047149576946254,0.4696270051019499,-1.2876494561111316,-2.4079044829278162,-2.4079044829278162,6.089392278640915e-05,0.004691770288844187,-0.021775404676240027,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
10/02/2017,163.91,163.5745382631214,164.16659116216428,-0.5920528990428693,0.4627775525763309,-1.2793466229008927,-2.3923781848246697,-2.3923781848246697,-0.0019484868781586284,0.0021893522526001703,-0.01958605242363986,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
13/02/2017,163.76,163.58024477810227,164.16342702860658,-0.5831822505043078,0.45144534286208005,-1.291811422412822,-2.4156873599119772,-2.4156873599119772,-0.0009151363553169256,0.005015472046715129,-0.01457058037692473,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
14/02/2017,163.42,163.57531416954527,164.15764160425945,-0.5823274347141876,0.44613358245900575,-1.305275947855139,-2.44086602248911,-2.44086602248911,-0.002076209086467995,0.0017923382860030694,-0.012778242090921661,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
15/02/2017,163.3,163.5668429643285,164.15096735052984,-0.5841243862013528,0.43480443161792515,-1.3434186584248968,-2.512192891254557,-2.512192891254557,-0.0007343042467260474,-0.008307312683878918,-0.021085554774800577,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
16/02/2017,163.84,163.5752477961953,164.1485473711483,-0.5732995749530119,0.44113248856840587,-1.299608597892039,-2.430268078058113,-2.430268078058113,0.003306797305572484,-0.008751575720546185,-0.02983713049534676,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
