Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days.1,Standard Cost,Instrument_Weights,Exchange rate,assetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1988-09-23,93.375,93.6563,93.2188,93.5938,12754,81956,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,93594,93.5938,93.2188,0.9095913902750999,973,,0.002,,1,rates,0.8156551027215307,-0.0005846143214687118,6.764435076081773,-0.002581948375528849,10.09303642094029,-0.003469643257788249,5.210543246782578,-0.0016406192275070187,-1.9704608243632844,0.0007301216481470845,-5.998239252134946,0.00199191225193458,0.8156551027215307,-0.0005846143214687118
1988-09-26,93.4688,93.625,93.2813,93.3125,11559,82766,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,93313,93.3125,92.9375,0.8207151214830622,974,,0.002,,1,rates,-3.443852727628642,-0.0024514848248021405,4.1165773820708065,-0.020330786728413663,8.891432708479606,-0.030335034427606353,5.099335320233094,-0.015660501179778352,-1.8221883104658017,0.005922300728182763,-5.94492949588515,0.018027953792084092,-3.443852727628642,-0.0024514848248021405
1988-09-27,93.1875,93.4375,93.0313,93.125,14948,83033,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,93125,93.125,92.7813,0.7246242565156883,975,,0.002,,1,rates,-6.759155401589515,0.006919998782910793,1.3497331974041196,-0.008271756293511243,7.498471863753563,-0.01786624120926894,4.858627054823534,-0.010246487582517828,-1.7661374716950395,0.003661463450366608,-5.977254437035537,0.011945605149132791,-6.759155401589515,0.006919998782910793
1988-09-28,93.0625,93.0938,92.875,93.0313,14419,82767,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,93031,93.0313,92.6875,0.6232879054906136,976,,0.002,,1,rates,-8.124665646231103,0.006800889783934983,-0.8351605374229212,-0.0013580671205022019,6.169331165067052,-0.007544771153113744,4.57468787205389,-0.004888626631269485,-1.757758326907721,0.0017770424815874064,-6.060890302085957,0.0060141609744991855,-8.124665646231103,0.006800889783934983
1988-09-29,93.2813,93.5313,93.0938,93.5,12743,83028,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,93500,93.5,93.1563,0.4908343466934457,977,,0.002,,1,rates,-0.44474899645359484,-0.040932791312046864,1.0434399292519776,-0.004207613393450523,6.03321549926197,0.031081641523517965,4.546892208667678,0.023047686161878918,-1.4918794606668915,-0.008855743473665625,-5.765479818237262,-0.030535306768664082,-0.44474899645359484,-0.040932791312046864
1988-09-30,93.6563,94.4688,93.5625,94.2813,32675,84429,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94281,94.2813,93.9375,0.3260684180694736,978,,0.002,,1,rates,11.255970290318993,-0.0037163892077988676,6.2076389512755785,0.008719140285824292,7.161581688629466,0.050414452080998755,4.827034453074721,0.037994512113711895,-0.9081358673512274,-0.012466368156353411,-4.977068310297207,-0.04817721264159122,11.255970290318993,-0.0037163892077988676
1988-10-03,94.4375,94.5313,94.1875,94.4688,20872,86303,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94469,94.4688,94.125,0.36871258254289135,979,,0.002,,1,rates,15.288624206622353,0.022385079856077957,9.97297473287501,0.01234531453601285,8.951117674284587,0.014242448572707896,5.725370704748912,0.009599665680803338,-0.45712293127594095,-0.0018060365642853639,-4.859519338988833,-0.009898042434509709,15.288624206622353,0.022385079856077957
1988-10-04,94.3125,94.5,94.1563,94.2813,10824,86205,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94281,94.2813,93.9375,0.38722320405970273,980,,0.002,,1,rates,11.830816525733324,-0.0303445903699608,10.555177652583467,-0.019794183502003883,9.78676058358533,-0.017766019722155843,6.347555875903572,-0.011363614305891936,-0.08507357581375127,0.0009072894925545869,-4.763449553610927,0.009645087860335112,11.830816525733324,-0.0303445903699608
1988-10-05,94.4063,94.625,94.2188,94.25,19926,86462,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94250,94.25,93.9063,0.397475613418277,981,,0.002,,1,rates,8.931559886282127,-0.003927656462686716,10.35482806431191,-0.003504163185339075,10.337449266501824,-0.003249060060332896,6.9156980958278735,-0.00210729486033614,0.2645231582301374,2.824317147696085e-05,-4.705645734821115,0.0015813949428788421,8.931559886282127,-0.003927656462686716
1988-10-06,94.1875,94.3438,94.0938,94.3125,12628,89694,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94313,94.3125,93.9688,0.40560570443810834,982,,0.002,,1,rates,7.823062019191959,0.005922785070478227,10.25688510966918,0.006866596859622544,10.841707521449996,0.00685507245789172,7.481560508954066,0.004586006694845577,0.6278656041939252,0.00017541323490060276,-4.636083060252169,-0.0031204547313134013,7.823062019191959,0.005922785070478227
