,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,returns,sqreturns,price_diff,distance,net_exp_ret,variance,stdev,stdev_yearly,raw_carry,forecast_scalar,forecast,capped_forecast,forecast*returns,cum_series_carry,1%_move,block_value,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed
10,16/01/2017,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.17000000000001592,0.02890000000000541,-3.1500000000000057,0.08333333333333333,-37.80000000000007,1.0154322011557528,1.007686558983374,16.122984943733982,-2.3444790236990585,30.0,-70.33437071097175,-20.0,760.8000000000038,7646.39999999999,1.6358000000000001,1635.8000000000002,754.192062,852.8403837096,125000.0,146.5690443225583,-293.1380886451166,-293.0,-253.27770189363082,-40.0
11,17/01/2017,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.3199999999999932,0.10239999999999563,-3.170000000000016,0.08333333333333333,-38.04000000000019,0.9660791092013876,0.982893233877102,15.726291742033633,-2.4188792007670767,30.0,-72.5663760230123,-20.0,755.9999999999945,8402.399999999983,1.639,1639.0,688.355044,778.3918837552001,125000.0,160.58749147917862,-321.17498295835725,-321.0,-293.1380886451166,-28.0
12,18/01/2017,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.4800000000000182,0.23040000000001745,-3.1499999999999773,0.08333333333333333,-37.79999999999973,0.9263126708661784,0.9624513862352625,15.3992221797642,-2.4546694345167595,30.0,-73.64008303550278,-20.0,753.6000000000035,9155.999999999987,1.6341999999999999,1634.1999999999998,661.785967,748.3475714836001,125000.0,167.03468383305812,-334.06936766611625,-334.0,-321.17498295835725,-13.0
13,19/01/2017,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.38999999999998636,0.15209999999998935,-3.140000000000015,0.08333333333333333,-37.68000000000018,0.8844633373058439,0.9404591098531844,15.04734575765095,-2.5040961114913878,30.0,-75.12288334474164,-20.0,753.5999999999967,9909.599999999984,1.6303,1630.3000000000002,548.840292,620.6286021936,125000.0,201.40870007954817,-402.81740015909634,-403.0,-334.06936766611625,-69.0
14,20/01/2017,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.7400000000000091,0.5476000000000134,-3.1399999999999864,0.08333333333333333,-37.679999999999836,0.8662545082622856,0.9307279453536815,14.891647125658904,-2.5302775228319563,30.0,-75.90832568495868,-20.0,756.0000000000014,10665.599999999986,1.6229,1622.9,539.440142,609.9989125736,125000.0,204.91839808799332,-409.83679617598665,-410.0,-402.81740015909634,-7.0
15,23/01/2017,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.8400000000000034,0.7056000000000058,-3.1500000000000057,0.08333333333333333,-37.80000000000007,0.8575704807886488,0.9260510141394203,14.816816226230724,-2.5511553509775884,30.0,-76.53466052932765,-20.0,751.1999999999989,11416.799999999985,1.6313,1631.3,539.948454,610.5737117832,125000.0,204.7254861905756,-409.4509723811512,-409.0,-409.83679617598665,0.0
16,24/01/2017,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.37000000000000455,0.13690000000000335,-3.1299999999999955,0.08333333333333333,-37.559999999999945,0.8186153196649383,0.9047736289619289,14.476378063390863,-2.5945716418518368,30.0,-77.8371492555551,-20.0,748.8000000000011,12165.599999999986,1.6276,1627.6,551.983393,624.1828208044,125000.0,200.26183969451353,-400.52367938902705,-401.0,-409.4509723811512,9.0
17,25/01/2017,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-1.0,1.0,-3.1200000000000045,0.08333333333333333,-37.440000000000055,0.828419896980347,0.9101757506000404,14.562812009600647,-2.5709320408254563,30.0,-77.1279612247637,-20.0,746.4000000000033,12911.999999999989,1.6176,1617.6,647.763589,732.4910664412,125000.0,170.65054541526513,-341.30109083053026,-341.0,-400.52367938902705,59.0
18,26/01/2017,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.3299999999999841,0.10889999999998949,-3.1100000000000136,0.08333333333333333,-37.320000000000164,0.7895269295760033,0.888553278974313,14.216852463589008,-2.6250536182731703,30.0,-78.75160854819511,-20.0,746.3999999999965,13658.399999999985,1.6143,1614.3000000000002,757.3557069999999,856.4178334756,125000.0,145.9567924837723,-291.9135849675446,-292.0,-341.30109083053026,49.0
19,27/01/2017,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.4199999999999875,0.17639999999998948,-3.109999999999985,0.08333333333333333,-37.31999999999982,0.7563849333827053,0.8697039343263345,13.915262949221352,-2.681947163785943,30.0,-80.4584149135783,-20.0,746.3999999999965,14404.799999999981,1.6185,1618.5,812.758062,919.0668165096,125000.0,136.00752171068547,-272.01504342137093,-272.0,-291.9135849675446,20.0
20,30/01/2017,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.21999999999999886,0.0483999999999995,-3.109999999999985,0.08333333333333333,-37.31999999999982,0.7181154775241807,0.8474169443220856,13.55867110915337,-2.752482134831439,30.0,-82.57446404494317,-20.0,748.8000000000011,15153.599999999982,1.6207,1620.7,842.975484,953.2366773072001,125000.0,131.1321762745352,-262.2643525490704,-262.0,-272.01504342137093,10.0
21,31/01/2017,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.060000000000002274,0.0036000000000002727,-3.1200000000000045,0.08333333333333333,-37.440000000000055,0.6794930192796304,0.8243136655907327,13.189018649451723,-2.8387252300652754,30.0,-85.16175690195826,-20.0,751.2000000000057,15904.799999999988,1.6213,1621.3,846.005319,956.6628147252,125000.0,130.66254700817035,-261.3250940163407,-261.0,-262.2643525490704,1.0
22,01/02/2017,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.5199999999999818,0.2703999999999811,-3.130000000000024,0.08333333333333333,-37.56000000000029,0.6573798831023521,0.8107896663761521,12.972634662018434,-2.8953255046925266,30.0,-86.85976514077579,-20.0,751.1999999999989,16655.999999999985,1.6161,1616.1000000000001,875.672503,990.2104663924,125000.0,126.23578950382966,-252.47157900765933,-252.0,-261.3250940163407,9.0
23,02/02/2017,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.7599999999999909,0.5775999999999861,-3.1299999999999955,0.08333333333333333,-37.559999999999945,0.6530674569887107,0.8081258917945339,12.930014268712542,-2.9048691841652423,30.0,-87.14607552495727,-20.0,751.1999999999989,17407.199999999983,1.6237000000000001,1623.7,821.22226,928.638131608,125000.0,134.60571534312726,-269.2114306862545,-269.0,-252.47157900765933,-17.0
24,03/02/2017,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.12000000000000455,0.01440000000000109,-3.1299999999999955,0.08333333333333333,-37.559999999999945,0.6185448917460777,0.7864762499567789,12.583619999308462,-2.9848326635788487,30.0,-89.54497990736546,-20.0,753.5999999999967,18160.79999999998,1.6249000000000002,1624.9000000000003,785.932143,888.7320673044001,125000.0,140.64981404253322,-281.29962808506644,-281.0,-269.2114306862545,-12.0
25,06/02/2017,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.6999999999999886,0.48999999999998406,-3.1399999999999864,0.08333333333333333,-37.679999999999836,0.611596519219262,0.7820463664126712,12.51274186260274,-3.011330403339922,30.0,-90.33991210019767,-20.0,763.2000000000016,18923.99999999998,1.6319,1631.8999999999999,716.438413,810.1485574204,125000.0,154.29268972349146,-308.5853794469829,-309.0,-281.29962808506644,-27.0
26,07/02/2017,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.18999999999999773,0.03609999999999913,-3.180000000000007,0.08333333333333333,-38.16000000000008,0.5804885992614639,0.761898024187925,12.1903683870068,-3.1303401823913064,30.0,-93.91020547173919,-20.0,767.9999999999973,19691.999999999978,1.6338,1633.8,721.030975,815.34182653,125000.0,153.30993202199065,-306.6198640439813,-307.0,-308.5853794469829,2.0
27,08/02/2017,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.8400000000000034,0.7056000000000058,-3.1999999999999886,0.08333333333333333,-38.399999999999864,0.5872513776797634,0.7663232853566199,12.261172565705918,-3.131837497125141,30.0,-93.95512491375423,-20.0,772.7999999999997,20464.799999999977,1.6422,1642.2,770.075105,870.8009287340001,125000.0,143.5460113504119,-287.0920227008238,-287.0,-306.6198640439813,20.0
28,09/02/2017,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.009999999999990905,9.99999999998181e-05,-3.219999999999999,0.08333333333333333,-38.639999999999986,0.5555134653727491,0.745327757012141,11.925244112194257,-3.240185243712398,30.0,-97.20555731137195,-20.0,770.4000000000019,21235.19999999998,1.6422999999999999,1642.3,806.45996,911.9449227680001,125000.0,137.0696813800894,-274.1393627601788,-274.0,-287.0920227008238,13.0
29,10/02/2017,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.3199999999999932,0.10239999999999563,-3.210000000000008,0.08333333333333333,-38.520000000000095,0.5310208456228706,0.7287117712942961,11.659388340708738,-3.3037753674871237,30.0,-99.1132610246137,-20.0,767.9999999999973,22003.199999999975,1.6391,1639.1,831.093657,939.8007073356,125000.0,133.00692266383118,-266.01384532766235,-266.0,-274.1393627601788,8.0
30,13/02/2017,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.15000000000000568,0.022500000000001706,-3.1999999999999886,0.08333333333333333,-38.399999999999864,0.5035332323459587,0.7096007555984976,11.353612089575961,-3.3821835462615355,30.0,-101.46550638784606,-20.0,767.9999999999973,22771.19999999997,1.6376,1637.6,846.974419,957.7586730052001,125000.0,130.5130441761307,-261.0260883522614,-261.0,-266.01384532766235,5.0
31,14/02/2017,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.851208357,32,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.3400000000000034,0.11560000000000233,-3.1999999999999886,0.08333333333333333,-38.399999999999864,0.48256386843536647,0.6946681714569672,11.114690743311476,-3.45488694978832,30.0,-103.64660849364961,-20.0,765.5999999999995,23536.79999999997,1.6341999999999999,1634.1999999999998,851.208357,962.5464100956,125000.0,129.86386805762956,-259.7277361152591,-260.0,-261.0260883522614,1.0
32,15/02/2017,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619,33,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.11999999999997613,0.01439999999999427,-3.1899999999999977,0.08333333333333333,-38.27999999999997,0.4572577133848058,0.6762083357847682,10.819333372556292,-3.5381107765011524,30.0,-106.14332329503458,-20.0,765.5999999999995,24302.39999999997,1.6330000000000002,1633.0000000000002,847.630619,958.5007039652,125000.0,130.41200646268732,-260.82401292537463,-261.0,-259.7277361152591,-1.0
33,16/02/2017,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.845453133,34,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.539999999999992,0.2915999999999914,-3.1899999999999977,0.08333333333333333,-38.27999999999997,0.44830324239103203,0.6695545103955555,10.712872166328888,-3.5732714257821536,30.0,-107.19814277346461,-20.0,768.0000000000041,25070.399999999972,1.6384,1638.4,845.453133,956.0384027964,125000.0,130.74788589493542,-261.49577178987084,-261.0,-260.82401292537463,-1.0
34,17/02/2017,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.890519511,35,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.5900000000000034,0.348100000000004,-3.200000000000017,0.08333333333333333,-38.400000000000205,0.4428868509104359,0.6654974462088009,10.647959139340815,-3.606324883246823,30.0,-108.1897464974047,-20.0,768.0000000000041,25838.399999999976,1.6443,1644.3000000000002,890.5195110000001,1006.9994630388001,125000.0,124.1311486133173,-248.26229722663456,-248.0,-261.49577178987084,13.0
35,20/02/2017,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.937918795,36,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.15000000000000568,0.022500000000001706,-3.200000000000017,0.08333333333333333,-38.400000000000205,0.4201632373477097,0.6481999979541112,10.37119996726578,-3.702560949668375,30.0,-111.07682849005126,-20.0,765.5999999999995,26603.999999999975,1.6458000000000002,1645.8000000000002,937.9187949999999,1060.598573386,125000.0,117.85797486124547,-235.71594972249096,-236.0,-248.26229722663456,13.0
36,21/02/2017,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.962182762,37,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.17000000000001592,0.02890000000000541,-3.1899999999999977,0.08333333333333333,-38.27999999999997,0.3990138731667527,0.6316754492354065,10.106807187766504,-3.78754628329458,30.0,-113.6263884988374,-20.0,770.4000000000019,27374.399999999976,1.6441,1644.1,962.182762,1088.0362672696,125000.0,114.88587628947735,-229.7717525789547,-230.0,-235.71594972249096,6.0
37,22/02/2017,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.033838801,38,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.5800000000000125,0.3364000000000145,-3.210000000000008,0.08333333333333333,-38.520000000000095,0.39562933948206414,0.6289907308395444,10.06385169343271,-3.8275603788097152,30.0,-114.82681136429146,-20.0,777.5999999999954,28151.99999999997,1.6499000000000001,1649.9,1033.8388009999999,1169.0649161708,125000.0,106.92306156054173,-213.84612312108348,-214.0,-229.7717525789547,16.0
38,23/02/2017,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.147469244,39,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.6499999999999773,0.42249999999997045,-3.2399999999999807,0.08333333333333333,-38.87999999999977,0.39708180761816714,0.630144275240335,10.08230840384536,-3.856259741585673,30.0,-115.68779224757019,-20.0,782.4000000000046,28934.399999999976,1.6563999999999999,1656.3999999999999,1147.4692440000001,1297.5582211152002,125000.0,96.33479096804413,-192.66958193608826,-193.0,-213.84612312108348,21.0
39,24/02/2017,165.72,166.4,165.6,166.21,841355,1651201,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166210,166.21,162.95,1.272212901,40,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.5700000000000216,0.3249000000000246,-3.2600000000000193,0.08333333333333333,-39.12000000000023,0.3931800882874567,0.6270407389376361,10.032651823002178,-3.8992681785595877,30.0,-116.97804535678763,-20.0,777.6000000000022,29711.999999999978,1.6621000000000001,1662.1000000000001,1272.212901,1438.6183484508,125000.0,86.88892376119651,-173.77784752239302,-174.0,-192.66958193608826,19.0
40,27/02/2017,166.22,166.32,165.9,166.08,640091,1624074,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166080,166.08,162.84,1.378103407,41,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.12999999999999545,0.01689999999999882,-3.240000000000009,0.08333333333333333,-38.88000000000011,0.37284062405570223,0.6106067671224273,9.769708273958837,-3.9796480007120345,30.0,-119.38944002136104,-20.0,777.6000000000022,30489.59999999998,1.6608,1660.8,1378.103407,1558.3593326356001,125000.0,80.21256547332491,-160.42513094664983,-160.0,-173.77784752239302,13.0
41,28/02/2017,166.04,166.22,165.7,166.05,964851,1528464,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166050,166.05,162.81,1.457088993,42,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.030000000000001137,0.0009000000000000682,-3.240000000000009,0.08333333333333333,-38.88000000000011,0.3527357254580967,0.5939155878221221,9.502649405153953,-4.091490524622824,30.0,-122.7447157386847,-20.0,775.2000000000044,31264.799999999985,1.6605,1660.5,1457.0889929999998,1647.6762332843998,125000.0,75.86441891610642,-151.72883783221283,-152.0,-160.42513094664983,9.0
42,01/03/2017,165.78,165.9,164.75,164.93,1406475,1372386,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164930,164.93,161.7,1.422931013,43,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-1.1200000000000045,1.2544000000000102,-3.230000000000018,0.08333333333333333,-38.76000000000022,0.40147433489279477,0.6336200240623672,10.137920384997875,-3.8232693223116434,30.0,-114.6980796693493,-20.0,770.4000000000019,32035.199999999986,1.6493000000000002,1649.3000000000002,1422.931013,1609.0503895004,125000.0,77.68557207137044,-155.3711441427409,-155.0,-151.72883783221283,-4.0
43,02/03/2017,164.99,164.99,164.42,164.61,1294596,1163974,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164610,164.61,161.4,1.343974206,44,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.3199999999999932,0.10239999999999563,-3.210000000000008,0.08333333333333333,-38.520000000000095,0.38530815462831913,0.6207319507068403,9.931711211309445,-3.878485709102836,30.0,-116.35457127308509,-20.0,784.7999999999956,32819.999999999985,1.6461000000000001,1646.1000000000001,1343.9742059999999,1519.7660321448,125000.0,82.24950246031705,-164.4990049206341,-164.0,-155.3711441427409,-9.0
44,03/03/2017,161.59,161.6,160.63,160.71,1535914,1224904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,160710,163.98,160.71,1.433094786,45,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.6300000000000239,0.39690000000003006,-3.269999999999982,0.08333333333333333,-39.23999999999978,0.38593474086462787,0.6212364613129431,9.93978338100709,-3.947772149137522,30.0,-118.43316447412566,-20.0,770.4000000000019,33590.39999999999,1.6398,1639.8,1433.094786,1620.5435840088,125000.0,77.13461164110302,-154.26922328220604,-154.0,-164.4990049206341,10.0
