Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
01/07/2004,105.66,105.665,105.56,105.635,628015,656775,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105635,105.64,105.25,0.19257033346812671,1174,0.011,,0.88354833,
02/07/2004,105.66,105.81,105.615,105.765,703600,703688,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105765,105.77,105.395,0.18012726981784116,1175,0.011,,0.88354833,
05/07/2004,105.795,105.795,105.755,105.78,142215,684156,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105780,105.78,105.41,0.17691806012585945,1176,0.011,,0.88354833,
06/07/2004,105.795,105.82,105.74,105.77,368127,666433,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105770,105.77,105.4,0.1707088164058874,1177,0.011,,0.88354833,
07/07/2004,105.77,105.86,105.745,105.845,398592,659093,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105845,105.85,105.48,0.17031514905814776,1178,0.011,,0.88354833,
08/07/2004,105.84,105.86,105.77,105.84,537991,658644,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105840,105.84,105.48,0.17031514905814776,1179,0.011,,0.88354833,
09/07/2004,105.835,105.865,105.805,105.845,238128,679985,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105845,105.85,105.485,0.18185685762532908,1180,0.011,,0.88354833,
12/07/2004,105.865,105.865,105.82,105.86,193349,659805,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105860,105.86,105.495,0.19285076267765439,1181,0.011,,0.88354833,
13/07/2004,105.845,105.845,105.725,105.745,569747,657744,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105745,105.75,105.38,0.19668036675110537,1182,0.011,,0.88354833,
14/07/2004,105.765,105.81,105.75,105.77,355988,711244,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105770,105.77,105.415,0.19999937499571513,1183,0.011,,0.88354833,
15/07/2004,105.76,105.8,105.74,105.765,316609,714133,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105765,105.77,105.41,0.2002577505749438,1184,0.011,,0.88354833,
16/07/2004,105.75,105.935,105.75,105.92,460019,733864,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105920,105.92,105.55,0.19740778437536372,1185,0.011,,0.88354833,
19/07/2004,105.94,105.94,105.89,105.93,252779,736162,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105930,105.93,105.56,0.19282937189471663,1186,0.011,,0.88354833,
20/07/2004,105.935,105.94,105.865,105.9,327281,703645,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105900,105.9,105.53,0.19723885688500487,1187,0.011,,0.88354833,
21/07/2004,105.77,105.805,105.685,105.71,614696,704994,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105710,105.71,105.33,0.18750511103779702,1188,0.011,,0.88354833,
22/07/2004,105.745,105.81,105.72,105.8,413807,714516,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105800,105.8,105.42,0.17379034303422558,1189,0.011,,0.88354833,
23/07/2004,105.795,105.8,105.73,105.76,265050,699602,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105760,105.76,105.38,0.1648719199821908,1190,0.011,,0.88354833,
