Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,gbpusd,assetClass
06/06/2014,168.14,168.47,167.8,168.1,81331,231894,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105063,168.1,167.98,0.7040307758323805,6310,0.003,,1.33,,fx
09/06/2014,168.08,168.32,167.84,167.94,69156,214639,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104963,167.94,167.82,0.7007419876952597,6311,0.003,,1.33,,fx
10/06/2014,168.02,168.17,167.42,167.54,149335,178974,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104713,167.54,167.42,0.6272219171226189,6312,0.003,,1.33,,fx
11/06/2014,167.41,167.99,167.26,167.81,151827,147461,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104881,167.93,167.81,0.5524394385983633,6313,0.003,,1.33,,fx
12/06/2014,167.75,169.2,167.75,168.25,189453,218407,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105156,168.37,168.25,0.478141541093026,6314,0.003,,1.33,,fx
13/06/2014,169.13,169.79,169.11,169.55,152093,239782,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105969,169.68,169.55,0.5668186070683288,6315,0.003,,1.33,,fx
16/06/2014,169.64,169.97,169.46,169.65,78468,241842,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106031,169.88,169.65,0.643522079382107,6316,0.003,,1.33,,fx
17/06/2014,169.68,169.77,169.25,169.43,79080,249597,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105894,169.43,169.24,0.6979104526983921,6317,0.003,,1.33,,fx
18/06/2014,169.48,169.92,168.97,169.42,113514,250311,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105888,169.42,169.24,0.7362800644585625,6318,0.003,,1.33,,fx
19/06/2014,169.81,170.51,169.74,170.31,102075,256067,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106444,170.31,170.13,0.8452859476646004,6319,0.003,,1.33,,fx
20/06/2014,170.27,170.49,169.91,170.01,95216,258622,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106256,170.01,169.82,0.9113793575231703,6320,0.003,,1.33,,fx
23/06/2014,170.09,170.41,169.9,170.11,60677,252703,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106319,170.11,169.93,0.9737328517888234,6321,0.003,,1.33,,fx
24/06/2014,170.15,170.22,169.55,169.72,101875,253662,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106075,169.72,169.54,1.0060422456269953,6322,0.003,,1.33,,fx
25/06/2014,169.72,169.95,169.41,169.69,79299,255705,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106056,169.69,169.52,1.0306701703194143,6323,0.003,,1.33,,fx
26/06/2014,169.72,170.3,169.6,170.14,103703,256158,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106338,170.14,169.97,1.0796720180929957,6324,0.003,,1.33,,fx
27/06/2014,170.15,170.42,169.97,170.11,61061,253974,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106319,170.11,169.94,1.1214829468103475,6325,0.003,,1.33,,fx
30/06/2014,170.25,171.05,169.98,170.95,96352,255048,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106844,170.95,170.78,1.2059543938253112,6326,0.003,,1.33,,fx
01/07/2014,170.99,171.56,170.86,171.41,83903,254984,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107131,171.41,171.23,1.3068048821406961,6327,0.003,,1.33,,fx
02/07/2014,171.41,171.69,171.3,171.53,71572,253260,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107206,171.53,171.35,1.350499043558962,6328,0.003,,1.33,,fx
