Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-08-01,162.8,1.0,1000.0,0.65,1.6280000000000001,1628.0,1058.2,1058.2,-13.265752805823142,129883.81250000007,122.74032555282561,-162.82428180900422,-116,-116.0,61.0,0.0,-244260.00000000422,-244260.00000000422,9846730.0
2017-08-02,162.86,1.0,1000.0,0.63,1.6286000000000003,1628.6000000000004,1026.0180000000003,1026.0180000000003,-12.31960583572655,123084.125,119.96292950026215,-147.78960063422824,-105,-105.0,11.0,0.0,-6960.000000000264,-6960.000000000264,9819450.0
2017-08-03,163.3,1.0,1000.0,0.61,1.6330000000000002,1633.0000000000002,996.1300000000001,996.1300000000001,-10.82074842069075,122743.125,123.21998634716351,-133.33324726636053,-95,-95.0,10.0,0.0,-46199.99999999976,-46199.99999999976,9773190.0
2017-08-04,163.13,1.0,1000.0,0.6,1.6313,1631.3,978.78,978.78,-10.85323551292184,122164.875,124.81341568074542,-135.4629395555342,-97,-97.0,-2.0,0.0,16150.000000001512,16150.000000001512,9786090.000000002
2017-08-07,163.3,1.0,1000.0,0.58,1.6330000000000002,1633.0000000000002,947.1400000000001,947.1400000000001,-10.455046447241568,122326.12500000003,129.1531610955086,-135.03022980616151,-96,-96.0,1.0,0.0,-16490.000000001543,-16490.000000001543,9769550.0
2017-08-08,163.13,1.0,1000.0,0.57,1.6313,1631.3,929.8409999999999,929.8409999999999,-10.939968996137983,122119.375,131.33360972467338,-143.67856185388126,-102,-102.0,-6.0,0.0,16320.000000001528,16320.000000001528,9784790.000000002
2017-08-09,163.9,1.0,1000.0,0.56,1.639,1639.0,917.84,917.84,-9.142950144306898,122309.87500000003,133.25838381417242,-121.83747595238917,-87,-87.0,15.0,0.0,-78540.00000000105,-78540.00000000105,9706250.0
2017-08-10,164.11,1.0,1000.0,0.54,1.6411000000000002,1641.1000000000001,886.1940000000002,886.1940000000002,-7.912620347658921,121328.125,136.90921513799458,-108.33106414829088,-77,-77.0,10.0,0.0,-18270.00000000069,-18270.00000000069,9688085.0
2017-08-11,164.54,1.0,1000.0,0.53,1.6454,1645.3999999999999,872.062,872.062,-6.421442461860886,121101.0625,138.86749164623615,-89.17296074292527,-64,-64.0,13.0,0.0,-33109.999999998334,-33109.999999998334,9656775.000000002
2017-09-01,164.86,1.0,1000.0,0.52,1.6486,1648.6000000000001,857.272,857.272,-6.480512448821232,120709.68750000003,140.80675386575092,-91.24999213051059,-65,-65.0,-1.0,0.0,-20480.000000001382,-20480.000000001382,9641245.0
