Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-12-05,163.16,1.0,1000.0,0.45,1.6316,1631.6,734.22,734.22,-1.8695486817390112,115700.625,157.5830473155185,-29.46091783731439,-21,-21.0,-2.0,0.0,-3609.999999999957,-3609.999999999957,9165990.000000002
2017-12-06,163.52,1.0,1000.0,0.44,1.6352000000000002,1635.2000000000003,719.4880000000002,719.4880000000002,-0.0378491046197546,114574.87500000003,159.24501173056396,-0.6027281109164164,0,0.0,21.0,0.0,-7560.0000000002865,-7560.0000000002865,9160805.0
2017-12-07,163.65,1.0,1000.0,0.43,1.6365,1636.5,703.6949999999999,703.6949999999999,3.810193173722144,114510.0625,162.72683833194782,62.002068859377445,44,44.0,44.0,0.0,0.0,0.0,9205885.0
2017-12-08,160.74,1.0,1000.0,0.6,1.6074000000000002,1607.4,964.44,964.44,-16.993945916515816,115073.5625,119.31645566339014,-202.76573944940094,-145,-145.0,-189.0,0.0,-128039.99999999985,-128039.99999999985,9053639.999999998
2017-12-11,163.64,1.0,1000.0,0.7,1.6363999999999999,1636.3999999999999,1145.4799999999998,1145.4799999999998,-13.5987208613397,113170.49999999999,98.79744735831268,-134.35189084385974,-96,-96.0,49.0,0.0,-420499.9999999967,-420499.9999999967,8618205.000000002
2017-12-12,163.27,1.0,1000.0,0.69,1.6327,1632.7,1126.5629999999999,1126.5629999999999,-13.1564711481619,107727.56250000003,95.62497836339382,-125.80872688815968,-90,-90.0,6.0,0.0,35519.99999999771,35519.99999999771,8660725.0
2018-01-01,161.68,1.0,1000.0,0.71,1.6168,1616.8,1147.9279999999999,1147.9279999999999,-16.33596808587934,108259.0625,94.30823405300681,-154.06163017255585,-110,-110.0,-20.0,0.0,143100.00000000032,143100.00000000032,9052145.0
2018-01-02,161.28,1.0,1000.0,0.7,1.6128,1612.8,1128.9599999999998,1128.9599999999998,-17.165403610953653,113151.8125,100.2265912875567,-172.04298920010018,-123,-123.0,-13.0,0.0,44000.000000000626,44000.000000000626,9013465.0
2018-01-03,161.58,1.0,1000.0,0.68,1.6158000000000001,1615.8000000000002,1098.7440000000001,1098.7440000000001,-16.80469646402027,112668.3125,102.54282389710431,-172.3201030154322,-123,-123.0,0.0,0.0,-36900.0000000014,-36900.0000000014,8935299.999999996
2018-01-04,161.59,1.0,1000.0,0.66,1.6159000000000001,1615.9,1066.4940000000001,1066.4940000000001,-16.619109005254575,111691.24999999996,104.72749963900401,-174.04777323483668,-124,-124.0,-1.0,0.0,-1229.9999999988813,-1229.9999999988813,8902444.999999998
2018-01-05,161.59,1.0,1000.0,0.64,1.6159000000000001,1615.9,1034.1760000000002,1034.1760000000002,-16.516063793941168,111280.56249999999,107.60311832802151,-177.71799667326033,-127,-127.0,-3.0,0.0,-0.0,0.0,8912144.999999998
2018-01-08,161.8,1.0,1000.0,0.63,1.618,1618.0,1019.34,1019.34,-15.9766191140257,111401.81249999999,109.2881791158985,-174.60556114001284,-125,-125.0,2.0,0.0,-26670.00000000101,-26670.00000000101,8894114.999999998
