Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-08-01,66.19,1.0,1000.0,1.07,0.6619,661.9000000000001,708.2330000000002,708.2330000000002,183.3913591995855,129883.81250000007,183.3913591995855,45.48452255198653,32,32.0,-127.0,0.0,-299715.0000000008,-299715.0000000008,9846730.0
2017-08-02,65.555,1.0,1000.0,1.07,0.6555500000000001,655.5500000000001,701.4385000000001,701.4385000000001,175.47386549212794,123084.125,175.47386549212794,-5.834266197377797,-4,-4.0,-36.0,0.0,-20319.99999999971,-20319.99999999971,9819450.0
2017-08-03,65.57,1.0,1000.0,1.04,0.6557,655.6999999999999,681.928,681.928,179.99425892469586,122743.125,179.99425892469586,-18.502710978722938,-13,-13.0,-9.0,0.0,-59.99999999994543,-59.99999999994543,9773190.0
2017-08-04,65.82,1.0,1000.0,1.01,0.6581999999999999,658.1999999999999,664.7819999999999,664.7819999999999,183.76682130382594,122164.875,183.76682130382594,-6.7959649350906775,-5,-5.0,8.0,0.0,-3250.0,-3250.0,9786090.000000002
2017-08-07,65.83,1.0,1000.0,0.98,0.6583,658.3,645.1339999999999,645.1339999999999,189.61351440165927,122326.12500000003,189.61351440165927,4.603738994092123,3,3.0,8.0,0.0,-50.00000000002558,-50.00000000002558,9769550.0
2017-08-08,65.47,1.0,1000.0,0.97,0.6547,654.6999999999999,635.059,635.059,192.29610949533824,122119.375,192.29610949533824,-5.780021122844746,-4,-4.0,-7.0,0.0,-1079.9999999999982,-1079.9999999999982,9784790.000000002
2017-08-09,65.47,1.0,1000.0,0.94,0.6547,654.6999999999999,615.4179999999999,615.4179999999999,198.74276507999448,122309.87500000003,198.74276507999448,-9.529572932308183,-7,-7.0,-3.0,0.0,-0.0,0.0,9706250.0
2017-08-10,65.455,1.0,1000.0,0.92,0.65455,654.55,602.186,602.186,201.47948474391632,121328.125,201.47948474391632,-5.2102132150815255,-4,-4.0,3.0,0.0,105.00000000000398,105.00000000000398,9688085.0
2017-08-11,65.005,1.0,1000.0,0.91,0.65005,650.0500000000001,591.5455000000001,591.5455000000001,204.71977641618437,121101.0625,204.71977641618437,-31.239943195064377,-22,-22.0,-18.0,0.0,1800.0000000000114,1800.0000000000114,9656775.000000002
2017-09-01,64.78,1.0,1000.0,0.9,0.6478,647.8000000000001,583.0200000000001,583.0200000000001,207.04210404445817,120709.68750000003,207.04210404445817,68.92777052433476,49,49.0,71.0,0.0,4949.9999999998745,4949.9999999998745,9641245.0
2017-09-04,64.545,1.0,1000.0,0.88,0.6454500000000001,645.45,567.9960000000001,567.9960000000001,212.1767802942274,120515.5625,212.1767802942274,46.40919457294059,33,33.0,-16.0,0.0,-11514.999999999973,-11514.999999999973,9805230.000000002
2017-09-05,63.855,1.0,1000.0,0.9,0.63855,638.55,574.6949999999999,574.6949999999999,213.27029989820696,122565.37500000003,213.27029989820696,-19.724648427745223,-14,-14.0,-47.0,0.0,-22770.00000000016,-22770.00000000016,9719580.000000004
2017-09-06,63.815,1.0,1000.0,0.88,0.63815,638.15,561.572,561.572,216.34759211641617,121494.75000000006,216.34759211641617,-49.88152175026668,-36,-36.0,-22.0,0.0,559.9999999999881,559.9999999999881,9730220.000000002
2017-09-07,63.805,1.0,1000.0,0.85,0.63805,638.05,542.3425,542.3425,224.26372633529556,121627.75000000003,224.26372633529556,-57.102882336037474,-41,-41.0,-5.0,0.0,359.9999999999284,359.9999999999284,9638470.0
2017-09-08,63.74,1.0,1000.0,0.83,0.6374000000000001,637.4000000000001,529.042,529.042,227.73404569013422,120480.875,227.73404569013422,-67.31086902556369,-48,-48.0,-7.0,0.0,2664.999999999907,2664.999999999907,9672375.0
2017-09-11,64.29,1.0,1000.0,0.82,0.6429,642.9,527.178,527.178,229.34319622594265,120904.6875,229.34319622594265,-1.8286053417234496,-1,-1.0,47.0,0.0,-26400.000000000204,-26400.000000000204,9655475.0
2017-09-12,64.255,1.0,1000.0,0.8,0.64255,642.55,514.04,514.04,234.79386331802974,120693.4375,234.79386331802974,28.60662267522672,20,20.0,21.0,0.0,35.0000000000108,35.0000000000108,9705010.0
2017-10-02,63.825,1.0,1000.0,0.8,0.6382500000000001,638.2500000000001,510.60000000000014,510.60000000000014,237.58837641989808,121312.625,237.58837641989808,30.119292693329335,21,21.0,1.0,0.0,-8599.999999999853,-8599.999999999853,9743210.0
2017-10-03,63.215,1.0,1000.0,0.82,0.6321500000000001,632.1500000000001,518.363,518.363,234.9514240020989,121790.125,234.9514240020989,-44.02704595800958,-31,-31.0,-52.0,0.0,-12809.999999999987,-12809.999999999987,9740200.0
2017-10-04,63.385,1.0,1000.0,0.8,0.63385,633.85,507.08000000000004,507.08000000000004,240.10511161946832,121752.5,240.10511161946832,-50.52275389878547,-36,-36.0,-5.0,0.0,-5269.999999999833,-5269.999999999833,9714530.000000002
2017-10-05,63.88,1.0,1000.0,0.79,0.6388,638.8000000000001,504.6520000000001,504.6520000000001,240.62447983957261,121431.62500000003,240.62447983957261,6.920260892536584,5,5.0,41.0,0.0,-17820.000000000164,-17820.000000000164,9706510.000000002
