Date,PX_CLOSE_1D,near,far,FX_TO_USD,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-10-26,63.39,63.39,63.58,0.6485,0.4723793496628494,0.75,0.6339,1000.0,633.9,475.42499999999995,308.31311249999993,11.845503988165262,111455.95590625012,361.50248363585297,428.21791116401437,428,428.0,18.0,63.2,2217.8699999999735,50518.14999999939,52736.019999999364,8969212.492500009,428,410,18
2017-10-27,63.455,63.455,63.64,0.6485,0.4446276531975044,0.7,0.63455,1000.0,634.55,444.18499999999995,288.05397249999993,11.847763383279016,112115.15615625012,389.21579585662596,461.1336654343933,461,461.0,33.0,63.39,1391.0324999999514,18041.269999999367,19432.302499999318,8988644.79500001,461,428,33
2017-10-30,63.86,63.86,64.04,0.6485,0.4247849455759127,0.67,0.6386000000000001,1000.0,638.6,427.862,277.468507,11.426446061449905,112358.05993750012,404.93986561689366,462.70235326022083,463,463.0,2.0,63.455,525.2850000000014,121078.19250000034,121603.47750000034,9110248.27250001,463,461,2
2017-10-31,63.52,63.52,63.7,0.6485,0.4183685575995683,0.66,0.6352000000000001,1000.0,635.2,419.232,271.871952,11.45117810545927,113878.10340625013,418.8666854690848,479.6517017749878,480,480.0,17.0,63.86,-3748.329999999959,-102086.86999999887,-105835.19999999883,9004413.072500011,480,463,17
2017-11-01,63.875,63.875,64.055,0.6485,0.4198350866565822,0.66,0.63875,1000.0,638.75,421.57500000000005,273.3913875,11.448856231427797,112555.16340625014,411.6997409300252,471.3491144423929,471,471.0,-9.0,63.52,-2071.957499999982,110504.39999999902,108432.44249999904,9112845.51500001,471,480,-9
2017-11-02,64.395,64.395,64.575,0.6485,0.4198350866565822,0.65,0.64395,1000.0,643.95,418.56750000000005,271.44102375,11.105727897372667,113910.56893750012,419.6512648081262,466.0532758747331,466,466.0,-5.0,63.875,-1686.099999999987,158830.61999999877,157144.5199999988,9269990.03500001,466,471,-5
2017-11-03,65.26,65.26,65.435,0.6485,0.4963249943211862,0.76,0.6526000000000001,1000.0,652.6,495.976,321.64043599999997,9.65708755506497,115874.87543750013,360.2621513592903,347.90831384527354,348,348.0,-118.0,64.395,-66192.39500000069,261403.86500000276,195211.47000000207,9465201.505000012,348,466,-118
2017-11-06,65.0,65.0,65.175,0.6485,0.5571315673350721,0.86,0.65,1000.0,650.0,559.0,362.51149999999996,9.815786877729472,118315.01881250016,326.37590479888274,320.36363235319567,320,320.0,-28.0,65.26,4721.080000000093,-58676.28000000115,-53955.20000000106,9411246.30500001,320,348,-28
2017-11-07,64.4,64.4,64.57,0.6485,0.557308786330531,0.87,0.644,1000.0,644.0,560.28,363.34157999999996,9.231636615683149,117640.57881250014,323.7740607956297,298.8964474849357,299,299.0,-21.0,65.0,8171.099999999922,-124511.99999999882,-116340.8999999989,9294905.405000012,299,320,-21
2017-11-08,64.07,64.07,64.245,0.6485,0.5513670888387595,0.86,0.6406999999999999,1000.0,640.6999999999999,551.002,357.32479699999993,9.598487644745493,116186.31756250016,325.15604441104654,312.1006274893747,312,312.0,13.0,64.4,-2782.0650000001056,-63987.49500000242,-66769.56000000253,9228135.84500001,312,299,13
2017-11-09,63.755,63.755,63.93,0.6485,0.5517127120653746,0.87,0.6375500000000001,1000.0,637.5500000000001,554.6685000000001,359.7025222500001,9.706747537976234,115351.69806250013,320.6863753441476,311.28216843343273,311,311.0,-1.0,64.07,204.2774999999939,-63734.5799999981,-63530.302499998106,9164605.542500012,311,312,-1
2017-11-10,63.625,63.625,63.795,0.6485,0.5505600935906463,0.87,0.63625,1000.0,636.25,553.5375,358.96906875,9.666756108231324,114557.56928125015,319.12936030996167,308.4945693092277,308,308.0,-3.0,63.755,252.91500000000497,-26218.855000000513,-25965.940000000508,9138639.60250001,308,311,-3
2017-11-13,63.87,63.87,64.045,0.6485,0.5427033412966514,0.85,0.6386999999999999,1000.0,638.6999999999999,542.895,352.06740749999994,10.12117504466432,114232.99503125013,324.46341978204885,328.3951067204516,328,328.0,20.0,63.625,3177.649999999967,48935.80999999949,52113.45999999945,9190753.06250001,328,308,20
2017-11-14,65.15,65.15,65.32,0.6485,0.5946128292044617,0.91,0.6515000000000001,1000.0,651.5000000000001,592.8650000000001,384.4729525000001,7.94584836521793,114884.41328125012,298.8101309447772,237.42999904781135,237,237.0,-91.0,63.87,-75537.2800000005,272266.24000000174,196728.96000000124,9387482.02250001,237,328,-91
2017-11-15,65.165,65.165,65.335,0.6485,0.6471361268346214,0.99,0.6516500000000001,1000.0,651.6500000000001,645.1335000000001,418.3690747500001,8.169492249344943,117343.52528125013,280.4784874488386,229.136682932128,229,229.0,-8.0,65.15,-77.82000000000295,2305.4175000000873,2227.5975000000844,9389709.62000001,229,237,-8
2017-11-16,64.77,64.77,64.94,0.6485,0.657155676625524,1.01,0.6476999999999999,1000.0,647.6999999999999,654.1769999999999,424.2337844999999,8.23389277621596,117371.37025000014,276.666721365281,227.80441184689408,228,228.0,-1.0,65.165,256.1575000000066,-58660.06750000152,-58403.91000000151,9331305.710000008,228,229,-1
2017-11-17,65.155,65.155,65.325,0.6485,0.6769369123641493,1.04,0.6515500000000001,1000.0,651.5500000000001,677.6120000000001,439.43138200000004,8.304475249162191,116641.32137500012,265.43693999305697,220.43144983856914,220,220.0,-8.0,64.77,-1997.3800000000265,56925.33000000075,54927.950000000725,9386233.66000001,220,228,-8
2017-11-20,65.675,65.675,65.845,0.6485,0.74486564783259,1.13,0.65675,1000.0,656.75,742.1274999999999,481.26968374999996,8.24352400229494,117327.92075000012,243.7883056248089,200.96747488969268,201,201.0,-19.0,65.155,-6407.17999999995,74188.39999999943,67781.21999999948,9454014.880000008,201,220,-19
2017-11-21,65.625,65.625,65.8,0.6485,0.7988346720824187,1.22,0.65625,1000.0,656.25,800.625,519.2053125,8.722175814796222,118175.1860000001,227.60781362382556,198.52353672483773,199,199.0,-2.0,65.675,64.84999999999631,-6517.424999999629,-6452.574999999632,9447562.305000009,199,201,-2
