Date,PX_CLOSE_1D,forecast_combined,carry,EWMA_2/8,EWMA_4/16,EWMA_8/32,EWMA_16/64,EWMA_32/128,EWMA_64/256
2017-06-06,164.93,20.0,20.0,20.0,19.813849513571142,10.558063665475125,2.6015864298127065,-2.191269066879407,-3.6399826912458737
2017-06-07,160.5,-20.0,-20.0,-19.8834234628667,-17.437493880971143,-7.896094530189178,0.2045979667207157,0.8674655192399313,-1.1927151837063408
2017-06-09,162.57,-17.306005860900097,-20.0,-14.953921171883962,-9.06486200457274,-0.5362494483977311,3.165043557209681,2.406617820610113,0.2415487351017453
2017-06-10,161.16,-10.240055878807876,-8.036531075574569,-0.7137528059981263,-4.0185015176135215,-8.305996038127804,-7.388262431001351,-3.6079361875981606,-2.2454892198594227
2017-06-11,163.14,-1.1103691061529877,-7.073518646206749,10.475816314989054,9.977268445716422,5.764464881313202,0.2832461035648005,-2.043672707861628,-2.498413763859181
2017-06-12,163.52,-0.0378491046197546,-4.70728629613635,5.595340284207083,4.7184147874731615,4.746561711948426,3.47329807496104,1.0532270868970532,-0.9736500895510044
2017-07-02,163.38,-14.220024094486629,-20.0,7.939658918423936,2.348529875547516,-2.697876975981517,-4.112447649229011,-3.025487052256438,-1.5867016128085387
2017-07-03,161.3,-20.0,-20.0,-16.929012604174883,-11.57244413561181,-3.595109825460833,-0.733048662889873,-0.7598892556842803,-0.7380920281643626
2017-07-04,162.85,15.935820131476554,20.0,10.78922964481744,10.294815609657366,2.9079643244965903,-3.908423285102269,-5.331960003100929,-3.827588956453739
2017-07-06,165.0,20.0,20.0,20.0,20.0,13.081649112848918,4.116299579290944,-1.5693946686438185,-3.4799819744561096
2017-07-07,160.49,-20.0,-20.0,-19.616106935500905,-19.1076055900675,-9.9540388559362,-1.0807907143639297,0.3702136505178311,-1.3838599707962735
2017-07-08,163.3,-10.455046447241568,-20.0,9.811175057115666,9.430731939688858,4.083515897003712,0.2441365249232872,-0.9783676383841045,-2.2439128614119466
2017-07-09,163.18,-16.02878564421182,-20.0,-8.028295840789527,-7.65130567660636,-1.0546761775487383,2.7512007336649367,2.2952054184749566,0.2334065504842073
2017-07-11,163.28,0.017020571086429678,-6.691485986072771,11.610912645339406,11.320029691058265,7.010104363551346,1.0790261711885092,-1.7249984446939477,-2.432017247430599
2017-07-12,163.65,3.810193173722144,-0.3715531329168008,7.245538981304541,6.074139667772359,5.542735984505387,3.940479721856693,1.3085446063847768,-0.885639542238871
2017-08-02,164.22,-12.356440679005317,-20.0,12.244341749242752,5.640831435019325,-0.7719029190612273,-3.310608771788659,-2.7779852843500046,-1.526066432335377
2017-08-03,160.5,-20.0,-20.0,-16.964819032598104,-13.305912598019557,-5.461801204742726,-1.6853654590568787,-1.1240209040175544,-0.8765510238310505
2017-08-05,160.46,6.355686090637538,20.0,-12.946115352225368,-11.210394679983343,-6.53619930093182,-4.0995282112980425,-4.626613646150577,-4.31789818142037
2017-08-06,164.97,20.0,20.0,20.0,20.0,14.896118715817089,5.466865904269459,-0.969526255642835,-3.321256003083572
2017-08-08,163.13,-10.939968996137985,-20.0,6.6903284282863575,8.69216318335912,4.537208557515087,0.6878291218873428,-0.8077100611457312,-2.219333332997602
2017-08-09,162.96,-5.530687261317109,-5.123428478697361,-6.68939771843316,-7.371286613145029,-1.7331467882298792,2.3237334648104926,2.1920458445286983,0.2156606184281611
2017-08-11,163.4,0.658343332422995,-6.67206457400802,11.80640255978071,12.300686657707129,8.178815174912984,1.8933359194992423,-1.3807918105502412,-2.353920791998306
2017-08-12,160.74,-16.993945916515816,-20.0,-13.691809202237238,-4.267308037865206,0.0871324500689053,1.104472123861751,0.3832748441054354,-0.577083291153111
2017-09-01,162.95,-16.53259594019331,-20.0,-4.695302359092542,-4.484712216540811,-2.889976204479572,-1.4264285767409024,-0.6006845521645969,-0.2319207723106347
2017-09-02,164.23,-11.723140490276645,-20.0,11.947080677353185,7.35467905835409,0.6636638555125887,-2.703003371536311,-2.633220522868537,-1.5172076448918954
2017-09-03,159.99,-1.2623911908750916,9.34681719014372,-17.108935256122287,-14.889630085393796,-7.2993598896418845,-2.70448085724845,-1.5431312394207066,-1.0444798838876403
2017-09-05,160.29,5.763830335055408,20.0,-12.610475481538089,-12.247205157847285,-7.782724453549354,-4.8965467664190045,-5.028038329372251,-4.54867448309824
2017-09-06,164.87,-4.327364553804759,-20.0,16.2449282809101,20.0,16.01807323841924,6.618024051460873,-0.4059092084924142,-3.165496462168833
2017-09-08,163.9,-9.142950144306898,-20.0,12.047360297881465,10.77190833969384,5.879710815038737,1.527420230868867,-0.4112620824187091,-1.981510803577866
2017-09-10,161.44,-9.479113867670149,-8.17923856409127,2.032874692277836,-2.4741278949178582,-7.529519164778606,-7.292952571161496,-3.748955140193596,-2.3547677282271127
2017-09-11,162.58,-2.775443923854735,-7.01733148979926,0.2405480773178874,7.089526096471847,6.46225697763725,1.7351945055719484,-1.1682257108045782,-2.125655167497805
2017-10-01,163.12,-16.30326544426993,-20.0,-3.1738549066873007,-4.144114423120012,-3.07421621583237,-1.63277939977661,-0.714335311516631,-0.2812473958403169
2017-10-02,163.91,-12.21652829073749,-20.0,8.170118235990607,7.080438917350821,1.3825579433709214,-2.28464632469291,-2.532259631474607,-1.5193097803864604
2017-10-03,159.01,-2.5726206455418574,9.4651862417176,-19.14458869515785,-16.969099492598858,-9.308162578696155,-3.8590244614900633,-2.0267482896163203,-1.231566216659476
2017-10-04,162.99,16.447200196788906,20.0,10.833366419750812,11.060306166924114,4.103210408781184,-3.1638374228559947,-5.141458684814649,-3.849799493112072
2017-10-05,160.6,6.604437905352206,20.0,-7.8543131526158545,-10.978236350925425,-8.089873966765946,-5.367863624372956,-5.3064106605027135,-4.72076355374032
