Date,FinalForecast,Multiplier,ewma_EWMA002_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2025-01-14,-4.711108526906984,1.1231847665801717,-7.077560784993654,-6.927666292334672,-3.944360910343128,1.68950291630916
2025-01-15,-4.565828008176097,1.12319904554929,2.9683424635407927,-2.560918180661025,-2.5445183687744954,1.7494690052315531
2025-01-16,-0.10884504624988008,1.123199211605821,4.101786845764611,-0.8285613663460762,-1.8932334689493184,1.8562840301729528
2025-01-17,0.9087476022155332,1.1232015944291476,8.329278043779057,2.21158961240492,-0.5164447016750819,2.2193865271440933
2025-01-21,3.4380733743426743,1.1232038131578355,12.269525748145334,5.552150869878296,1.233177534723067,2.8162630540172984
2025-01-22,6.141436706899149,1.1232049371487636,14.57550468701073,8.4854293153171,3.072162655974442,3.561242729555624
2025-01-23,8.33820934011241,1.1232052319738663,15.801250921189402,10.939914441629403,4.915139411888268,4.404195049801735
2025-01-24,10.125833717819091,1.1232050323314695,12.468476798817164,11.217816255618008,6.018273588686895,5.066298752249576
2025-01-27,9.763599979182965,1.1231932099662494,2.2893145913409816,7.155495312824172,5.140037924279901,4.838056202992775
2025-01-28,5.453912498728365,1.1231919778629778,3.5293083199010504,6.758724012257661,5.363506580509193,5.096012909057679
2025-01-29,5.825868656693147,1.1231915373442085,0.9314301584795543,5.226198759598397,5.093113973807499,5.208103944034089
2025-01-30,4.621608048836447,1.1231912162279363,2.8018654921802115,5.386340936109033,5.327318947662825,5.480912027220588
2025-01-31,5.334156172145358,1.1231908507759425,0.1497389329768763,4.015363927085621,4.951399865905453,5.521987197733212
2025-02-03,4.110457221304213,1.1231915976931408,-4.50813764256434,1.3077653759694177,3.862755529879593,5.225738156035376
2025-02-04,1.6533760599162914,1.1231942700714357,-1.507244051234676,1.4104282656285425,3.673916437090144,5.219622561789605
2025-02-05,2.4701077497332595,1.1231944849673325,1.619949421700832,2.3758914528964863,3.916900840702516,5.4053195635491385
2025-02-06,3.7396926509507558,1.1231943066337844,4.056712559084465,3.635848511455973,4.40519539564762,5.699978517277444
2025-02-07,4.997571007873222,1.123192588835844,-1.1431225377422605,1.740827021616025,3.660407119763382,5.424662553997819
2025-02-10,2.7189066350040654,1.1231932463735839,1.3084010806955702,2.3158636536156703,3.7855710728759377,5.511227723486102
2025-02-11,3.628212742032297,1.123193221183161,2.1372756766479326,2.7213628847956093,3.962912119298344,5.690307363918603
2025-02-12,4.074905394280121,1.1231932897192158,0.1656028275669926,1.9813163755461995,3.7081315948852978,5.693094258222096
2025-02-13,3.242701727425384,1.1231939715473709,5.629650606959218,4.135589185783173,4.43432167742185,5.875106310534178
2025-02-14,5.636936525154737,1.1231939849235446,6.066186699629618,5.099101290644644,5.034583580317371,6.246058148620375
2025-02-18,6.302781307260004,1.1231936277275791,6.866823466023653,6.114135251423127,5.7210067038921455,6.665498583147939
