Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2025-01-28,-3.3218099979737987,1.3516379247727464,-1.3074794977288626,6.640890308622417,-3.340328942687248,-10.24826239055969
2025-01-29,-2.7895041744618436,1.3516381219809415,-1.0082378352093215,6.3993427923967285,-2.487840924891686,-9.8585489919754
2025-01-30,-2.3502574400914256,1.35163833183891,-1.0349569009663628,6.546364845955747,-1.5992887482649083,-9.40765903064545
2025-01-31,-1.8570225488107102,1.3516579662280466,-1.0400756040412695,4.331989076417192,-1.6634277908057589,-9.104098101428384
2025-02-03,-2.5261193055060267,1.351658787871689,-0.7127454589102699,2.8194857310328456,-1.810480223015025,-9.04764329699817
2025-02-04,-2.9572425869810983,1.3516686462994951,-0.6952513823924894,4.656464669327311,-0.6493694520141522,-8.091509184276296
2025-02-05,-1.6151317376578818,1.3516693070368424,-0.7120480407147918,6.382270061279253,0.5047847230639259,-7.490332549744247
2025-02-06,-0.4444770437565039,1.3516865302568306,-0.3541903986494891,4.600156280630008,0.4153648927690941,-7.1008525725424905
2025-02-07,-0.8243685656588016,1.3516887881955182,0.0,2.721354530072151,0.0232689415464512,-7.063743378500355
2025-02-10,-1.4595338956142192,1.3516956482627032,0.0,-0.0649724316038929,-0.9305439472311572,-7.190752867031553
2025-02-11,-2.7663299155204215,1.3516926123177255,0.0,0.9564755854583084,-0.5887369156162563,-6.739109168584844
2025-02-12,-2.1530330576670202,1.3516922665802342,0.3729605483326761,1.7379271113824997,-0.2486360098189814,-6.536707961816943
2025-02-13,-1.5796123813494098,1.3516972036479187,0.0,5.105425287470673,1.2764784447833089,-5.489623181534691
2025-02-14,0.30152332622641553,1.3516974049623725,0.0,6.867439906090031,2.4341185242402266,-4.898638852416132
2025-02-17,1.4878676565777516,1.3517100462531058,0.0,9.445584925808276,4.04845542275102,-3.941538506279551
2025-02-18,3.228053992995443,1.3517103880401051,0.0,10.684948737077558,5.329305926522497,-3.18048414129934
2025-02-19,4.336879998154953,1.3517087563998234,-0.3919833224115286,10.503944998230438,6.079494054433429,-2.561770902945099
2025-02-20,4.605973335284863,1.3517475697036632,-0.3794265241314843,12.52089933532239,7.477467257601726,-1.41565112662354
2025-02-21,6.1515383152861185,1.35174216809484,-0.771237321156982,12.01351952383369,8.121992985068635,-0.7208882900581827
2025-02-24,6.300265265871014,1.3517426421381848,-0.7929599128142363,11.420537125344469,8.645890426525279,-0.1015556755012764
2025-02-25,6.478936196958905,1.3517558831430794,-0.8055758243608654,11.957984335413506,9.451574479164602,0.668717290659529
2025-02-26,7.188902152254651,1.351761094235349,-0.4132857088528968,12.468956131354505,10.304186334466332,1.450752257779219
2025-02-27,8.046463227806845,1.3517442116366276,-0.8061578000724176,8.808443498564987,9.180163580128868,1.6039773576309613
2025-02-28,6.348570070689642,1.3517355255711545,-0.8191930288540588,5.338256132272129,7.996015544630556,1.5747976299879276
2025-03-03,4.761557361402429,1.3517669757895021,-0.7492640984942736,7.064118090587542,8.007350559836656,2.0321379079198154
2025-03-04,5.526922316630187,1.3517932207177143,-0.7177085367946368,10.864382914363638,9.39127599197045,2.933493019803065
2025-03-05,7.594405322329068,1.351832223813598,-0.681431091827687,15.384901485464567,11.404304366112084,4.1142500003780365
2025-03-06,10.213771842099575,1.3518315762317779,-1.050917594747638,17.76712575854612,13.409509566853473,5.373186185812618
2025-03-07,11.99724870833637,1.3518444103590461,-0.7172531627670484,19.23343865090399,15.144225193052163,6.611550868145953
2025-03-10,13.610070531864293,1.3518160038160856,-0.7239207514186855,17.319307804053356,15.42073688365766,7.340298914787629
2025-03-11,13.301084944711091,1.3518591356781402,-0.7016961706113368,17.96152430093826,16.070941854339615,8.109714866593716
2025-03-12,14.005449869001154,1.3518615835958525,0.0,18.371282071159737,17.198307681606302,9.202584704704046
2025-03-13,15.131334362631113,1.3518516396387805,0.0,17.357633618767792,17.693725665909,10.083623424877771
2025-03-14,15.253820185088385,1.3518401266039988,0.0,15.509030912876826,17.675255430116447,10.766366426243296
2025-03-17,14.85388062277559,1.3518689427222907,0.0,15.82108546020845,17.930542682044017,11.37963541182463
2025-03-18,15.25293041454409,1.3518726677144994,-0.3877145739195689,15.939859170321034,18.54778112068672,12.288132468658224
2025-03-19,15.677717644183488,1.3518753107885648,-0.3985841479415362,15.590246986263876,18.959826257716223,13.12981185477753
2025-03-20,15.979156828618109,1.3518373231938157,-1.6064068957576112,12.729907401218696,18.03275523239497,13.33061399435697
2025-03-21,14.358592528566945,1.3518145835705506,-2.0431958721065864,9.431367630805658,16.776763359548564,13.402172050981356
2025-03-24,12.695942570826459,1.3518147685564286,-1.680609558837705,7.323847417385631,15.836208028596898,13.587408498846836
2025-03-25,11.851056515703831,1.3518243051122412,-1.721114714201812,6.670635738502567,15.269621540874912,13.820645128789568
2025-03-26,11.503686648714538,1.351792996141862,-0.8522865436832007,3.414019783520185,13.243402105447505,13.1820522268038
