Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2025-02-05,2.8853437507231146,1.3577977865512412,12.135061666957125,8.240581623367975,2.993479541980941,-5.3381265247679925
2025-02-06,6.1206193248218685,1.3577994738456198,10.704829908262624,8.40340683129233,3.724463844117413,-4.752036162520874
2025-02-07,6.13753338779079,1.357811470824237,8.916348944365323,5.208412218849541,3.0175764871596336,-4.488998919988312
2025-02-10,4.295212501149462,1.3578115919191456,9.155533925792358,3.598544200810509,2.64052607341812,-4.413417031125889
2025-02-11,3.727599337791289,1.3578128777733425,7.597271564574605,1.0240686692473204,1.6883537978966496,-4.516499611551261
2025-02-12,1.9665410447173453,1.3578284463379355,3.085336136627454,-4.580907027254001,-0.8401564072238477,-4.783846225679335
2025-02-13,-2.416768753509796,1.3578165857955014,6.594520333913399,-3.4841759173207896,-1.048790725085975,-4.546018556290837
2025-02-14,-0.8433618246125534,1.357816464328719,6.780317822455354,-2.9373815437972493,-1.251074490223259,-4.651509229903364
2025-02-17,-0.699152462965905,1.3578099802700463,8.277151401772771,-0.258590851649467,-0.470145761713085,-4.268134758119517
2025-02-18,1.1135032667591125,1.357814889554332,5.992158127430766,-1.0918823140501217,-0.8080348759805854,-4.26504753357454
2025-02-19,-0.05865976207137176,1.357813031908658,6.893061042846275,-0.5782376748384217,-0.6898429492794794,-4.213585793029622
2025-02-20,0.47910189193475333,1.357811297311862,7.8155892932052815,0.8324024299803229,-0.1462544762991826,-3.9855130629412536
2025-02-21,1.533046184684131,1.3578122982769478,10.57251804405679,4.619497156686414,1.5187382985004867,-3.093966521072033
2025-02-24,4.622286251908872,1.3578199495427554,0.0,8.606010554974242,3.594228006143146,-2.0935973266391894
2025-02-25,3.430856520511014,1.3578621980987526,0.0,13.37831804831774,6.250427398199359,-0.5988703567376673
2025-02-26,6.4600974481716005,1.3578854128456557,0.0,17.476217400249336,9.058344054430547,0.8595595267283201
2025-02-27,9.299473427209533,1.3578787117894215,0.0,18.311784869162437,10.846185804487968,2.019011471419581
2025-02-28,10.584107897286433,1.35793873159851,0.0,20.0,12.726193552975888,3.3560713725646942
2025-03-03,12.249572656276472,1.3579605029290385,0.0,20.0,14.899003753677242,4.809790757421985
2025-03-04,13.480702647096988,1.357956373450614,0.0,20.0,16.45433612555449,6.107404545491319
2025-03-05,14.448910148942641,1.357924739085875,0.0,18.73818823076096,16.221413215925296,6.759432118565413
2025-03-06,14.162803172982247,1.357922460100191,0.0,16.355446636025917,16.21457443939515,7.473224092049124
2025-03-07,13.593690708498666,1.3579010044412416,0.0,12.879446099729844,15.34739264000406,7.807228086402388
2025-03-10,12.232986813087441,1.3579357414317266,0.0,13.690524652213895,14.635108783540806,7.821386162285949
2025-03-11,12.270953160009007,1.3578937678916305,0.0,11.741849721427238,14.0334680823416,8.081714913427826
2025-03-12,11.493364725469633,1.3578702919977892,0.0,8.823901749003621,13.04493936717167,8.19933843489787
2025-03-13,10.207303220469914,1.3578877568070937,0.0,8.739052598568737,12.844595405097532,8.511902605625654
2025-03-14,10.216359831943098,1.3578565103625415,0.0,6.054396343276148,11.568440144484253,8.36009963925773
2025-03-17,8.820220553364333,1.3578481677738803,0.0,3.647224198822594,10.421610372092209,8.28655398797574
2025-03-18,7.588855054239672,1.3578569720223719,0.0,3.277097154248608,9.878380781269042,8.356980077957576
2025-03-19,7.302782490478043,1.3578703997290575,0.0,4.662409487248647,9.982746099989232,8.585130568724258
2025-03-20,7.885967176328352,1.3578768893992965,0.0,6.141393268308684,10.439330258180176,9.021587143793107
2025-03-21,8.691195634527146,1.3578767551813988,0.0,6.762451005996677,10.754963691271277,9.447865062734817
2025-03-24,9.153566171124625,1.3578299580191242,0.0,2.848376640600425,8.674927954856214,8.539848216193066
2025-03-25,6.810642244687907,1.3578408754845936,0.0,2.3921341265129885,8.162609553018763,8.486487350128849
2025-03-26,6.4637094221105995,1.3578343568316678,0.0,1.0490510501002612,7.351504619081198,8.340378023046641
2025-03-27,5.682849822665682,1.3578334224700785,0.0,0.1198133929107224,6.652902442069597,8.229283725435959
