Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
31/10/2012,1412.5,1418.25,1400.5,1406.75,1775115,2980425,Future,CME,USD,0.25,12.5,50,70375,ES1 Index,17.859597093228512,3817,0.001,,1
01/11/2012,1402,1425,1398.5,1423.25,1705826,2949574,Future,CME,USD,0.25,12.5,50,70337.5,ES1 Index,17.78656445183066,3818,0.001,,1
02/11/2012,1423.25,1431.5,1405,1405.5,2088815,2978796,Future,CME,USD,0.25,12.5,50,71162.5,ES1 Index,18.419175922548703,3819,0.001,,1
05/11/2012,1402.75,1415.5,1402.5,1412,1385411,2985203,Future,CME,USD,0.25,12.5,50,70275,ES1 Index,18.636193504373928,3820,0.001,,1
06/11/2012,1411,1429.25,1409.75,1425.25,1481236,2957854,Future,CME,USD,0.25,12.5,50,70600,ES1 Index,18.438653918669658,3821,0.001,,1
07/11/2012,1425,1431.75,1384,1389,3190105,3049237,Future,CME,USD,0.25,12.5,50,71262.5,ES1 Index,19.568123526094226,3822,0.001,,1
08/11/2012,1390.25,1397.5,1372.5,1375.25,2614835,3071063,Future,CME,USD,0.25,12.5,50,69450,ES1 Index,20.876786350693376,3823,0.001,,1
09/11/2012,1375.75,1388,1363.5,1375.75,2549123,3061897,Future,CME,USD,0.25,12.5,50,68762.5,ES1 Index,21.59039620601048,3824,0.001,,1
12/11/2012,1375.25,1381.75,1372.5,1378.25,1130556,3047398,Future,CME,USD,0.25,12.5,50,68787.5,ES1 Index,22.02211483181982,3825,0.001,,1
13/11/2012,1378.25,1386.25,1365.75,1371,1950242,3032864,Future,CME,USD,0.25,12.5,50,68912.5,ES1 Index,23.327616859262267,3826,0.001,,1
14/11/2012,1373.25,1381.75,1349.5,1353,2448702,3074002,Future,CME,USD,0.25,12.5,50,68550,ES1 Index,26.052131230781935,3827,0.001,,1
15/11/2012,1354,1359,1345.25,1351.25,2405346,3066032,Future,CME,USD,0.25,12.5,50,67650,ES1 Index,28.27737243213905,3828,0.001,,1
16/11/2012,1351.5,1360.5,1340.25,1359.75,2588254,3048449,Future,CME,USD,0.25,12.5,50,67562.5,ES1 Index,29.632477959145472,3829,0.001,,1
