Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_px,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,trades,pnl_usd,carry_pnl_usd,trade_pnl_usd,strategy_ret,current_position
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.0010403280093018719,0.17000000000001592,0.0010403280093018719,1.0154322011557528,1.007686558983374,163.518769796096,163.6907849787533,-0.17201518265730442,-0.17070306349113717,-1.2802729761835288,-1.2802729761835288,-0.0017153727837209399,0.46,1.6358000000000001,1635.8000000000002,752.4680000000001,665.4297842235586,9978625.751680227,124768.52670675628,187.5006644800842,-24.005203375030668,-17.186553457552442,-17,2,-2856.384860276178,-2856.384860276178,0.0,-0.0002861684087796381,-19.0
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,0.001956229367893414,0.3199999999999932,0.001956229367893414,0.9660791092013876,0.982893233877102,163.6712618776576,163.71539851066467,-0.044136633007070714,-0.04490480907368768,-0.3367860680526576,-0.3367860680526576,-0.002504507594930524,0.42,1.639,1639.0,688.38,608.7548638132296,9973814.998231342,124732.82189600285,204.8982756616985,-6.900688461087299,-4.9405559818649385,-5,12,-4810.753448885642,-4810.753448885642,0.0,-0.00048210580981810996,-17.0
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.0029286150091519803,-0.4800000000000182,-0.0029286150091519803,0.9263126708661784,0.9624513862352625,163.57075712659457,163.68064574470412,-0.10988861810955086,-0.1141757596083815,-0.8563181970628613,-0.8563181970628613,0.0009863167337722932,0.4,1.6341999999999999,1634.1999999999998,653.68,578.0686239830208,9975937.389458792,124672.68747789178,215.67108524048473,-18.468307487172257,-13.222406364986547,-13,-8,2122.391227449674,2122.391227449674,0.0,0.00021279632997263712,-5.0
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-0.0023864888018602093,-0.38999999999998636,-0.0023864888018602093,0.8844633373058439,0.9404591098531844,163.35445427595675,163.60409918650365,-0.2496449105468912,-0.2654500423584215,-1.9908753176881613,-1.9908753176881613,0.0020435937881196423,0.34,1.6303,1630.3000000000002,554.3020000000001,490.18570923240196,9980420.940926779,124699.21736823491,254.39178462282294,-50.64623250282209,-36.26022944836933,-36,-23,4483.5514679871085,4483.5514679871085,0.0,0.0004494366086062963,-13.0
2017-01-20,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,-0.004539041894130014,-0.7400000000000091,-0.004539041894130014,0.8662545082622856,0.9307279453536815,162.92867256557406,163.4494992822091,-0.5208267166350424,-0.5595907152407738,-4.196930364305803,-4.196930364305803,0.009036666472975964,0.33,1.6229,1622.9,535.557,473.6089494163424,10003979.48355147,124755.26176158474,263.4140717047859,-110.55305159232421,-79.15058670418809,-79,-43,23558.542624690774,23558.542624690774,0.0,0.0023604758520839636,-36.0
2017-01-23,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,0.005175919650009186,0.8400000000000034,0.005175919650009186,0.8575704807886488,0.9260510141394203,163.0092035393444,163.41191113136097,-0.40270759201655437,-0.4348654511120975,-3.2614908833407315,-3.2614908833407315,-0.02172297434233062,0.33,1.6313,1631.3,538.3290000000001,476.06031128404675,9945295.36611249,125049.7435443934,262.6762630287427,-85.67162371382564,-61.33669928764355,-61,18,-58684.1174389815,-58684.1174389815,0.0,-0.005866077348066321,-79.0
2017-01-24,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,-0.002268129712499234,-0.37000000000000455,-0.002268129712499234,0.8186153196649383,0.9047736289619289,162.90952212360665,163.33521570414203,-0.42569358053538053,-0.4704973342600516,-3.528730006950387,-3.528730006950387,0.007397484379550486,0.34,1.6276,1627.6,553.384,489.3738945879024,9965254.686947297,124316.19207640612,254.03110679022168,-89.64071892294734,-64.17837764895417,-64,-3,19959.32083480746,19959.32083480746,0.0,0.0020069108156220952,-61.0
2017-01-25,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,,-0.0061440157286802854,-1.0,-0.0061440157286802854,0.828419896980347,0.9101757506000404,162.44971327416397,163.14989620953708,-0.7001829353731068,-0.7692832234999732,-5.769624176249799,-5.769624176249799,0.02168057266496927,0.4,1.6176,1617.6,647.04,572.1966749204103,10021851.786345953,124565.68358684122,217.69732164935718,-125.603173009296,-89.92573875078516,-90,-26,56597.09939865582,56597.09939865582,0.0,0.005679443343559287,-64.0
2017-01-26,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,,-0.002040059347180878,-0.3299999999999841,-0.002040059347180878,0.7895269295760033,0.888553278974313,162.0418279644984,162.9475554790033,-0.9057275145049175,-1.0193283125919352,-7.644962344439515,-7.644962344439515,0.011770375730479177,0.47,1.6143,1614.3000000000002,758.721,670.9594977007429,10048116.37778564,125273.14732932442,186.70746559011818,-142.73715438621898,-102.19283277513722,-102,-12,26264.591439687447,26264.591439687447,0.0,0.0026207323755746467,-90.0
2017-01-27,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,,0.0026017468871957217,0.4199999999999875,0.0026017468871957217,0.7563849333827053,0.8697039343263345,161.96509677869903,162.81843130500292,-0.8533345263038825,-0.9811781833146108,-7.358836374859581,-7.358836374859581,-0.019890256982374014,0.5,1.6185,1618.5,809.25,715.6437920056597,10010231.694375666,125601.4547223205,175.50834105653385,-129.15371642580826,-92.46775446620798,-92,10,-37884.68340997411,-37884.68340997411,0.0,-0.003770326893678253,-102.0
2017-01-30,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,,0.001359283286994195,0.21999999999999886,0.001359283286994195,0.7181154775241807,0.8474169443220856,162.00705806721942,162.73038056323787,-0.7233224960184543,-0.8535615211200385,-6.401711408400288,-6.401711408400288,-0.010002743296071578,0.52,1.6207,1620.7,842.764,745.2812168376371,9992332.861690842,125127.89617969583,167.89353247172406,-107.48059422208601,-76.95085725325681,-77,15,-17898.83268482481,-17898.83268482481,0.0,-0.0017880537864954137,-92.0
2017-01-31,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,,0.0003702104029124076,0.060000000000002274,0.0003702104029124076,0.6794930192796304,0.8243136655907327,162.05623484033165,162.6597475557981,-0.6035127154664508,-0.7321396461794091,-5.491047346345568,-5.491047346345568,-0.002369980159832827,0.52,1.6213,1621.3,843.076,745.5571276972055,9988247.258578,124904.16077113553,167.53130797223508,-91.99223440707436,-65.86194791256831,-66,11,-4085.603112840621,-4085.603112840621,0.0,-0.0004088738004819908,-77.0
2017-02-01,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,,-0.003207302781718213,-0.5199999999999818,-0.003207302781718213,0.6573798831023521,0.8107896663761521,161.87774090419902,162.53624784335125,-0.6585069391522325,-0.8121797384214926,-6.091348038161194,-6.091348038161194,0.017611451428480553,0.54,1.6161,1616.1000000000001,872.6940000000002,771.7492041032898,10018597.453130528,124853.09073222501,161.77935794218826,-98.54543746161261,-70.55372131083779,-71,-5,30350.19455252812,30350.19455252812,0.0,0.003038590632251628,-66.0
2017-02-02,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,,0.004702679289647849,0.7599999999999909,0.004702679289647849,0.6530674569887107,0.8081258917945339,162.07464454251942,162.5166892735452,-0.44204473102578845,-0.546999836924144,-4.10249877693108,-4.10249877693108,-0.028645656265097703,0.51,1.6237000000000001,1623.7,828.087,732.3019101521047,9970879.023700038,125232.46816413161,171.01207361062308,-70.1576822828029,-50.2294747590253,-50,21,-47718.42943049112,-47718.42943049112,0.0,-0.00476298500401176,-71.0
2017-02-03,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,,0.0007390527806860892,0.12000000000000455,0.0007390527806860892,0.6185448917460777,0.7864762499567789,162.24078672551167,162.51354935901048,-0.27276263349881447,-0.34681610984922207,-2.6011208238691657,-2.6011208238691657,-0.0030319631288521945,0.48,1.6249000000000002,1624.9000000000003,779.9520000000001,689.7347010965689,9965573.045631414,124635.98779625048,180.70134444170927,-47.002602992848466,-33.651568635363525,-34,16,-5305.978068624184,-5305.978068624184,0.0,-0.0005321474722551812,-50.0
2017-02-06,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,,0.0043079574127637965,0.6999999999999886,0.0043079574127637965,0.611596519219262,0.7820463664126712,162.620472035307,162.59313178736218,0.027340247944806606,0.034959881049277414,0.2621991078695806,0.2621991078695806,-0.011205517734681446,0.44,1.6319,1631.8999999999999,718.036,634.9805447470817,9944525.99929254,124569.66307039268,196.17870830988983,5.143788230185979,3.682701204871899,4,38,-21047.046338874792,-21047.046338874792,0.0,-0.002111975522381138,-34.0
2017-02-07,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,,0.001164287027391353,0.18999999999999773,0.001164287027391353,0.5804885992614639,0.761898024187925,162.9242832211842,162.68570451826074,0.23857870292346206,0.31313731673966877,2.348529875547516,2.348529875547516,0.0003052750198861387,0.44,1.6338,1633.8,718.872,635.7198443579766,9945198.089847898,124306.57499115675,195.5367228101805,45.92238352863623,32.878184245424,33,29,672.0905553590297,672.0905553590297,0.0,6.758397086063657e-05,4.0
2017-02-08,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,,0.005141388174807249,0.8400000000000034,0.005141388174807249,0.5872513776797634,0.7663232853566199,163.4425699327105,162.8662098690536,0.5763600636569208,0.7521108580025767,5.640831435019325,5.640831435019325,0.012074703730321538,0.47,1.6422,1642.2,771.834,682.5557127697205,9969711.70852494,124314.97612309874,182.1316176794493,102.73737543171592,73.5549442077395,74,41,24513.6186770429,24513.6186770429,0.0,0.002464869825173871,33.0
2017-02-09,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,,6.089392278640915e-05,0.009999999999990905,6.089392278640915e-05,0.5555134653727491,0.745327757012141,163.75754195962628,163.02665576681198,0.730886192814296,0.9806238744472121,7.35467905835409,7.35467905835409,0.00034349235385521627,0.49,1.6422999999999999,1642.3,804.727,711.6439688715953,9970366.112486737,124621.39635656176,175.11761752743482,128.7933874377886,92.20977650542355,92,18,654.4039617963628,654.4039617963628,0.0,6.563920612035275e-05,74.0
2017-02-10,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,,-0.0019484868781586284,-0.3199999999999932,-0.0019484868781586284,0.5310208456228706,0.7287117712942961,163.8185251757758,163.13057861777529,0.6879465580005046,0.9440585223134428,7.080438917350821,7.080438917350821,-0.014330495638271002,0.51,1.6391,1639.1,835.9409999999999,739.2474354439335,9944331.446763355,124629.57640608422,168.58979880159012,119.36897725031235,85.46235899920735,85,-7,-26034.665723381124,-26034.665723381124,0.0,-0.002611204586637566,92.0
2017-02-13,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,,-0.0009151363553169256,-0.15000000000000568,-0.0009151363553169256,0.5035332323459587,0.7096007555984976,163.79511510546547,163.20462819215464,0.5904869133108264,0.8321396343677689,6.241047257758267,6.241047257758267,-0.006479567064868549,0.52,1.6376,1637.6,851.552,753.052706048815,9933056.243367529,124304.14308454195,165.0669894498516,103.01908818524092,73.75663678340699,74,-11,-11275.203395826391,-11275.203395826391,0.0,-0.0011338322195099603,85.0
2017-02-14,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.851208357,32,0.002,,1.1308,,-0.002076209086467995,-0.3400000000000034,-0.002076209086467995,0.48256386843536647,0.6946681714569672,163.64506906327927,163.22996605190116,0.41510301137810757,0.597555823678359,4.481668677587693,4.481668677587693,-0.012957719025633876,0.52,1.6341999999999999,1634.1999999999998,849.7839999999999,751.489211177927,9910806.508666432,124163.20304209412,165.22286839949922,74.0474154127229,53.01433374682788,53,-21,-22249.73470109679,-22249.73470109679,0.0,-0.002239968661805707,74.0
2017-02-15,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619,33,0.002,,1.1308,,-0.0007343042467260474,-0.11999999999997613,-0.0007343042467260474,0.4572577133848058,0.6762083357847682,163.50704143796756,163.23820533991278,0.26883609805477704,0.3975640107168768,2.981730080376576,2.981730080376576,-0.003290908342371752,0.52,1.6330000000000002,1633.0000000000002,849.1600000000002,750.9373894587903,9905182.17191369,123885.0813583304,164.97391539874698,49.190768602194424,35.21818836490598,35,-18,-5624.336752740303,-5624.336752740303,0.0,-0.0005674953645621215,53.0
2017-02-16,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.845453133,34,0.002,,1.1308,,0.003306797305572484,0.539999999999992,0.003306797305572484,0.44830324239103203,0.6695545103955555,163.64022486278054,163.30900471168775,0.33122015109279346,0.49468735696682437,3.710155177251183,3.710155177251183,0.009859976995733688,0.52,1.6384,1638.4,851.9680000000001,753.4205871949063,9921896.002829855,123814.77714892114,164.33686476487384,60.97152696206242,43.652636103556745,44,9,16713.830916165298,16713.830916165298,0.0,0.0016873824858625664,35.0
2017-02-17,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.890519511,35,0.002,,1.1308,,0.00360107421875,0.5900000000000034,0.00360107421875,0.4428868509104359,0.6654974462088009,163.95613491766832,163.4408865103127,0.5152484073556138,0.7742304802082648,5.806728601561986,5.806728601561986,0.013360544156361072,0.54,1.6443,1644.3000000000002,887.9220000000001,785.2157764414575,9944853.201273436,124023.7000353732,157.94855854455685,91.7164412476166,65.66449347720291,66,22,22957.1984435799,22957.1984435799,0.0,0.0023137914806839544,44.0
2017-02-20,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.937918795,36,0.002,,1.1308,,0.0009122422915526229,0.15000000000000568,0.0009122422915526229,0.4201632373477097,0.6481999979541112,164.205680950601,163.57489986204064,0.6307810885603544,0.9731272609553604,7.298454457165203,7.298454457165203,0.005297143405913063,0.57,1.6458000000000002,1645.8000000000002,938.106,829.5949770074284,9953608.065086666,124310.66501591796,149.84500685423612,109.36369581592501,78.29906604378012,78,12,8754.863813229904,8754.863813229904,0.0,0.0008803411811155589,66.0
2017-02-21,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.962182762,37,0.002,,1.1308,,-0.001032932312553303,-0.17000000000001592,-0.001032932312553303,0.3990138731667527,0.6316754492354065,164.28740857036058,163.67314693709469,0.6142616332658974,0.9724323369056259,7.293242526792194,7.293242526792194,-0.007538809440504615,0.59,1.6441,1644.1,970.0189999999999,857.8165900247611,9941881.853555007,124420.10081358334,145.04277751260548,105.7832153158993,75.73561683837062,76,-2,-11726.2115316601,-11726.2115316601,0.0,-0.0011780865245027104,78.0
2017-02-22,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.033838801,38,0.002,,1.1308,,0.0035277659509762582,0.5800000000000125,0.0035277659509762582,0.39562933948206414,0.6289907308395444,164.56844514221638,163.82807082684823,0.7403743153681432,1.1770830301106818,8.828122725830113,8.828122725830113,0.025728852658229554,0.63,1.6499000000000001,1649.9,1039.4370000000001,919.2049876193846,9980863.105765833,124273.5231694376,135.19674593072983,119.35334652093559,85.45116816021226,85,9,38981.252210825034,38981.252210825034,0.0,0.003920912839744335,76.0
2017-02-23,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.147469244,39,0.002,,1.1308,,0.003939632705012297,0.6499999999999773,0.003939632705012297,0.39708180761816714,0.630144275240335,164.99706708532983,164.04123896486607,0.9558281204637638,1.516840123794212,11.37630092845659,11.37630092845659,0.03477956101454262,0.69,1.6563999999999999,1656.3999999999999,1142.9159999999997,1010.7145383799077,10029722.320481077,124760.78882207291,123.4382054324203,140.42701710678585,100.53888728561223,101,16,48859.21471524413,48859.21471524413,0.0,0.004895289535332742,85.0
2017-02-24,165.72,166.4,165.6,166.21,841355,1651201,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166210,166.21,162.95,1.272212901,40,0.002,,1.1308,,0.003441197778314642,0.5700000000000216,0.003441197778314642,0.3931800882874567,0.6270407389376361,165.4822402511979,164.29638732194064,1.1858529292572655,1.8911896079773014,14.18392205982976,14.18392205982976,0.03914810148044362,0.77,1.6621000000000001,1662.1000000000001,1279.8170000000002,1131.7801556420236,10080633.180049526,125371.52900601347,110.77374734044008,157.12061985520762,112.49069171536864,112,11,50910.85956844904,50910.85956844904,0.0,0.005075998910207825,101.0
2017-02-27,166.22,166.32,165.9,166.08,640091,1624074,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166080,166.08,162.84,1.378103407,41,0.002,,1.1308,,-0.0007821430720172939,-0.12999999999999545,-0.0007821430720172939,0.37284062405570223,0.6106067671224273,165.72134415071875,164.50622410759468,1.2151200431240738,1.9900205968081597,14.925154476061198,14.925154476061198,-0.011093856373129112,0.83,1.6608,1660.8,1378.464,1219.0166253979482,10067757.33993633,126007.91475061908,103.36849565893637,154.27907656676865,110.45628547161635,110,-2,-12875.840113193748,-12875.840113193748,0.0,-0.001277284857331798,112.0
2017-02-28,166.04,166.22,165.7,166.05,964851,1528464,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166050,166.05,162.81,1.457088993,42,0.002,,1.1308,,-0.00018063583815031148,-0.030000000000001137,-0.00018063583815031148,0.3527357254580967,0.5939155878221221,165.85280649043125,164.68784480081882,1.1649616896124257,1.9614937097110376,14.711202822832782,14.711202822832782,-0.0026960177883061875,0.88,1.6605,1660.5,1461.24,1292.2178988326848,10064839.051998587,125846.96674920415,97.38834825216942,143.26997437183368,102.57430586757286,103,-7,-2918.287937743301,-2918.287937743301,0.0,-0.0002898647473521403,110.0
2017-03-01,165.78,165.9,164.75,164.93,1406475,1372386,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164930,164.93,161.7,1.422931013,43,0.002,,1.1308,,-0.00674495633845229,-1.1200000000000045,-0.00674495633845229,0.40147433489279477,0.6336200240623672,165.48368389425877,164.7163336477813,0.7673502464774629,1.2110574434780372,9.08293082608528,9.08293082608528,-0.0992264207261232,0.86,1.6493000000000002,1649.3000000000002,1418.3980000000001,1254.3314467633534,9962822.78033251,125810.48814998235,100.30083234747937,91.10255220109319,65.22497889570785,65,-38,-102016.27166607752,-102016.27166607752,0.0,-0.010135906907107474,103.0
