,AD1,RX1
2020-03-30,627.1228409717083,459.2946590528533
2020-03-31,647.8523666330663,470.71785848197607
2020-04-01,684.8083628347432,466.4949754957844
2020-04-02,683.1437647279301,494.00600610121444
2020-04-03,711.2445222848905,499.6299329524894
2020-04-06,715.023022312677,504.00483264526974
2020-04-07,677.8716948226493,445.2374338663521
2020-04-08,670.657964834542,439.01251760269304
2020-04-09,713.9933282643926,471.45971032053603
2020-04-10,696.4280527579684,472.7045205123313
2020-04-13,744.1268124380764,471.41438566275735
2020-04-14,791.0839629271688,475.7814700104947
2020-04-15,804.2168259332825,521.9623484332509
2020-04-16,800.0591931439787,523.0209037804844
2020-04-17,789.2305549801489,516.9102302918574
2020-04-20,786.0597414788306,532.0803090793821
2020-04-21,826.4719032302079,547.7669717695854
2020-04-22,811.4802038292601,548.874404237419
2020-04-23,804.5542272934747,547.3259230440078
2020-04-24,845.7095383573051,551.2322948675713
2020-04-27,846.5211094743081,601.1625035186996
2020-04-28,837.094924260972,599.3819639467038
2020-04-29,833.8200144925665,599.8992729041647
2020-04-30,852.8969558770495,563.6758026864495
2020-05-01,834.4630734269002,560.1969032212774
2020-05-04,808.8714049483813,568.6070273887184
2020-05-05,806.5104324676176,557.6640205584256
2020-05-06,778.4861026544302,557.1975770934678
2020-05-07,798.229737831738,520.5482249350841
2020-05-08,787.8436446643691,513.5310807363752
2020-05-11,785.5571605846908,474.4021110210766
2020-05-12,778.4089086481471,482.2706986984151
2020-05-13,800.3544174674935,485.93326669317634
2020-05-14,760.9392500875101,459.4270266553658
2020-05-15,764.9285276549879,468.55356466990895
2020-05-18,715.7034637659266,469.4156522509084
2020-05-19,596.3798088369438,464.1700272690756
2020-05-20,607.474777981772,409.6536791577704
2020-05-21,605.2944741429445,420.7279275994691
2020-05-22,603.7938822110892,424.04622644528934
2020-05-25,605.8293172649679,412.03873733311974
2020-05-26,536.03404987739,400.9059851312317
2020-05-27,544.824782671258,439.4180008264953
2020-05-28,639.4830389180659,444.6482204799665
2020-05-29,590.3207705666938,462.63192681483986
2020-06-01,590.5362243889098,439.6121363887024
2020-06-02,577.9297491035823,468.0840639699839
2020-06-03,637.0397510904311,473.18420323019143
2020-06-04,615.124956381955,470.311959788638
2020-06-05,611.6982438993947,461.5307002720847
2020-06-08,753.32704108602,468.3268382847285
2020-06-09,746.9769514770604,522.9283012131791
2020-06-10,750.8160997009535,523.1529620429244
