,AD1,RX1
2020-03-27,197.43740962599364,269.18390084548975
2020-03-30,200.89869071668235,274.3079092832306
2020-03-31,194.47047530984815,267.6511107440096
2020-04-01,183.97578725268232,270.0739864043422
2020-04-02,184.4240761238868,255.03365569188912
2020-04-03,177.13761403040735,252.16294973608558
2020-04-06,176.20154000390806,249.97410641579262
2020-04-07,185.85841337231898,282.968474990269
2020-04-08,187.8575433020093,286.9807866931072
2020-04-09,176.4556511697387,267.22995605305397
2020-04-10,180.9062072827319,266.52623827923765
2020-04-13,169.31006323633406,267.2556491728965
2020-04-14,159.26015893883252,264.8025734734129
2020-04-15,156.65944010004378,241.37403406187238
2020-04-16,157.47354539437129,240.8855109978941
2020-04-17,159.63416124064193,243.73314801412826
2020-04-20,160.2780946810967,236.7841010461937
2020-04-21,152.44094466772125,230.00320238865822
2020-04-22,155.25721647333125,229.5391380925926
2020-04-23,156.59374271584818,230.18854464090916
2020-04-24,148.97331998224843,228.55728672430183
2020-04-27,149.59567065650558,210.65168295673513
2020-04-28,151.28020661276688,211.27745029705062
2020-04-29,151.87437444010556,211.09526018200168
2020-04-30,148.47736555288355,224.660864442217
2020-05-01,151.75733609953647,226.05603916856572
2020-05-04,156.582169829524,222.74582198100012
2020-05-05,157.04054727768008,227.11674956732068
2020-05-06,162.45615485563562,226.97489013771056
2020-05-07,157.26171742913422,241.15148887517813
2020-05-08,159.3348887492827,244.44670280603498
2020-05-11,159.99390833909573,264.93212704132225
2020-05-12,160.90413404613315,259.70727999411275
2020-05-13,156.4921847700212,257.7498186781055
2020-05-14,164.59817438175475,272.6204687861779
2020-05-15,163.73975718201723,267.3103372248644
2020-05-18,175.00154424401234,266.8194185243709
2020-05-19,210.0158481624083,269.83476748105437
2020-05-20,206.18010149482112,305.7441388963781
2020-05-21,208.55428722652522,300.04368461418835
2020-05-22,210.5786589753814,299.8402015728231
2020-05-25,209.8711673240822,308.578040104897
2020-05-26,237.19781615110716,317.1469390059887
2020-05-27,233.3706359504378,289.3511548785056
2020-05-28,198.8263930012399,285.9476326618496
2020-05-29,215.3847744362668,274.83210440951365
2020-06-01,215.3061925119362,289.22337553740493
2020-06-02,222.61179173745302,274.8522901103831
2020-06-03,201.9559638564251,271.88983923822667
2020-06-04,209.1509629247409,273.5502984107469
2020-06-05,210.32261941148337,278.7549709488018
2020-06-08,170.78104187107567,274.70981039123666
2020-06-09,172.2328603204246,246.02603578320677
2020-06-10,171.35218197580926,245.92038329273407
2020-06-11,175.855901523304,247.8387630692979
2020-06-12,174.24472374955644,246.12732874369416
2020-06-15,166.74143126541153,245.3416562885105
2020-06-16,163.89981901782033,248.74015249781078
2020-06-17,167.6308849475756,245.36971325260953
2020-06-18,165.6211515102617,245.38620267478953
2020-06-19,155.09444725199936,234.60137207228763
2020-06-22,150.6284577331893,231.7053116662847
2020-06-23,149.24019024389864,224.58417205815363
2020-06-24,141.76437076759848,222.54323538503164
2020-06-25,140.5828182716287,223.16955616792248
2020-06-26,140.6338448190446,223.56427989050295
2020-06-29,143.02879826536605,227.85538908399485
2020-06-30,142.75603954149042,224.41370582913967
2020-07-01,138.06311609938413,223.04662215290747
2020-07-02,146.3963024915611,219.0201512651823
2020-07-03,143.29693395384214,224.9568397990097
2020-07-06,142.30210096226946,242.99307080782313
2020-07-07,140.21625549549546,241.0777371106209
2020-07-08,141.9990671719903,228.49111821106587
2020-07-09,140.04023170985786,224.50091548251189
2020-07-10,140.0619336020002,224.41648784439437
2020-07-13,154.60464495182407,224.088585185411
2020-07-14,149.76801649343287,238.61580335179573
2020-07-15,149.2567165159144,237.86956135486142
2020-07-16,144.1351767512725,226.9816277772302
2020-07-17,140.6990987309978,225.10757137550522
2020-07-20,144.0088314303451,218.71640558754785
2020-07-21,144.9757869368904,218.77084130245936
2020-07-22,143.71704131830853,220.50539788195272
2020-07-23,140.94268330909063,198.05000187894947
2020-07-24,145.10986119344884,211.7113080385886
2020-07-27,147.35189410737198,221.57451313031186
2020-07-28,147.91187707838762,231.61007653858766
2020-07-29,166.55503812539942,211.0762064086205
2020-07-30,167.4888567812799,205.87347988274078
2020-07-31,167.66950769590431,205.7493699594357
2020-08-03,166.93263746097722,204.2531509324773
2020-08-04,166.23632126724866,185.08141303871503
2020-08-05,174.97804537396965,190.87731965186978
2020-08-06,156.00536130538345,198.28408203945446
2020-08-07,158.93457564379938,198.2576130639693
2020-08-10,155.95862125681927,198.00175101435366
2020-08-11,156.6983401231372,200.5059338773585
2020-08-12,164.1558587595275,208.1323654957934
2020-08-13,162.02108617444466,209.8944965758892
2020-08-14,155.8760460153903,209.97192716186868
2020-08-17,158.07683398116626,216.8166309899653
2020-08-18,159.72443988796348,221.69333037863046
2020-08-19,158.08339958617756,220.80366573678225
2020-08-20,159.47055702930516,232.0984735311235
2020-08-21,157.27069429399148,219.64620885273564
2020-08-24,154.05853497881716,201.5826259451022
2020-08-25,151.89444212758616,196.56011702554565
2020-08-26,151.06143688949672,191.17520491274408
2020-08-27,155.8437660852669,202.137958016277
2020-08-28,165.0285573616895,201.97300464889025
2020-08-31,165.0657663533028,201.9871768609649
2020-09-01,164.7116991471123,198.54989554001577
2020-09-02,161.61644917942516,210.4647839525735
2020-09-03,161.6554285767072,214.8141939238065
2020-09-04,156.60454010392186,199.63039357986202
2020-09-07,155.96551268040017,198.24600022827175
2020-09-08,133.88809561688527,215.34080954017864
2020-09-09,136.21351937703838,212.0368301050496
2020-09-10,141.0559031432757,209.4246640764572
2020-09-11,137.75609907837344,209.48725044894724
2020-09-14,143.31066701272718,207.9566891490197
2020-09-15,143.44250189021028,205.26423225655995
2020-09-16,147.31159243278648,202.45545782710778
2020-09-17,147.57799020826553,203.15077171430534
2020-09-18,150.36136184170476,203.34991411032178
2020-09-21,151.54502029952926,200.94855396054083
2020-09-22,145.94685919028583,200.93744026326848
2020-09-23,145.74614646707232,201.06696991857473
2020-09-24,144.62365067550917,195.64756622844774
2020-09-25,157.3461635065845,202.30851163241562
2020-09-28,153.2514645746043,225.10189431312745
2020-09-29,154.54546557503008,227.5220116361013
2020-09-30,157.51075099642938,236.1292181978549
2020-10-01,157.93898712982212,259.2140696645262
2020-10-02,159.30980991886156,253.41944169365271
2020-10-05,159.49665904990857,248.1587829887017
2020-10-06,155.87539439833424,262.3486604474462
2020-10-07,158.70986623526977,267.783938541932
2020-10-08,156.82046284993115,272.3430154006595
2020-10-09,159.91933894571156,292.0101736122161
2020-10-12,156.7562957806037,285.7331718468134
2020-10-13,185.7796608892238,283.99778737394496
2020-10-14,186.58974477044788,284.65932321118373
2020-10-15,186.2208874613054,283.24915099240786
2020-10-16,189.2299516851016,257.5706809657927
2020-10-19,188.15808115241077,239.5263372719557
2020-10-20,129.83311311087056,228.5542356784612
2020-10-21,129.58568372174722,230.57929274087533
2020-10-22,126.64282400183083,230.83531927216703
2020-10-23,124.63083532875736,230.74114645561284
2020-10-26,125.90635550982894,232.05905238998213
2020-10-27,132.6487275316535,233.3177581925597
2020-10-28,132.87531452276437,226.59711439927142
2020-10-29,131.84362549240217,232.8343420569405
2020-10-30,131.5267628897123,237.65958395772444
2020-11-02,136.48824306443484,239.6160520429374
2020-11-03,136.3186421375516,241.90481170895646
2020-11-04,125.45820281098177,241.1411617720408
2020-11-05,122.90912400610867,233.70442390974162
2020-11-06,122.10230975405399,233.86215493031054
2020-11-09,117.81397633057766,234.60284697582156
2020-11-10,120.91789182351748,233.98432949416807
2020-11-11,118.94898755254063,234.8632096771571
2020-11-12,118.87933667594719,241.48006263158734
2020-11-13,118.23210172754227,241.4574928413731
2020-11-16,118.88658363383306,249.90268321553197
2020-11-17,122.17259021244148,260.7859896362647
2020-11-18,123.86526834381782,263.00235853218595
2020-11-19,123.79755973207922,268.3386650813151
2020-11-20,123.85419704009725,292.5595439716083
2020-11-23,123.44028381521768,306.96446031256596
2020-11-24,145.557882701315,327.54527208193826
2020-11-25,144.67808793995462,323.81859719726907
2020-11-26,139.08946908178643,321.8516207482329
2020-11-27,141.23667151193453,310.3131887640377
2020-11-30,142.46901107001895,282.9925784148298
2020-12-01,138.3007501813956,272.1327100262917
2020-12-02,139.70656491968478,259.6654056842233
2020-12-03,142.17125269241174,254.90103526306166
2020-12-04,140.76259927375932,254.6390438208808
2020-12-07,138.22726692695252,254.72352206212435
2020-12-08,136.36561057860072,251.76248872752217
2020-12-09,152.5098849655267,251.62670560908475
2020-12-10,162.71633978368445,266.2611546683984
2020-12-11,165.1598800863085,275.3244091186031
2020-12-14,160.49844252889642,284.19182998522984
2020-12-15,160.09624478171952,274.51690444620806
2020-12-16,160.98936351535977,271.779170833108
2020-12-17,156.35951001385206,265.2991321680778
2020-12-18,143.69004307267454,265.76129177392295
2020-12-21,142.11260453179452,254.122227856393
2020-12-22,138.2876044203626,253.88392621429574
2020-12-23,139.63726064458905,215.65645646499357
2020-12-24,135.04329521235803,216.3279211212338
2020-12-25,134.41024870094697,216.75692859229972
