,daily_cash_risk
2020-10-15,118570.02642650483
2020-10-16,118570.02642650483
2020-10-19,118570.02642650483
2020-10-20,118570.02642650483
2020-10-21,118570.02642650483
2020-10-22,118570.02642650483
2020-10-23,118570.02642650483
2020-10-26,118570.02642650483
2020-10-27,118570.02642650483
2020-10-28,118570.02642650483
2020-10-29,118570.02642650483
2020-10-30,118570.02642650483
2020-11-02,118570.02642650483
2020-11-03,118570.02642650483
2020-11-04,118570.02642650483
2020-11-05,119873.5652653346
2020-11-06,119873.5652653346
2020-11-09,119873.5652653346
2020-11-10,119873.5652653346
2020-11-11,119873.5652653346
2020-11-12,119873.5652653346
2020-11-13,119873.5652653346
2020-11-16,119873.5652653346
2020-11-17,119873.5652653346
2020-11-18,119873.5652653346
2020-11-19,119873.5652653346
2020-11-20,119873.5652653346
2020-11-23,119873.5652653346
2020-11-24,119873.5652653346
2020-11-25,119873.5652653346
2020-11-26,119873.5652653346
2020-11-27,119873.5652653346
2020-11-30,119873.5652653346
2020-12-01,118959.80516317277
2020-12-02,118959.80516317277
2020-12-03,120007.68020330461
2020-12-04,120007.68020330461
2020-12-07,120007.68020330461
2020-12-08,120007.68020330461
2020-12-09,120007.68020330461
2020-12-10,120007.68020330461
2020-12-11,120007.68020330461
2020-12-14,122214.14936896246
2020-12-15,122214.14936896246
2020-12-16,122214.14936896246
2020-12-17,122214.14936896246
2020-12-18,122214.14936896246
2020-12-21,122214.14936896246
2020-12-22,122214.14936896246
2020-12-23,122214.14936896246
2020-12-24,122214.14936896246
2020-12-25,122214.14936896246
2020-12-28,122214.14936896246
2020-12-29,122214.14936896246
2020-12-30,122214.14936896246
2020-12-31,122214.14936896246
2021-01-01,122214.14936896246
2021-01-04,122280.10750233021
2021-01-05,121454.77697681526
2021-01-06,121454.77697681526
2021-01-07,121480.56456924083
2021-01-08,120141.96511113606
2021-01-11,120141.96511113606
2021-01-12,120141.96511113606
2021-01-13,120141.96511113606
2021-01-14,120141.96511113606
2021-01-15,120141.96511113606
2021-01-18,120141.96511113606
2021-01-19,120141.96511113606
2021-01-20,120141.96511113606
2021-01-21,120141.96511113606
2021-01-22,120141.96511113606
2021-01-25,120141.96511113606
2021-01-26,120141.96511113606
2021-01-27,120141.96511113606
2021-01-28,120141.96511113606
2021-01-29,120141.96511113606
2021-02-01,120141.96511113606
2021-02-02,120141.96511113606
2021-02-03,120141.96511113606
2021-02-04,120141.96511113606
2021-02-05,120141.96511113606
2021-02-08,120141.96511113606
2021-02-09,120141.96511113606
2021-02-10,120141.96511113606
2021-02-11,120141.96511113606
2021-02-12,120141.96511113606
2021-02-15,120141.96511113606
2021-02-16,120141.96511113606
2021-02-17,120141.96511113606
2021-02-18,120141.96511113606
2021-02-19,120141.96511113606
2021-02-22,120141.96511113606
2021-02-23,120141.96511113606
2021-02-24,120141.96511113606
2021-02-25,120141.96511113606
2021-02-26,120141.96511113606
2021-03-01,120141.96511113606
2021-03-02,120141.96511113606
2021-03-03,120141.96511113606
2021-03-04,120141.96511113606
2021-03-05,120141.96511113606
2021-03-08,119369.97385059707
2021-03-09,119369.97385059707
2021-03-10,119369.97385059707
2021-03-11,119369.97385059707
2021-03-12,119369.97385059707
2021-03-15,119369.97385059707
2021-03-16,119369.97385059707
2021-03-17,119369.97385059707
2021-03-18,119369.97385059707
2021-03-19,119369.97385059707
2021-03-22,119369.97385059707
2021-03-23,119369.97385059707
2021-03-24,119369.97385059707
2021-03-25,119369.97385059707
2021-03-26,119369.97385059707
2021-03-29,119369.97385059707
2021-03-30,119369.97385059707
2021-03-31,119369.97385059707
2021-04-01,119369.97385059707
2021-04-02,119369.97385059707
2021-04-05,119369.97385059707
2021-04-06,119369.97385059707
2021-04-07,119369.97385059707
2021-04-08,119369.97385059707
2021-04-09,119369.97385059707
2021-04-12,119369.97385059707
2021-04-13,119341.78809195464
2021-04-14,119535.06734332124
2021-04-15,120824.34236698868
2021-04-16,120824.34236698868
2021-04-19,120824.34236698868
2021-04-20,120824.34236698868
2021-04-21,120824.34236698868
2021-04-22,120824.34236698868
2021-04-23,120824.34236698868
2021-04-26,120824.34236698868
2021-04-27,120824.34236698868
2021-04-28,120824.34236698868
2021-04-29,120824.34236698868
2021-04-30,120824.34236698868
2021-05-03,119752.63927531173
2021-05-04,119752.63927531173
2021-05-05,119752.63927531173
2021-05-06,119752.63927531173
2021-05-07,121248.1198640674
2021-05-10,121248.1198640674
2021-05-11,121214.19509535412
2021-05-12,119385.2722308296
2021-05-13,119385.2722308296
2021-05-14,119385.2722308296
2021-05-17,119385.2722308296
2021-05-18,119385.2722308296
2021-05-19,119385.2722308296
2021-05-20,119385.2722308296
2021-05-21,119206.59175168474
2021-05-24,119206.59175168474
2021-05-25,120340.41936103924
2021-05-26,120340.41936103924
2021-05-27,120710.83630701309
2021-05-28,120710.83630701309
2021-05-31,120710.83630701309
2021-06-01,120710.83630701309
2021-06-02,120751.59779744053
2021-06-03,121584.81005994382
2021-06-04,124188.26525350676
2021-06-07,124188.26525350676
2021-06-08,124188.26525350676
2021-06-09,124188.26525350676
2021-06-10,124188.26525350676
2021-06-11,124188.26525350676
2021-06-14,124188.26525350676
2021-06-15,124188.26525350676
2021-06-16,124188.26525350676
2021-06-17,124188.26525350676
2021-06-18,124188.26525350676
2021-06-21,124188.26525350676
2021-06-22,124188.26525350676
2021-06-23,124383.8069218845
2021-06-24,124831.60186179672
2021-06-25,124831.60186179672
2021-06-28,124831.60186179672
2021-06-29,124831.60186179672
2021-06-30,124831.60186179672
2021-07-01,124831.60186179672
2021-07-02,124831.60186179672
2021-07-05,124831.60186179672
2021-07-06,124831.60186179672
2021-07-07,124831.60186179672
2021-07-08,124831.60186179672
2021-07-09,124831.60186179672
2021-07-12,124831.60186179672
2021-07-13,124831.60186179672
2021-07-14,124831.60186179672
2021-07-15,124831.60186179672
2021-07-16,124831.60186179672
2021-07-19,124831.60186179672
2021-07-20,124831.60186179672
2021-07-21,124831.60186179672
2021-07-22,124831.60186179672
2021-07-23,124831.60186179672
2021-07-26,124831.60186179672
2021-07-27,124831.60186179672
2021-07-28,124831.60186179672
2021-07-29,124831.60186179672
2021-07-30,122867.87484665228
2021-08-02,122867.87484665228
2021-08-03,123293.24996884573
2021-08-04,122335.15750066705
2021-08-05,122335.15750066705
2021-08-06,122335.15750066705
2021-08-09,122335.15750066705
2021-08-10,122335.15750066705
2021-08-11,122335.15750066705
2021-08-12,122335.15750066705
2021-08-13,122335.15750066705
2021-08-16,122335.15750066705
2021-08-17,122335.15750066705
2021-08-18,122335.15750066705
2021-08-19,122335.15750066705
2021-08-20,122335.15750066705
2021-08-23,122335.15750066705
2021-08-24,122335.15750066705
2021-08-25,122335.15750066705
2021-08-26,122335.15750066705
2021-08-27,122335.15750066705
2021-08-30,122335.15750066705
2021-08-31,122335.15750066705
2021-09-01,122335.15750066705
2021-09-02,122335.15750066705
2021-09-03,122335.15750066705
2021-09-06,122335.15750066705
2021-09-07,122335.15750066705
2021-09-08,122335.15750066705
2021-09-09,122335.15750066705
2021-09-10,122335.15750066705
2021-09-13,122241.73996168097
2021-09-14,120861.21920519919
2021-09-15,120861.21920519919
2021-09-16,120861.21920519919
2021-09-17,119259.00859158995
2021-09-20,119259.00859158995
2021-09-21,119259.00859158995
2021-09-22,119259.00859158995
2021-09-23,119259.00859158995
2021-09-24,119259.00859158995
2021-09-27,119259.00859158995
2021-09-28,119259.00859158995
2021-09-29,119259.00859158995
2021-09-30,119524.56150169761
2021-10-01,119904.3617791976
2021-10-04,120392.4925027689
2021-10-05,120392.4925027689
2021-10-06,120392.4925027689
2021-10-07,120392.4925027689
2021-10-08,120392.4925027689
2021-10-11,120392.4925027689
2021-10-12,120392.4925027689
2021-10-13,120392.4925027689
2021-10-14,120392.4925027689
2021-10-15,120392.4925027689
2021-10-18,120392.4925027689
2021-10-19,120392.4925027689
2021-10-20,120392.4925027689
2021-10-21,120392.4925027689
2021-10-22,120392.4925027689
2021-10-25,120392.4925027689
2021-10-26,120392.4925027689
2021-10-27,120392.4925027689
2021-10-28,120392.4925027689
2021-10-29,120392.4925027689
2021-11-01,120392.4925027689
2021-11-02,120392.4925027689
2021-11-03,120525.2891806468
2021-11-04,121536.53813004433
2021-11-05,121536.53813004433
2021-11-08,121536.53813004433
2021-11-09,121536.53813004433
2021-11-10,121536.53813004433
2021-11-11,121536.53813004433
2021-11-12,121536.53813004433
2021-11-15,121536.53813004433
2021-11-16,121536.53813004433
2021-11-17,121536.53813004433
2021-11-18,121536.53813004433
2021-11-19,121459.33800494733
2021-11-22,122318.74995421014
2021-11-23,120783.5851830291
2021-11-24,120783.5851830291
2021-11-25,120783.5851830291
2021-11-26,120783.5851830291
2021-11-29,120783.5851830291
2021-11-30,122288.81479721185
