Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
13/01/2016,162.4063,164.3438,161.4688,163.5625,122758,617702,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,163563,163.56,164.844,1.3185392961841982,1553,0.003,,1
14/01/2016,162.4688,163.7813,161.6563,162.2188,132190,618795,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,162219,162.22,163.5,1.3579285237382455,1554,0.003,,1
15/01/2016,162.2188,164.9063,162.1563,162.2188,121005,621472,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,162219,162.22,163.5,1.3579285237382455,1555,0.003,,1
18/01/2016,162.2188,164.9063,162.1563,164.3438,121005,621472,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,164344,164.34,165.625,1.56342371381378,1556,0.003,,1
19/01/2016,164.375,164.9375,163,164.5625,96493,619317,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,164563,164.56,165.844,1.7238509338828052,1557,0.003,,1
20/01/2016,163.9375,167.25,163.8125,165.875,116985,620070,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,165875,165.88,167.156,1.9498983147971152,1558,0.003,,1
21/01/2016,166.0313,166.5625,164.25,164.7188,128764,619543,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,164719,164.72,166,2.07726537496985,1559,0.003,,1
22/01/2016,164.4375,164.9063,163.0313,164.1875,100346,619996,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,164188,164.19,165.469,2.158287481943799,1560,0.003,,1
25/01/2016,164.0938,165.2188,163.9688,164.75,63410,621113,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,164750,164.75,166.031,2.259132716489962,1561,0.003,,1
26/01/2016,165.125,166.1875,164.5938,165.4063,77421,627827,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,165406,165.41,166.688,2.383014775947053,1562,0.003,,1
27/01/2016,165.3438,165.7188,164,165.2188,80071,627684,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,165219,165.22,166.5,2.448636538235512,1563,0.003,,1
28/01/2016,164.9688,165.875,164.0938,165.25,114597,627924,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,165250,165.25,166.531,2.494696165644626,1564,0.003,,1
29/01/2016,165.375,167.3125,165.125,166.1875,120462,634668,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,166188,166.19,167.469,2.603353034335145,1565,0.003,,1
01/02/2016,166.5,166.9688,165.625,165.6563,69385,632014,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,165656,165.66,167,2.6781146898982264,1566,0.003,,1
02/02/2016,166.0938,169.2188,166.0938,168.5938,101357,628969,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,168594,168.59,170.125,2.8165259011144697,1567,0.003,,1
03/02/2016,169.1563,170.0625,167.4063,167.75,116870,627359,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,167750,167.75,169.344,2.8325656298631468,1568,0.003,,1
04/02/2016,167.5,168.7188,166.75,168.0625,101329,628312,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,168063,168.06,169.656,2.8197777922173235,1569,0.003,,1
05/02/2016,168.6563,169.0313,167.2188,168.5313,107409,633103,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,168531,168.53,170.125,2.8176926833697333,1570,0.003,,1
08/02/2016,168.875,172.1563,168.0625,172.0625,95971,634726,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172063,172.06,173.688,3.066071484747542,1571,0.003,,1
09/02/2016,171.5625,173.4375,170.9375,172.2188,118736,630851,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172219,172.22,174,3.1760929960223163,1572,0.003,,1
10/02/2016,172.3438,174.3438,171.1563,173.1563,122248,631401,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173156,173.16,175.031,3.4255638055725512,1573,0.003,,1
11/02/2016,174.2813,177.75,174,174.3125,197372,635063,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174313,174.31,176.281,3.7079377987477184,1574,0.003,,1
