Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
01/01/1993,104.7813,104.8125,104.4063,104.6563,58650,282353,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,104656,104.6563,103.4688,0.9272936375375518,2088,0.003,,1
04/01/1993,104.6875,105.5938,104.5625,105.5313,202859,288120,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105531,105.5313,104.3125,0.9427746011379687,2089,0.003,,1
05/01/1993,105.5625,105.5938,105.2813,105.5313,163979,284818,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105531,105.5313,104.3125,0.8733469090520175,2090,0.003,,1
06/01/1993,105.5313,105.625,105.2188,105.375,182495,290387,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105375,105.375,104.1563,0.7662136686659774,2091,0.003,,1
07/01/1993,105.2813,105.3438,104.0313,104.0938,333679,289220,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,104094,104.0938,102.9063,0.6231828045743618,2092,0.003,,1
08/01/1993,103.7813,104.2813,103.4688,103.9063,403629,285967,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,103906,103.9063,102.6563,0.5674769228057961,2093,0.003,,1
11/01/1993,104.0313,104.1875,103.7188,103.875,197960,282495,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,103875,103.875,102.625,0.5721666884604577,2094,0.003,,1
12/01/1993,104.0313,104.1875,103.5313,103.6563,277915,279041,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,103656,103.6563,102.4063,0.5975690821295583,2095,0.003,,1
13/01/1993,103.7188,104.1563,103.4688,104.125,246640,283439,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,104125,104.125,102.9063,0.599418464361222,2096,0.003,,1
14/01/1993,104.1875,104.7188,104.0625,104.5625,331625,294978,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,104563,104.5625,103.3438,0.5954949758398346,2097,0.003,,1
15/01/1993,104.6563,105.5313,104.625,105.4688,342355,314466,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105469,105.4688,104.2188,0.61195658341402,2098,0.003,,1
18/01/1993,105.375,105.4688,105.2813,105.4063,32429,309259,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105406,105.4063,104.1563,0.608164691716283,2099,0.003,,1
19/01/1993,105.5313,105.9688,105.3125,105.9063,329041,314861,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,105906,105.9063,104.6875,0.6295439822471577,2100,0.003,,1
