Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
29/04/1994,105.4375,105.5938,104.9063,105.3125,118335,287194,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105313,105.3125,104.1875,0.7478205838128168,2433,,0.002,,1,rates
02/05/1994,105.25,105.375,104.6875,105.0938,76545,291921,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105094,105.0938,103.9688,0.6739850398493834,2434,,0.002,,1,rates
03/05/1994,104.9063,105.1563,104.6563,104.875,83633,286196,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104875,104.875,103.75,0.6469698767387971,2435,,0.002,,1,rates
04/05/1994,104.9688,105.2188,104.4063,104.8438,100498,281203,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104844,104.8438,103.7813,0.6464960045821847,2436,,0.002,,1,rates
05/05/1994,104.9688,105.1563,104.7813,105,67124,274218,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105000,105,104,0.6346520869269329,2437,,0.002,,1,rates
06/05/1994,104.8438,105.0625,103.375,103.4375,157546,291579,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103438,103.4375,102.4063,0.7341980606353264,2438,,0.002,,1,rates
09/05/1994,103.25,103.375,102.5625,102.6875,86195,287379,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102688,102.6875,101.625,0.8766953846161862,2439,,0.002,,1,rates
10/05/1994,103.3438,103.9688,102.5938,103.7813,132678,274875,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103781,103.7813,102.7813,0.9290066718852467,2440,,0.002,,1,rates
11/05/1994,103.8438,104,102.625,103.1875,125677,271110,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103188,103.1875,102.1875,1.0135241659216971,2441,,0.002,,1,rates
12/05/1994,102.7813,104.0625,102.7188,103.4063,126927,265262,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103406,103.4063,102.4063,1.0602721744473165,2442,,0.002,,1,rates
