Date,Open,High,Low,Close
1999-11-12,17.8,24.45,17.7,24.33
1999-12-03,13.46,15.05,11.95,14.49
1999-12-10,16.74,22.35,16.33,22.3
1999-12-17,24.2,24.8,24.0,24.91
2000-01-07,27.6,31.8,25.52,30.14
2000-01-14,27.36,34.15,27.26,32.02
2000-02-04,28.22,32.15,27.45,31.69
2000-02-11,25.86,33.3,25.8,32.54
2000-03-03,26.3,31.84,25.3,31.51
2000-03-10,26.85,32.95,26.35,32.07
2000-03-17,32.55,32.78,32.33,32.71
2000-04-07,25.2,32.95,24.71,32.5
2000-04-14,28.75,33.45,28.7,31.22
2000-05-05,25.5,27.4,24.86,27.29
2000-05-12,30.32,34.1,29.47,29.53
2000-06-02,24.8,25.34,24.51,24.78
2000-06-09,31.34,34.95,25.53,34.9
2000-06-16,30.7,32.97,28.25,29.85
2000-07-07,24.65,34.2,24.15,30.28
2000-07-14,29.91,35.46,28.82,29.35
2000-08-04,28.44,34.37,27.9,31.26
2000-08-11,27.3,35.4,27.05,33.24
2000-08-18,29.3,29.42,27.85,28.44
2000-09-08,28.0,32.05,27.7,30.35
2000-09-15,30.9,33.97,30.86,33.92
2000-10-06,24.15,31.99,23.7,28.1
2000-10-13,29.99,34.13,29.53,34.02
2000-11-03,24.71,29.94,24.67,29.44
2000-11-10,23.89,35.85,23.79,33.25
2000-11-17,28.2,29.55,28.2,29.5
2000-12-01,25.73,26.55,25.38,26.28
2000-12-08,23.54,31.8,23.39,30.32
2000-12-15,35.14,36.9,28.95,29.68
2001-01-05,25.77,29.85,25.62,28.94
2001-01-12,28.48,28.6,20.35,20.39
2001-02-02,26.9,31.27,26.65,31.19
2001-02-09,27.69,29.05,25.38,27.71
2001-02-16,23.12,23.34,19.69,20.18
2001-03-02,27.21,28.14,27.08,28.0
2001-03-09,25.6,28.55,25.49,27.2
2001-03-16,22.63,22.68,19.02,20.09
2001-04-06,27.99,28.74,26.13,28.13
2001-04-13,25.99,27.18,19.62,19.65
2001-05-04,28.14,31.25,26.87,27.26
2001-05-11,28.07,28.33,19.76,20.02
2001-05-18,19.65,20.78,19.3,19.49
2001-06-08,30.52,30.88,26.81,27.74
2001-06-15,27.01,27.65,18.2,18.54
2001-07-06,30.37,31.35,27.41,27.75
2001-07-13,27.72,28.4,17.92,19.04
2001-08-03,28.12,31.87,27.2,28.39
2001-08-10,28.56,28.75,21.95,22.45
2001-08-17,20.13,21.29,20.11,21.17
2001-09-07,27.4,31.68,26.92,27.59
2001-09-14,26.95,27.08,21.05,22.22
2001-10-05,27.73,29.6,27.31,28.52
2001-10-12,27.55,28.0,18.15,18.37
2001-11-02,28.1,28.47,27.7,29.41
2001-11-09,28.53,29.53,26.92,28.03
2001-11-16,22.54,23.4,17.92,18.08
2001-12-07,28.13,31.1,25.65,26.8
2001-12-14,27.65,27.77,18.29,18.36
2002-01-04,20.36,27.4,19.09,26.88
2002-01-11,27.25,31.18,26.42,27.13
2002-02-01,19.9,21.07,19.72,21.01
2002-02-08,26.79,28.1,25.55,26.84
2002-02-15,28.87,31.05,26.7,27.24
2002-03-01,21.04,21.23,20.32,20.37
2002-03-08,27.71,27.76,24.85,26.77
2002-03-15,29.0,30.66,27.1,27.3
2002-04-05,20.41,28.35,19.93,26.58
2002-04-12,25.05,29.95,25.0,26.71
2002-05-03,20.0,23.35,19.73,23.17
2002-05-10,26.55,29.0,24.65,28.98
2002-05-17,26.89,27.45,26.08,27.29
2002-06-07,20.01,26.32,19.73,24.79
2002-06-14,26.5,30.19,25.55,26.93
2002-07-05,21.53,26.73,19.27,26.63
2002-07-12,24.88,30.1,24.45,25.38
2002-08-02,21.45,21.5,19.65,20.26
2002-08-09,23.71,28.05,23.15,26.67
2002-08-16,29.73,29.79,25.16,25.78
2002-09-06,21.25,28.2,20.11,27.68
2002-09-13,26.1,30.2,25.73,27.2
2002-10-04,20.17,26.5,19.85,26.13
2002-10-11,26.98,30.2,24.2,28.97
2002-10-18,27.25,27.9,26.75,27.74
2002-11-01,20.48,20.58,19.6,19.68
2002-11-08,20.27,27.0,19.96,26.83
2002-11-15,29.66,29.97,25.67,27.4
2002-12-06,21.66,25.33,21.05,24.64
2002-12-13,26.83,29.92,25.76,28.01
2003-01-03,31.4,31.67,30.05,31.2
2003-01-10,31.16,32.38,25.8,29.39
2003-01-17,30.26,30.35,29.69,29.95
2003-02-07,31.6,32.09,25.42,30.15
2003-02-14,31.28,31.4,29.25,30.78
2003-03-07,31.98,36.45,27.66,30.15
2003-03-14,29.5,31.18,28.75,31.1
2003-04-04,32.76,37.18,27.82,28.62
2003-04-11,30.78,32.4,28.47,28.75
2003-04-18,31.1,31.65,30.43,31.26
2003-05-02,33.53,34.28,33.12,33.93
2003-05-09,36.9,37.48,25.5,28.88
2003-05-16,28.77,31.28,28.7,30.73
2003-06-06,33.15,37.2,25.46,31.28
2003-06-13,32.27,32.62,29.95,30.26
2003-07-04,32.11,37.84,27.15,27.96
2003-07-11,25.7,32.44,25.5,30.85
2003-08-01,31.05,31.3,29.75,30.56
2003-08-08,27.89,32.85,26.0,32.18
2003-08-15,28.93,32.43,28.55,32.1
2003-09-05,30.6,32.05,26.86,27.72
2003-09-12,31.28,32.3,28.86,31.76
2003-10-03,31.99,38.2,31.35,37.27
2003-10-10,28.86,32.5,27.3,31.97
2003-10-17,31.03,32.63,30.63,31.88
2003-11-07,34.55,37.45,26.3,31.28
2003-11-14,32.14,32.15,28.7,31.85
2003-12-05,34.5,37.95,27.22,27.35
2003-12-12,30.7,33.15,27.95,33.04
2004-01-02,32.88,33.2,32.3,32.79
2004-01-09,36.16,44.4,33.9,44.0
2004-01-16,49.64,52.5,45.35,45.49
2004-02-06,32.88,42.45,32.3,39.96
2004-02-13,38.7,50.42,38.26,43.25
2004-03-05,34.85,38.3,34.07,38.21
2004-03-12,39.88,51.2,38.15,42.54
2004-04-02,34.09,34.45,32.95,33.1
2004-04-09,35.81,44.34,35.75,42.83
2004-04-16,49.9,51.06,48.75,48.82
2004-05-07,32.4,39.74,32.2,38.39
2004-05-14,42.81,51.29,42.62,49.61
2004-06-04,33.8,35.0,32.32,34.97
2004-06-11,39.62,52.15,38.75,52.02
2004-06-18,42.5,43.6,42.26,42.98
2004-07-02,33.68,33.85,33.05,33.62
2004-07-09,34.99,43.69,34.69,43.31
2004-07-16,52.0,53.0,41.38,41.46
2004-08-06,33.65,39.14,33.4,37.28
2004-08-13,39.19,53.4,38.85,41.94
2004-09-03,34.05,36.85,32.28,36.28
2004-09-10,36.17,44.98,36.13,44.61
2004-09-17,49.02,49.43,41.95,42.53
2004-10-08,32.9,45.04,32.82,44.52
2004-10-15,44.55,49.0,40.25,40.71
2004-11-05,34.0,40.15,33.3,40.06
2004-11-12,37.75,53.45,37.54,47.42
