Date,AD1_alpha_forecast,AD1_one_perc_change,AD1_block_value,AD1_price_volatility,AD1_cash_vol_daily,AD1_std_dev,AD1_icv,AD1_ivv,AD1_vol_scalar,AD1_alpha_subsystem_position,AD1_alpha_trades_needed,AD1_alpha_target_pos,AD1_daily_instrument_pnls,AD1_daily_current_pnls,RX1_alpha_forecast,RX1_one_perc_change,RX1_block_value,RX1_price_volatility,RX1_cash_vol_daily,RX1_std_dev,RX1_icv,RX1_ivv,RX1_vol_scalar,RX1_alpha_subsystem_position,RX1_alpha_trades_needed,RX1_alpha_target_pos,RX1_daily_instrument_pnls,RX1_daily_current_pnls,AUM
2024-12-30,-18.162782018798936,0.62245,622.4499999999999,1.64,167937.7141154852,1.023269148361161,1020.8179999999999,662.0004729999998,253.68216635018211,-460.75738894750486,-588.242281607621,-342.80349737694365,366151.40818666405,12271.939211533165,7.763321302510844,1.6354,1635.3999999999999,0.5,167937.7141154852,0.8241264061504453,817.6999999999999,924.6551599999999,181.62199420969566,140.99898966526317,-0.3680325671428477,157.35487246643368,601.8804603054147,0.0,13801770.417885786
2024-12-31,-18.011067594350088,0.62245,622.4499999999999,1.66,172522.13022357234,1.0329878992455863,1033.2669999999998,670.0736494999999,257.46741474210495,-463.7263010262621,-598.6945343137211,-345.012367963539,372657.41288357606,0.0,7.240967180607876,1.6354,1635.3999999999999,0.45,172522.13022357234,0.7287031860191797,735.93,832.1896439999999,207.31107562733905,150.11326947940793,-14.095585470676411,167.52640873901925,23051.92047874426,0.0,14197479.751248106
2025-01-01,-17.78028893520707,0.619,619.0,1.7,177468.49689060135,1.0516642366528006,1052.3,682.4165499999999,260.05889934908726,-462.3922370598706,-601.4872391146487,-344.0198243725438,372320.6010119674,-88826.25808602592,6.817484431658543,1.6463999999999999,1646.3999999999999,0.4,177468.49689060135,0.6517609479821411,658.56,744.6996479999999,238.30882338566832,162.4666693358659,-25.998272648512682,181.31280297882637,42803.55608851128,228042.18319007178,14612603.908348585
2025-01-02,-18.082999823905183,0.6193500000000001,619.35,1.67,182657.54885435733,1.0346928690781774,1034.3145,670.7529532499999,272.3171742581625,-492.43114141567094,-626.4276685623465,-366.3687692132592,387977.97652408754,9102.061477219015,10.07854451758647,1.6481999999999999,1648.1999999999998,0.38,182657.54885435733,0.6207656562514628,626.3159999999999,708.2381327999999,257.9041432466023,259.92983889808795,51.77287682459783,290.08170021026615,85332.05558230229,42895.58820942192,15085913.940454975
2025-01-03,-18.21608348502788,0.6217,621.7,1.56,188573.9242556872,0.9703434958755296,969.8520000000001,628.949022,299.82386117087754,-546.1616485892114,-678.6614408085358,-406.3442665503733,421923.8177506646,63994.535950668025,13.070845137605636,1.6397,1639.7,0.31,188573.9242556872,0.5105790829845609,508.307,574.7935556,328.0724399542784,428.8184056558797,220.65719746535945,478.56134071196175,361811.60668395093,-219218.52175961048,15869649.36488959
2025-01-06,-17.0855669867429,0.6242,624.1999999999999,1.47,198370.61706111988,0.9206724444600152,917.5739999999998,595.0467389999999,333.36980788179716,-569.5812183922056,-723.5922876546786,-423.768426483801,451666.3059540517,74955.96529271938,6.764840022518676,1.6396000000000002,1639.6000000000001,0.29,198370.61706111988,0.4729894290376759,475.484,537.6773072,368.93990950473926,249.58194657220787,-49.538987579694435,278.533452374584,81224.12403566708,-3280.7243995398003,16402539.79487931
2025-01-07,-15.355959081293877,0.624,624.0,1.36,205031.7474359914,0.8513179488228914,848.6400000000001,550.3430400000001,372.552630875447,-572.0902955351746,-759.0049877599672,-425.63517987817,473619.1123622213,-6667.396157636986,4.979517073494592,1.6374000000000002,1637.4,0.28,205031.7474359914,0.4627083314372061,458.4720000000001,518.4401376000001,395.4781517980821,196.92902090726358,-149.1671221722331,219.77278733250617,244246.24584481653,-81166.78009104222,17120405.15308635
2025-01-08,-14.330920650787927,0.62115,621.15,1.31,214005.06441357938,0.812963355050346,813.7065,527.68866525,405.5517552422534,-581.1930024164501,-804.9602246732859,-432.4075937978389,500001.04355581163,-106177.49979950112,2.74069538142839,1.6396000000000002,1639.6000000000001,0.27,214005.06441357938,0.4494441010642225,442.69200000000006,500.5961136000001,427.50045116127194,117.16485120562508,-264.7221778526045,130.7559739454776,434038.4828071307,87005.1933955776,18054444.67944929
2025-01-09,-14.24070743973419,0.61985,619.85,1.21,225680.55849311614,0.7499995555474805,750.0185,486.38699725,463.9938151494574,-660.7600175389529,-897.1572082912344,-491.60545304898096,556102.8955593213,-52721.728181493985,3.055254727555943,1.6421000000000001,1642.1000000000001,0.28,225680.55849311614,0.4679572629861004,459.78800000000007,519.9282704000001,434.06094906032274,132.61667666639704,-279.5002400015728,148.0002111596991,458967.3441065825,106875.11279031799,19069514.919115193
2025-01-10,-14.665047103164293,0.6149,614.9,1.23,238368.93648893991,0.7541834436360868,756.327,490.4780595,485.9930671148399,-712.7111221050412,-994.2508899956081,-530.2570748461507,611364.872258298,-229676.93849898025,4.467565080245449,1.6441,1644.1,0.3,238368.93648893991,0.4875106836246121,493.22999999999996,557.7444839999999,427.38017735185696,190.9348756326263,-220.9776278543118,213.08332120601094,363309.317955276,86812.18981205962,20044189.109328765
