Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,trades,pnl_usd,carry_pnl_usd,trade_pnl_usd,strategy_ret,current_position,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-25,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,,-0.0061440157286802854,-1.0,0.828419896980347,0.9101757506000404,162.44971327416397,163.14989620953708,-0.7001829353731068,-0.7692832234999732,-5.769624176249799,-5.769624176249799,0.02168057266496927,0.4,1.6176,1617.6,647.04,731.672832,10022141.064000001,124570.01330000002,170.25370883252916,-98.2299914576354,-70.32787737501991,-70,-20,56540.0,56540.0,0.0,0.005673516292383666,-50.0,22141.064000001177,1.431902341259001,0.7159511706295005
2017-01-26,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,,-0.002040059347180878,-0.3299999999999841,0.7895269295760033,0.888553278974313,162.0418279644984,162.9475554790033,-0.9057275145049175,-1.0193283125919352,-7.644962344439515,-7.644962344439515,0.011770375730479177,0.47,1.6143,1614.3000000000002,758.721,857.9617068,10048262.544,125276.76330000002,146.01673047536534,-111.62924061423416,-79.92108549424313,-80,-10,26121.47999999874,26121.47999999874,0.0,0.002606377203552674,-70.0,48262.54399999976,1.431902341259001,0.7159511706295005
2017-01-27,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,,0.0026017468871957217,0.4199999999999875,0.7563849333827053,0.8697039343263345,161.96509677869903,162.81843130500292,-0.8533345263038825,-0.9811781833146108,-7.358836374859581,-7.358836374859581,-0.019890256982374014,0.5,1.6185,1618.5,809.25,915.0999,10010267.664,125603.2818,137.2563605350629,-101.00470985862619,-72.31444026237646,-72,8,-37994.87999999886,-37994.87999999886,0.0,-0.0037812387797018995,-80.0,10267.664000000805,1.431902341259001,0.7159511706295005
2017-01-30,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,,0.001359283286994195,0.21999999999999886,0.7181154775241807,0.8474169443220856,162.00705806721942,162.73038056323787,-0.7233224960184543,-0.8535615211200385,-6.401711408400288,-6.401711408400288,-0.010002743296071578,0.52,1.6207,1620.7,842.764,952.9975312,9992355.792000001,125128.34580000001,131.29975860739145,-84.05431625971418,-60.178786122604635,-60,12,-17911.87199999991,-17911.87199999991,0.0,-0.0017893499555877517,-72.0,-7644.207999998704,1.431902341259001,0.7159511706295005
2017-01-31,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,,0.0003702104029124076,0.060000000000002274,0.6794930192796304,0.8243136655907327,162.05623484033165,162.6597475557981,-0.6035127154664508,-0.7321396461794091,-5.491047346345568,-5.491047346345568,-0.002369980159832827,0.52,1.6213,1621.3,843.076,953.3503408,9988284.912,124904.44740000002,131.01631378784316,-71.94167821527145,-51.506728735274436,-52,8,-4070.8800000001543,-4070.8800000001543,0.0,-0.0004073994245940831,-60.0,-11715.087999999523,1.431902341259001,0.7159511706295005
2017-02-01,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,,-0.003207302781718213,-0.5199999999999818,0.6573798831023521,0.8107896663761521,161.87774090419902,162.53624784335125,-0.6585069391522325,-0.8121797384214926,-6.091348038161194,-6.091348038161194,0.017611451428480553,0.54,1.6161,1616.1000000000001,872.6940000000002,986.8423752000002,10018861.743999999,124853.5614,126.51824094470642,-77.06666387701428,-55.175968219258614,-55,-3,30576.831999998933,30576.831999998933,0.0,0.003061269504163192,-52.0,18861.743999999017,1.431902341259001,0.7159511706295005
2017-02-02,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,,0.004702679289647849,0.7599999999999909,0.6530674569887107,0.8081258917945339,162.07464454251942,162.5166892735452,-0.44204473102578845,-0.546999836924144,-4.10249877693108,-4.10249877693108,-0.028645656265097703,0.51,1.6237000000000001,1623.7,828.087,936.4007796,9971594.304,125235.77179999999,133.74163555640848,-54.86748962949281,-39.282443429737356,-39,16,-47267.439999999435,-47267.439999999435,0.0,-0.004717845320932441,-55.0,-28405.696000000462,1.431902341259001,0.7159511706295005
2017-02-03,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,,0.0007390527806860892,0.12000000000000455,0.6185448917460777,0.7864762499567789,162.24078672551167,162.51354935901048,-0.27276263349881447,-0.34681610984922207,-2.6011208238691657,-2.6011208238691657,-0.0030319631288521945,0.48,1.6249000000000002,1624.9000000000003,779.9520000000001,881.9697216000002,9966302.16,124644.9288,141.32563255559268,-36.76050457868342,-26.318726286039507,-26,13,-5292.1440000002,-5292.1440000002,0.0,-0.0005307219526447553,-39.0,-33697.83999999985,1.431902341259001,0.7159511706295005
2017-02-06,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,,0.0043079574127637965,0.6999999999999886,0.611596519219262,0.7820463664126712,162.620472035307,162.59313178736218,0.027340247944806606,0.034959881049277414,0.2621991078695806,0.2621991078695806,-0.011205517734681446,0.44,1.6319,1631.8999999999999,718.036,811.9551088,9945721.6,124578.777,153.43062153290316,4.022937208580247,2.880226603852003,3,29,-20580.559999999667,-20580.559999999667,0.0,-0.0020650146533385525,-26.0,-54278.40000000037,1.431902341259001,0.7159511706295005
2017-02-07,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,,0.001164287027391353,0.18999999999999773,0.5804885992614639,0.761898024187925,162.9242832211842,162.68570451826074,0.23857870292346206,0.31313731673966877,2.348529875547516,2.348529875547516,0.0003052750198861387,0.44,1.6338,1633.8,718.872,812.9004576,9946366.156,124321.52,152.93572397172187,35.91741167860772,25.715112937280892,26,23,644.5559999999923,644.5559999999923,0.0,6.480736400262725e-05,3.0,-53633.84400000051,1.431902341259001,0.7159511706295005
2017-02-08,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,,0.005141388174807249,0.8400000000000034,0.5872513776797634,0.7663232853566199,163.4425699327105,162.8662098690536,0.5763600636569208,0.7521108580025767,5.640831435019325,5.640831435019325,0.012074703730321538,0.47,1.6422,1642.2,771.834,872.7898872,9971062.828,124329.57695,142.45075335240435,80.3540687452427,57.52958958299987,58,32,24696.6720000001,24696.6720000001,0.0,0.002482984399795316,26.0,-28937.172000000253,1.431902341259001,0.7159511706295005
2017-02-09,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,,6.089392278640915e-05,0.009999999999990905,0.5555134653727491,0.745327757012141,163.75754195962628,163.02665576681198,0.730886192814296,0.9806238744472121,7.35467905835409,7.35467905835409,0.00034349235385521627,0.49,1.6422999999999999,1642.3,804.727,909.9852916,9971718.692,124638.28535,136.9673625502806,100.7350993026541,72.12141226921419,72,14,655.8639999994035,655.8639999994035,0.0,6.57767392817599e-05,58.0,-28281.308000000194,1.431902341259001,0.7159511706295005
2017-02-10,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,,-0.0019484868781586284,-0.3199999999999932,0.5310208456228706,0.7287117712942961,163.8185251757758,163.13057861777529,0.6879465580005046,0.9440585223134428,7.080438917350821,7.080438917350821,-0.014330495638271002,0.51,1.6391,1639.1,835.9409999999999,945.2820827999999,9945665.06,124646.48365000001,131.86168014608646,93.36385718136167,66.84396284348138,67,-5,-26053.631999999445,-26053.631999999445,0.0,-0.002612752405550857,72.0,-54334.93999999948,1.431902341259001,0.7159511706295005
2017-02-13,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,,-0.0009151363553169256,-0.15000000000000568,0.5035332323459587,0.7096007555984976,163.79511510546547,163.20462819215464,0.5904869133108264,0.8321396343677689,6.241047257758267,6.241047257758267,-0.006479567064868549,0.52,1.6376,1637.6,851.552,962.9350016000001,9934300.52,124320.81325,129.10613181931302,80.57574699507009,57.68830038546689,58,-9,-11364.54000000043,-11364.54000000043,0.0,-0.0011426626506564085,67.0,-65699.48000000045,1.431902341259001,0.7159511706295005
2017-02-14,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.851208357,32,0.002,,1.1308,,-0.002076209086467995,-0.3400000000000034,0.48256386843536647,0.6946681714569672,163.64506906327927,163.22996605190116,0.41510301137810757,0.597555823678359,4.481668677587693,4.481668677587693,-0.012957719025633876,0.52,1.6341999999999999,1634.1999999999998,849.7839999999999,960.9357471999999,9912001.144,124178.7565,129.2269091475006,57.915219102782395,41.464468913901065,41,-17,-22299.376000000222,-22299.376000000222,0.0,-0.0022446850641478504,58.0,-87998.85600000061,1.431902341259001,0.7159511706295005
2017-02-15,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619,33,0.002,,1.1308,,-0.0007343042467260474,-0.11999999999997613,0.4572577133848058,0.6762083357847682,163.50704143796756,163.23820533991278,0.26883609805477704,0.3975640107168768,2.981730080376576,2.981730080376576,-0.003290908342371752,0.52,1.6330000000000002,1633.0000000000002,849.1600000000002,960.2301280000003,9906437.608000001,123900.0143,129.03158387465214,38.47373549576834,27.54531596668511,28,-13,-5563.535999998893,-5563.535999998893,0.0,-0.00056129291342613,41.0,-93562.39199999906,1.431902341259001,0.7159511706295005
2017-02-16,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.845453133,34,0.002,,1.1308,,0.003306797305572484,0.539999999999992,0.44830324239103203,0.6695545103955555,163.64022486278054,163.30900471168775,0.33122015109279346,0.49468735696682437,3.710155177251183,3.710155177251183,0.009859976995733688,0.52,1.6384,1638.4,851.9680000000001,963.4054144000002,9923535.304000001,123830.47010000002,128.5341230691759,47.68815421585437,34.14238983600109,34,6,17097.69599999975,17097.69599999975,0.0,0.0017259176988297393,28.0,-76464.6959999986,1.431902341259001,0.7159511706295005
2017-02-17,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.890519511,35,0.002,,1.1308,,0.00360107421875,0.5900000000000034,0.4428868509104359,0.6654974462088009,163.95613491766832,163.4408865103127,0.5152484073556138,0.7742304802082648,5.806728601561986,5.806728601561986,0.013360544156361072,0.54,1.6443,1644.3000000000002,887.9220000000001,1004.0621976000002,9946219.152,124044.19130000002,123.54233791143776,71.73768270541812,51.36067791119178,51,17,22683.848000000133,22683.848000000133,0.0,0.002285863586423346,34.0,-53780.8479999993,1.431902341259001,0.7159511706295005
2017-02-20,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.937918795,36,0.002,,1.1308,,0.0009122422915526229,0.15000000000000568,0.4201632373477097,0.6481999979541112,164.205680950601,163.57489986204064,0.6307810885603544,0.9731272609553604,7.298454457165203,7.298454457165203,0.005297143405913063,0.57,1.6458000000000002,1645.8000000000002,938.106,1060.8102648,9954869.772000002,124327.73940000002,117.2007318607915,85.53842038324176,61.241332207180264,61,10,8650.620000000328,8650.620000000328,0.0,0.0008697395329622159,51.0,-45130.22799999826,1.431902341259001,0.7159511706295005
2017-02-21,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.962182762,37,0.002,,1.1308,,-0.001032932312553303,-0.17000000000001592,0.3990138731667527,0.6316754492354065,164.28740857036058,163.67314693709469,0.6142616332658974,0.9724323369056259,7.293242526792194,7.293242526792194,-0.007538809440504615,0.59,1.6441,1644.1,970.0189999999999,1096.8974852,9943143.376,124435.87215000002,113.44348385237782,82.73708408196255,59.2357122029525,59,-2,-11726.3960000011,-11726.3960000011,0.0,-0.0011779557411171623,61.0,-56856.623999999836,1.431902341259001,0.7159511706295005
2017-02-22,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.033838801,38,0.002,,1.1308,,0.0035277659509762582,0.5800000000000125,0.39562933948206414,0.6289907308395444,164.56844514221638,163.82807082684823,0.7403743153681432,1.1770830301106818,8.828122725830113,8.828122725830113,0.025728852658229554,0.63,1.6499000000000001,1649.9,1039.4370000000001,1175.3953596000001,9981839.352000002,124289.29220000001,105.74254116699679,93.35081307633905,66.83462390122062,67,8,38695.97600000083,38695.97600000083,0.0,0.0038917246324137516,59.0,-18160.647999998182,1.431902341259001,0.7159511706295005
2017-02-23,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.147469244,39,0.002,,1.1308,,0.003939632705012297,0.6499999999999773,0.39708180761816714,0.630144275240335,164.99706708532983,164.04123896486607,0.9558281204637638,1.516840123794212,11.37630092845659,11.37630092845659,0.03477956101454262,0.69,1.6563999999999999,1656.3999999999999,1142.9159999999997,1292.4094127999997,10031085.692,124772.99190000002,96.54293033171265,109.83014279685827,78.63301930581588,79,12,49246.33999999828,49246.33999999828,0.0,0.00493359372590294,67.0,31085.691999999806,1.431902341259001,0.7159511706295005
2017-02-24,165.72,166.4,165.6,166.21,841355,1651201,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166210,166.21,162.95,1.272212901,40,0.002,,1.1308,,0.003441197778314642,0.5700000000000216,0.3931800882874567,0.6270407389376361,165.4822402511979,164.29638732194064,1.1858529292572655,1.8911896079773014,14.18392205982976,14.18392205982976,0.03914810148044362,0.77,1.6621000000000001,1662.1000000000001,1279.8170000000002,1447.2170636000003,10082005.616000002,125388.57115,86.64116413752875,122.8911519299625,87.98406408426446,88,9,50919.924000001934,50919.924000001934,0.0,0.005076212641729463,79.0,82005.61600000225,1.431902341259001,0.7159511706295005
2017-02-27,166.22,166.32,165.9,166.08,640091,1624074,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166080,166.08,162.84,1.378103407,41,0.002,,1.1308,,-0.0007821430720172939,-0.12999999999999545,0.37284062405570223,0.6106067671224273,165.72134415071875,164.50622410759468,1.2151200431240738,1.9900205968081597,14.925154476061198,14.925154476061198,-0.011093856373129112,0.83,1.6608,1660.8,1378.464,1558.7670911999999,10069069.264000002,126025.07020000003,80.84919864646425,120.66867790642368,86.39288120541818,86,-2,-12936.351999999548,-12936.351999999548,0.0,-0.001283112953187582,88.0,69069.2640000023,1.431902341259001,0.7159511706295005
