instrument,type,fast,slow,scaler,ann_return,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,kurt,daily_vol,ann_vol_check,mae_mean,mfe_mean,edge_ratio,turnover,avg_yearly_lots,avg_abs_pos
PORT,exec,16,64,3.75,-0.07752577661719076,0.05703261685268883,-1.3593235046084997,-1.6027133948683563,-0.183808039690595,-0.42177576534568506,0.4578313253012048,-0.7433706129982124,11.201654315475228,0.003564538553293052,0.05703261685268883,,,,,,
RX1,raw,32,128,2.65,-0.37225017833934837,0.3218143241550832,-1.1567234594565778,-1.2216944075702165,-0.6684477707468275,-0.5568874557296369,0.44905008635578586,-1.8333756011514768,40.9865895477027,0.0201133952596927,0.3218143241550832,2.8941666666666657,1.6750000000000018,0.5787503599193788,11.739644970414199,1584.4681583476763,67.48364888123925
RX1,exec,32,128,2.65,-0.07838599968075378,0.08113537901020523,-0.9661136810724008,-0.9650830605649029,-0.1890855415684527,-0.414553111943657,0.4440619621342513,-2.9260290425899895,64.26896560120444,0.005070961188137827,0.08113537901020523,,,,11.739644970414199,1584.4681583476763,67.48364888123925
AD1,raw,32,128,2.65,-0.6038637304799632,0.5672540142514142,-1.0645384877123552,-1.2059424037963629,-0.8513090625843049,-0.7093354893307773,0.46735395189003437,-0.7462141078609736,7.141760740623307,0.03545337589071339,0.5672540142514142,1.5309090909090874,1.632272727272729,1.0662114014251818,9.747727346252143,1031.890410958904,52.929794520547944
AD1,exec,32,128,2.65,-0.057949375968410634,0.07367864103977186,-0.7865152661696008,-0.8379543949676301,-0.15112987324082705,-0.38344090897282557,0.4606164383561644,-1.1366489897621588,13.47742866927993,0.004604915064985741,0.07367864103977186,,,,9.747727346252143,1031.890410958904,52.929794520547944
PORT,raw,32,128,2.65,-0.4845632406069593,0.3317733911489523,-1.4605247242067425,-1.7531909791442084,-0.7377927287254898,-0.6567742154954884,0.45611015490533563,-0.5784890367166038,6.559798260630134,0.02073583694680952,0.3317733911489523,,,,,,
PORT,exec,32,128,2.65,-0.06790255572034387,0.05504445465279426,-1.2335948489026747,-1.3558707868135955,-0.157842375753395,-0.43019217999120474,0.4750430292598967,-1.5463871949891386,23.992833472199976,0.0034402784157996414,0.05504445465279426,,,,,,
RX1,raw,64,256,1.87,-0.2250339706787008,0.22517637688592454,-0.9993675792763292,-1.0895344511483356,-0.49731841938638444,-0.45249474362192055,0.4369602763385147,-1.544951172811124,41.42589907252846,0.014073523555370284,0.22517637688592454,3.1950000000000025,2.3166666666666678,0.7250912884715699,10.553842821558789,1006.3752151462995,47.67814113597246
RX1,exec,64,256,1.87,-0.052117224621590075,0.056304235307915985,-0.9256359550320143,-0.9399187617768879,-0.13196302388129433,-0.3949380901461569,0.43029259896729777,-2.9245539021999916,69.59770866679379,0.003519014706744749,0.056304235307915985,,,,10.553842821558789,1006.3752151462995,47.67814113597246
AD1,raw,64,256,1.87,-0.39223952719915195,0.4419337177700783,-0.8875528420377727,-0.9761760435983942,-0.7144891777500713,-0.548978962052743,0.46048109965635736,-0.9666148726780959,8.671790361525538,0.027620857360629893,0.4419337177700783,1.5518750000000008,1.6662500000000007,1.0737011679420054,8.417220861043052,658.8493150684932,39.136986301369866
AD1,exec,64,256,1.87,-0.0411298325132828,0.05754683566198473,-0.7147192724004641,-0.7547871077574855,-0.12884750664963907,-0.31921325901263004,0.4486301369863014,-1.0095041278894725,12.778562530492252,0.0035966772288740455,0.05754683566198473,,,,8.417220861043052,658.8493150684932,39.136986301369866
PORT,raw,64,256,1.87,-0.304114879176616,0.2518978197260533,-1.2072946066279986,-1.3941542560741238,-0.5820912237446849,-0.5224522665368443,0.47160068846815834,-0.8256098549824664,7.434602166076787,0.01574361373287833,0.2518978197260533,,,,,,
PORT,exec,64,256,1.87,-0.046177632406925295,0.040709660684372415,-1.1343163178132782,-1.2307740884095817,-0.11383512033483412,-0.4056536530299139,0.47160068846815834,-1.5195959613843282,23.11705514865432,0.002544353792773276,0.040709660684372415,,,,,,
