Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdjpy,assetClass
03/05/1990,63.74,63.77,63.55,63.6,19124,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79500,63.37,63.6,1.0828470190505073,24,0.002,,0.006938181,,fx
04/05/1990,63.36,63.56,63.3,63.53,20493,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79413,63.33,63.53,0.2967338875153968,25,0.002,,0.006938181,,fx
07/05/1990,63.72,63.76,63.51,63.52,21552,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79400,63.33,63.52,0.2958180747238635,26,0.002,,0.006938181,,fx
08/05/1990,63.6,63.75,63.58,63.73,18838,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79663,63.53,63.73,0.2892709226083154,27,0.002,,0.006938181,,fx
09/05/1990,64.2,64.27,64.03,64.17,43410,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,80213,63.96,64.17,0.31678962525099424,28,0.002,,0.006938181,,fx
10/05/1990,63.95,64.03,63.88,64.02,14289,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,80025,63.83,64.02,0.32653585816364006,29,0.002,,0.006938181,,fx
11/05/1990,65.45,65.78,65.43,65.68,51624,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82100,65.5,65.68,0.5420956250207741,30,0.002,,0.006938181,,fx
14/05/1990,65.58,65.83,65.58,65.81,33228,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82263,65.63,65.81,0.6988342674292153,31,0.002,,0.006938181,,fx
15/05/1990,66.62,66.65,66.27,66.59,41528,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83238,66.4,66.59,0.9080789246168663,32,0.002,,0.006938181,,fx
16/05/1990,66.16,66.37,66,66.18,23869,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82725,65.99,66.18,1.022582189035836,33,0.002,,0.006938181,,fx
17/05/1990,66.08,66.14,65.85,65.98,23869,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82475,65.8,65.98,1.0997974055858288,34,0.002,,0.006938181,,fx
18/05/1990,65.67,65.74,65.55,65.55,14050,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81938,65.38,65.55,1.136856044830061,35,0.002,,0.006938181,,fx
21/05/1990,65.42,65.5,65.26,65.29,16273,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81613,65.13,65.29,1.1373617132058942,36,0.002,,0.006938181,,fx
22/05/1990,66,66.36,65.97,66.29,28834,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82863,66.11,66.29,1.1776619492310345,37,0.002,,0.006938181,,fx
23/05/1990,66.3,66.52,66.2,66.24,24969,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82800,66.06,66.24,1.222004773585861,38,0.002,,0.006938181,,fx
24/05/1990,66.18,66.49,66.09,66.46,16364,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83075,66.29,66.46,1.2848123079526532,39,0.002,,0.006938181,,fx
25/05/1990,67.04,67.15,66.97,66.46,16364,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83075,66.29,66.46,1.3325601925116233,40,0.002,,0.006938181,,fx
28/05/1990,67.04,67.15,66.97,67.05,19404,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83813,66.86,67.05,1.4036223376202748,41,0.002,,0.006938181,,fx
29/05/1990,66.47,66.58,66.35,66.45,19648,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83063,66.26,66.45,1.4039685419077585,42,0.002,,0.006938181,,fx
30/05/1990,66.56,66.59,66.25,66.27,16404,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82838,66.1,66.27,1.3908190632381305,43,0.002,,0.006938181,,fx
31/05/1990,65.88,66.06,65.7,65.91,16404,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82388,65.73,65.91,1.3459411824691991,44,0.002,,0.006938181,,fx
01/06/1990,65.65,66.55,65.87,66.11,23509,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82638,65.95,66.11,1.2906167776170354,45,0.002,,0.006938181,,fx
04/06/1990,65.66,65.75,65.54,65.64,16895,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82050,65.48,65.64,1.225972675062503,46,0.002,,0.006938181,,fx
05/06/1990,65.63,65.87,65.6,65.75,14485,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82188,65.59,65.75,1.1515081415256716,47,0.002,,0.006938181,,fx
06/06/1990,65.69,65.82,65.68,65.74,7900,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82175,65.57,65.74,1.0828470190505073,48,0.002,,0.006938181,,fx
07/06/1990,65.69,65.77,65.67,65.74,6737,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82175,65.58,65.74,1.006577865840442,49,0.002,,0.006938181,,fx
08/06/1990,65.4,65.43,65.3,65.34,17402,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81675,65.19,65.34,0.9116209007403037,50,0.002,,0.006938181,,fx
11/06/1990,64.96,64.99,64.79,64.82,30574,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81025,64.66,64.82,0.8153420550091608,51,0.002,,0.006938181,,fx
12/06/1990,64.96,64.97,64.81,64.84,19069,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81050,64.68,64.84,0.7273188205089689,52,0.002,,0.006938181,,fx
13/06/1990,64.85,64.99,64.68,64.77,24272,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,80963,64.62,64.77,0.6805385122581654,53,0.002,,0.006938181,,fx
14/06/1990,65.24,65.26,64.9,64.99,23372,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81238,64.84,64.99,0.5974529270159179,54,0.002,,0.006938181,,fx
15/06/1990,64.86,65.26,64.65,65.12,38589,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81400,64.95,65.12,0.6138952136425421,55,0.002,,0.006938181,,fx
18/06/1990,65.02,65.27,65.01,65.19,20321,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81488,64.92,65.19,0.6265242746027944,56,0.002,,0.006938181,,fx
19/06/1990,65.42,65.46,65.29,65.47,17196,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81838,65.32,65.47,0.6067261875562654,57,0.002,,0.006938181,,fx
20/06/1990,65.26,65.26,65.19,65.27,12142,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81588,65.12,65.27,0.6069011451627822,58,0.002,,0.006938181,,fx
21/06/1990,64.88,64.96,64.84,64.94,14321,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81175,64.8,64.94,0.6230235415562021,59,0.002,,0.006938181,,fx
22/06/1990,64.89,64.89,64.79,64.82,11176,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81025,64.71,64.82,0.6454863799233638,60,0.002,,0.006938181,,fx
25/06/1990,64.45,64.63,64.45,64.55,17434,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,80688,64.44,64.55,0.6782816524128494,61,0.002,,0.006938181,,fx
26/06/1990,64.7,64.92,64.69,64.89,23006,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81113,64.77,64.89,0.6775244153041593,62,0.002,,0.006938181,,fx
27/06/1990,65.1,65.1,65.01,65.03,11337,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81288,64.91,65.03,0.6695901731655812,63,0.002,,0.006938181,,fx
28/06/1990,65.28,65.68,65.22,65.57,37868,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,81963,65.46,65.57,0.6396803889442882,64,0.002,,0.006938181,,fx
29/06/1990,65.89,66.1,65.82,65.93,37868,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82413,65.86,65.93,0.6137317546506655,65,0.002,,0.006938181,,fx
02/07/1990,66.35,66.48,66.26,66.45,24207,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83063,66.36,66.45,0.5576438528905229,66,0.002,,0.006938181,,fx
03/07/1990,66.17,66.46,66.11,66.45,24207,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83063,66.36,66.45,0.5576438528905229,67,0.002,,0.006938181,,fx
04/07/1990,66.17,66.46,66.11,66.47,22933,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83088,66.38,66.47,0.5715476066493386,68,0.002,,0.006938181,,fx
05/07/1990,66.62,66.65,66.45,66.55,23560,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83188,66.46,66.55,0.6070782486631504,69,0.002,,0.006938181,,fx
06/07/1990,66.4,66.6,66.16,66.18,24286,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82725,66.07,66.18,0.6103651912311059,70,0.002,,0.006938181,,fx
09/07/1990,66.54,66.56,66.32,66.36,13525,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,82950,66.24,66.36,0.6356553049149997,71,0.002,,0.006938181,,fx
10/07/1990,67.23,67.71,67.18,67.69,48561,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84613,67.57,67.69,0.7725052319131812,72,0.002,,0.006938181,,fx
11/07/1990,67.71,67.75,67.43,67.67,37271,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84588,67.57,67.67,0.8795548116328862,73,0.002,,0.006938181,,fx
12/07/1990,67.3,68.28,67.28,67.89,38382,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84863,67.81,67.89,0.9877837145177831,74,0.002,,0.006938181,,fx
13/07/1990,67.85,68.01,67.64,67.68,23473,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84600,67.6,67.68,1.0576817416721045,75,0.002,,0.006938181,,fx
16/07/1990,67.78,67.88,67.6,67.6,18971,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84500,67.52,67.6,1.0933096542150584,76,0.002,,0.006938181,,fx
17/07/1990,67.55,67.74,67.49,67.76,24203,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84700,67.69,67.76,1.1269341891461535,77,0.002,,0.006938181,,fx
18/07/1990,68.02,68.11,67.8,67.8,28236,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84750,67.74,67.8,1.1461294284095838,78,0.002,,0.006938181,,fx
19/07/1990,67.85,67.89,67.64,67.72,15391,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84650,67.67,67.72,1.1587241546919023,79,0.002,,0.006938181,,fx
20/07/1990,67.18,67.31,67.14,67.26,19223,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84075,67.22,67.26,1.148304111868071,80,0.002,,0.006938181,,fx
23/07/1990,67.29,67.53,67.28,67.55,21088,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84438,67.52,67.55,1.1444612997679031,81,0.002,,0.006938181,,fx
24/07/1990,67.39,67.55,67.34,67.43,18011,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84288,67.4,67.43,1.1408019109379854,82,0.002,,0.006938181,,fx
25/07/1990,67.18,67.27,66.7,66.77,33003,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83463,66.73,66.77,1.1102382627164984,83,0.002,,0.006938181,,fx
26/07/1990,66.59,66.66,66.35,66.51,27219,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83138,66.47,66.51,1.0554569310649635,84,0.002,,0.006938181,,fx
27/07/1990,66.44,67.2,66.42,67.16,34480,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83950,67.14,67.16,0.9867063055099287,85,0.002,,0.006938181,,fx
30/07/1990,67.48,67.66,67.43,67.62,20171,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84525,67.61,67.62,0.8865733660183075,86,0.002,,0.006938181,,fx
31/07/1990,68.28,68.64,68.25,68.59,20171,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85738,68.59,68.59,0.8486178959537712,87,0.002,,0.006938181,,fx
01/08/1990,68.27,68.3,67.75,68.05,40020,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85063,68.06,68.05,0.7630458701805867,88,0.002,,0.006938181,,fx
02/08/1990,66.55,67.34,66.3,66.97,49816,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83713,66.97,66.97,0.6902842409710437,89,0.002,,0.006938181,,fx
03/08/1990,67.11,67.3,66.48,66.64,35658,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83300,66.66,66.64,0.6490410875537574,90,0.002,,0.006938181,,fx
06/08/1990,66.9,67.03,66.44,66.57,25390,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83213,66.59,66.57,0.6434301308867684,91,0.002,,0.006938181,,fx
07/08/1990,66.89,67,66.42,66.48,29396,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83100,66.5,66.48,0.6419262678321895,92,0.002,,0.006938181,,fx
08/08/1990,66.46,66.86,66.45,66.75,21756,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83438,66.75,66.75,0.6302909381121504,93,0.002,,0.006938181,,fx
09/08/1990,66.84,66.9,66.76,66.77,14664,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83463,66.77,66.77,0.6215861431313917,94,0.002,,0.006938181,,fx
10/08/1990,66.62,66.78,66.48,66.48,16075,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83100,66.48,66.48,0.6024942600000076,95,0.002,,0.006938181,,fx
13/08/1990,66.5,66.66,66.46,66.58,14074,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,83225,66.58,66.58,0.5901163727036856,96,0.002,,0.006938181,,fx
14/08/1990,66.71,67.29,66.69,67.26,24567,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84075,67.26,67.26,0.5838898297906543,97,0.002,,0.006938181,,fx
15/08/1990,67.95,68.2,67.79,67.82,37220,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84775,67.82,67.82,0.5890011318605062,98,0.002,,0.006938181,,fx
16/08/1990,67.77,67.95,67.4,67.95,31570,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84938,67.94,67.95,0.5917552985254604,99,0.002,,0.006938181,,fx
17/08/1990,67.7,67.95,67.61,67.86,19432,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,84825,67.85,67.86,0.5980036231771131,100,0.002,,0.006938181,,fx
20/08/1990,68.35,68.38,68.07,68.37,24069,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85463,68.36,68.37,0.6340236588642525,101,0.002,,0.006938181,,fx
21/08/1990,68.15,68.41,68.04,68.18,24921,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85225,68.17,68.18,0.6517929118973372,102,0.002,,0.006938181,,fx
22/08/1990,68.58,68.86,68.44,68.48,30678,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85600,68.47,68.48,0.6857205456060579,103,0.002,,0.006938181,,fx
23/08/1990,68.51,68.64,68.24,68.48,22043,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85600,68.47,68.48,0.7187298982693442,104,0.002,,0.006938181,,fx
24/08/1990,68.48,68.59,68.17,68.21,15844,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,85263,68.21,68.21,0.7368306001605242,105,0.002,,0.006938181,,fx
27/08/1990,69.2,69.43,68.97,69.37,34314,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,86713,69.37,69.37,0.8336366114798259,106,0.002,,0.006938181,,fx
28/08/1990,69.92,69.92,69.55,69.63,27330,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,87038,69.65,69.63,0.936384892373969,107,0.002,,0.006938181,,fx
29/08/1990,69.57,69.66,69.39,69.56,19024,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,86950,69.61,69.56,0.9996952869080569,108,0.002,,0.006938181,,fx
30/08/1990,69.19,69.47,69.1,69.33,17395,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,86663,69.36,69.33,1.0194805867039134,109,0.002,,0.006938181,,fx
31/08/1990,69.65,69.77,69.41,69.33,17395,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,86663,69.36,69.33,1.053947816544761,110,0.002,,0.006938181,,fx
03/09/1990,69.65,69.77,69.41,69.54,19368,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,86925,69.58,69.54,1.102066241203065,111,0.002,,0.006938181,,fx
04/09/1990,69.47,69.77,69.43,69.67,23755,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,87088,69.73,69.67,1.147608818369501,112,0.002,,0.006938181,,fx
05/09/1990,70.6,70.6,70.4,70.55,29763,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,88188,70.63,70.55,1.2548596203026399,113,0.002,,0.006938181,,fx
06/09/1990,70.87,71.04,70.67,70.99,26334,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,88738,71.07,70.99,1.3557716130182287,114,0.002,,0.006938181,,fx
07/09/1990,71.2,71.44,71.01,71.42,21222,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,89275,71.47,71.42,1.4495433763773145,115,0.002,,0.006938181,,fx
10/09/1990,71.94,71.98,71.64,71.65,32577,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,89563,71.71,71.65,1.5268040695079281,116,0.002,,0.006938181,,fx
11/09/1990,71.22,71.63,71.08,71.24,34791,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,89050,71.29,71.24,1.5392755871943775,117,0.002,,0.006938181,,fx
12/09/1990,72.47,72.68,72.27,72.4,43279,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90500,72.45,72.4,1.6289186597246703,118,0.002,,0.006938181,,fx
13/09/1990,72.27,73.37,72.17,73.35,37859,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91688,73.39,73.35,1.7652053704878532,119,0.002,,0.006938181,,fx
14/09/1990,73.12,73.3,72.73,72.99,35029,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91238,73.03,72.99,1.804235017950573,120,0.002,,0.006938181,,fx
17/09/1990,72.75,73.25,72.73,73.22,32113,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91525,72.91,73.22,1.8284237291537153,121,0.002,,0.006938181,,fx
18/09/1990,72.75,72.84,72.32,72.34,28548,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90425,72.45,72.34,1.8079811945921898,122,0.002,,0.006938181,,fx
19/09/1990,72.72,72.8,72.4,72.69,29572,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90863,72.8,72.69,1.8169823884669207,123,0.002,,0.006938181,,fx
20/09/1990,72.9,73.04,72.48,72.5,18471,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90625,72.61,72.5,1.8025260053599552,124,0.002,,0.006938181,,fx
21/09/1990,73.01,73.17,72.9,73.13,25828,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91413,73.21,73.13,1.7946636639397182,125,0.002,,0.006938181,,fx
24/09/1990,73.72,73.76,72.59,72.72,43718,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90900,72.79,72.72,1.7736551712961268,126,0.002,,0.006938181,,fx
25/09/1990,72.92,73.1,72.65,73.03,33181,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91288,73.09,73.03,1.7355559147812296,127,0.002,,0.006938181,,fx
26/09/1990,72.9,73.01,72.75,72.97,21375,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91213,73.03,72.97,1.6921541497941013,128,0.002,,0.006938181,,fx
27/09/1990,72.35,72.4,72.12,72.29,40346,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90363,72.38,72.29,1.6051456839381772,129,0.002,,0.006938181,,fx
28/09/1990,72.26,72.38,72.04,72.07,40346,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,90088,72.18,72.07,1.4689052612967646,130,0.002,,0.006938181,,fx
01/10/1990,72.75,73.1,72.72,72.97,34246,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91213,73.09,72.97,1.4252447742985344,131,0.002,,0.006938181,,fx
02/10/1990,72.94,73,72.76,72.98,23487,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91225,73.08,72.98,1.3829754155438125,132,0.002,,0.006938181,,fx
03/10/1990,73,73.69,73,73.44,35317,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,91800,73.55,73.44,1.338445242311096,133,0.002,,0.006938181,,fx
04/10/1990,74.17,74.69,74.16,74.57,52676,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,93213,74.67,74.57,1.320842534141934,134,0.002,,0.006938181,,fx
05/10/1990,75.03,75.65,74.94,75.56,53459,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,94450,75.65,75.56,1.3516142201080983,135,0.002,,0.006938181,,fx
08/10/1990,76.4,76.65,76.34,76.54,19739,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,95675,76.62,76.54,1.4532702203415881,136,0.002,,0.006938181,,fx
09/10/1990,76.42,76.81,76.32,76.46,34411,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,95575,76.52,76.46,1.4988871427378891,137,0.002,,0.006938181,,fx
10/10/1990,76.76,77.2,76.59,77.15,26571,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,96438,77.19,77.15,1.6315706134473291,138,0.002,,0.006938181,,fx
11/10/1990,76.66,77.25,76.59,77.22,26571,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,96525,77.27,77.22,1.7473599133163245,139,0.002,,0.006938181,,fx
12/10/1990,77.6,77.72,77.46,77.47,24969,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,96838,77.54,77.47,1.8656902208025083,140,0.002,,0.006938181,,fx
15/10/1990,78.06,78.27,77.95,78.25,18006,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,97813,78.31,78.25,2.021336191730128,141,0.002,,0.006938181,,fx
16/10/1990,77.74,78.97,77.68,78.8,31914,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,98500,78.85,78.8,2.155106493887946,142,0.002,,0.006938181,,fx
17/10/1990,80,80.08,79.52,79.61,43266,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,99513,79.64,79.61,2.3646643877439795,143,0.002,,0.006938181,,fx
18/10/1990,80.05,80.4,79.61,80.27,46826,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,100338,80.3,80.27,2.608053999951795,144,0.002,,0.006938181,,fx
19/10/1990,78.77,79.58,78.44,79.34,36496,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,99175,79.39,79.34,2.725950721001975,145,0.002,,0.006938181,,fx
22/10/1990,79.22,79.4,79,79.16,26757,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,98950,79.2,79.16,2.8124312139732677,146,0.002,,0.006938181,,fx
23/10/1990,78.3,78.8,78.06,78.1,31453,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,97625,78.15,78.1,2.79218504639845,147,0.002,,0.006938181,,fx
