Date,FinalForecast,Multiplier,CARRY_forecast,EWMA004_forecast,EWMA008_forecast,EWMA016_forecast,EWMA032_forecast,EWMA064_forecast
2017-06-26,3.3756632147266337,1.549596754630309,7.136023664492941,-2.176018665219405,4.692551419302665,2.61169644364247,-1.4276754252258226,-2.5124558297473607
2017-06-27,2.149819383250864,1.5495828759010077,7.592856276018332,-3.469908024496724,3.432622544697741,2.273270721747662,-1.4883337560957213,-2.5736941986511503
2017-06-28,1.494864962921355,1.555311209422871,7.347532528811754,-7.350153554561487,0.7774603292530472,1.2511301945874314,-1.626117651508182,-2.494995209776024
2017-06-29,-0.5431285492325888,1.5553929877277934,7.542197815291186,-8.908212416060746,-0.8584130431868854,0.5709937981767691,-1.8499558861628165,-2.61572587775434
2017-06-30,-1.587563194735797,1.5566594547290653,7.795935896421297,-7.216429864861845,-1.2463842678739263,0.2691110914770897,-1.9065618079320377,-2.633322426751383
2017-07-03,-1.2809940716874237,1.5566032996988257,8.015582699683119,-6.136977245135878,-1.554002968350828,0.0089291286295407,-2.0076464168378667,-2.717479431489971
2017-07-04,-1.1393512760911961,1.5566346281259285,8.4957056914779,-4.853225593993056,-1.5947766955132263,-0.1560388556582704,-2.0790123555030564,-2.790496509519828
2017-07-05,-0.7725673849238683,1.5566308421227286,9.236110926527406,-4.80655186741478,-1.956587638048436,-0.4357118799903564,-2.1909465995914985,-2.873035597387044
2017-07-06,-0.7853470542733578,1.5568265947484614,9.086243998173211,-6.028372787764903,-2.79246326358002,-0.9057503210243514,-2.3629645409652067,-2.960757639700913
2017-07-07,-1.5493876442670904,1.5587232130181665,8.400474829633168,-2.802011537853988,-1.8758170678765247,-0.7392394540152103,-2.201573906802442,-2.813004124507166
2017-07-10,-0.527676143419739,1.5587345688918723,9.13106601193542,-1.997584978753709,-1.649804349047437,-0.7758730010178223,-2.239990249241649,-2.87067380848574
2017-07-11,-0.1046557916046587,1.5586907752701682,9.939572714796354,-1.358123715872109,-1.4198365203379193,-0.7924863853788646,-2.281220012355287,-2.940006306019103
2017-07-12,0.2995155295140965,1.5655488540764928,8.506360005078909,4.123797802207895,0.955074061802173,0.0785085481808946,-1.6759592698358805,-2.4329497303406447
2017-07-13,2.5012234275748497,1.5706546678156303,8.05748124173778,10.194451516267236,3.950501775036276,1.2863381122630415,-1.0726920048286928,-2.074211143110764
2017-07-14,5.332759296232587,1.5729407654267185,8.27229948817417,11.00857999696684,5.296154475546929,1.9995792699494896,-0.7468649419790604,-1.9455791940444689
2017-07-17,6.2627461188156754,1.5732796298686351,8.477637381878417,10.468806983938103,6.069033783141711,2.555460225273436,-0.4959013356009704,-1.8800195931696992
2017-07-18,6.606940822889305,1.573392240078701,8.707665322486838,9.402207914839993,6.468200523364188,2.998015328637021,-0.275490699276451,-1.8260993621869528
2017-07-19,6.6835567488310375,1.5741758237962755,8.807387562240722,6.737278504268637,5.981379308692239,3.0989411595829512,-0.1503144422536395,-1.7780820935804886
2017-07-20,5.954350457521403,1.5740735831585508,8.100746037821544,5.264044547421338,5.712993135776391,3.258184332621043,-0.0222694320668778,-1.7545928008626792
2017-07-21,5.39680800430132,1.5750124693257923,8.06943366054254,1.9071913543000945,4.405800664169037,2.958024378524556,-0.0253957405948721,-1.7240863965163875
2017-07-24,4.09236351604382,1.5748978011875505,8.527698169921724,0.5452747920665606,3.694257915181393,2.846559686841509,-0.001081548522347,-1.7342247339664492
2017-07-25,3.6430475760420844,1.5749764176592616,8.802980011715839,1.7180619020224368,3.839901171509184,2.9848761607514525,0.1320392912885791,-1.6673225781269003
2017-07-26,4.1502066545361505,1.5749775966822415,10.051783060684302,2.040072273653995,3.877284097739684,3.124020755625409,0.2463348881396716,-1.6450883628236583
2017-07-27,4.647362901047597,1.575875238912002,9.576481386545542,-1.3824821225528838,2.238157237318718,2.498745272704863,0.142071612814003,-1.5762165213707522
2017-07-28,3.0210575506372948,1.5766485728059552,9.512865005451278,-5.38276835349632,0.1933891823485771,1.7067432991371274,-0.0754567403154484,-1.6190304178665669
2017-07-31,1.1403960711188652,1.5781327546146269,9.271384151581875,-4.209052542235147,-0.1027349186289683,1.451689916565113,-0.1073128884744843,-1.5700688428986025
2017-08-01,1.2479277256207986,1.581689229081899,8.800698024843006,-7.434128880153656,-2.023976421891009,0.4838068344034423,-0.368071434954103,-1.5014186342750817
2017-08-02,-0.5390065045902349,1.5829152005273648,8.707330692044927,-11.367939099136604,-4.367515860081082,-0.6052582089821422,-0.7507095941344293,-1.6105375626394896
2017-08-03,-2.6367000533522416,1.5828700913530005,8.952460169909102,-13.259765904685391,-6.181468902915167,-1.5642241232726315,-1.135069821526203,-1.7769322097538314
2017-08-04,-3.94887669939183,1.5832448340818288,8.928478292551516,-12.744582589377552,-7.082181856234724,-2.259175498937286,-1.444541889649769,-1.9134720596730013
2017-08-07,-4.357880270278302,1.5831988283509497,9.179935664784708,-12.007646264732047,-7.74227964935601,-2.8891061644881626,-1.7522611192526676,-2.062828257315986
2017-08-08,-4.556704153541813,1.5827214812351997,9.530017999638725,-12.535994784007874,-8.700413442895965,-3.643531076433632,-2.110941852749311,-2.2145210716999664
2017-08-09,-5.189937189311192,1.5826691247695255,9.565223608447088,-12.480975753174604,-9.465410857155051,-4.361297267924524,-2.486687597710902,-2.398505493803767
2017-08-10,-5.704642072746321,1.5825966814175958,9.834447376244148,-12.073385449180904,-10.018462167175192,-5.019008397422791,-2.8587982574225395,-2.587012598494129
2017-08-11,-5.986939623887378,1.580903562421662,9.855630394531488,-13.152431066678783,-10.936060630468456,-5.783146007448049,-3.257576947075782,-2.750678099928995
2017-08-14,-6.855187961554821,1.5804915891557285,10.107498967304917,-14.06814144946935,-11.99410827009546,-6.667855501985251,-3.745517587574878,-2.98839765478812
2017-08-15,-7.729643234340555,1.5798145366576157,10.34888127333948,-14.866239062668251,-13.03184905938538,-7.574867245410767,-4.261288884117239,-3.2407336547955228
2017-08-16,-8.576163225419485,1.5771724068398303,10.187558151243378,-16.282010410032626,-14.232044422745195,-8.529979696131752,-4.792648047039838,-3.480824342355586
2017-08-17,-9.744688907933137,1.5746893111650762,10.59312069838599,-17.902055851369344,-15.641596100843133,-9.617782894756791,-5.402803819722374,-3.76570518459284
2017-08-18,-10.9533044568446,1.5746245587573806,11.142081600007412,-17.796783465068852,-16.555053804499178,-10.612848786447593,-6.028560785550348,-4.0871098848135885
2017-08-21,-11.53026271445661,1.5745173447925418,11.437846780626948,-16.582900606340274,-16.930846032155905,-11.424374064485034,-6.610814486556032,-4.40203319515923
2017-08-22,-11.680889650482122,1.574487148447601,12.030239868788817,-14.951203258964552,-16.963409195948724,-12.10322945425614,-7.165571996347739,-4.717747223773731
2017-08-23,-11.469301956112453,1.5685973706376455,11.903708580861938,-10.553151845109747,-15.26152668885819,-11.870709767766364,-7.290839846416467,-4.805491171259805
2017-08-24,-9.865987995312167,1.562804561740858,11.76033290755595,-10.22456875830262,-14.789755468976706,-11.98267244129245,-7.521415926787037,-4.928016081703428
2017-08-25,-9.815358468111276,1.5627023602779315,12.089837508128712,-10.06176041998524,-14.841301431034964,-12.517111671588244,-8.033103420679474,-5.244105094791304
2017-08-28,-10.05541213155027,1.5627119912404062,12.42597335372708,-9.367104764397384,-14.677649916061377,-12.955819121849784,-8.521048453170923,-5.559647388387901
2017-08-29,-10.039110309307963,1.5582512006566014,11.898219160510717,-5.518224610575173,-12.685044862722556,-12.317700879205432,-8.435955407085869,-5.556586700262664
2017-08-30,-8.470614041481735,1.5582777006612833,12.516557472218278,-3.0800796186038712,-11.441202874566596,-12.217620727485652,-8.715556743873192,-5.8035735331108
2017-08-31,-7.463733750574976,1.5581107408624328,12.554562250035907,-2.053780513381494,-10.577048772479284,-12.184606717551825,-9.0122643073564,-6.060481348261875
2017-09-01,-7.097984355078295,1.5580778195973166,12.908281098062576,-1.4084770631312569,-9.847935384933104,-12.164196048229616,-9.31641117810147,-6.329218838167152
2017-09-04,-6.791826983730073,1.5578801225431744,12.806039272211873,-2.3601353067147226,-9.667794243295788,-12.214261894425032,-9.585118749384838,-6.555175111865931
2017-09-05,-7.157146433564353,1.5572303461170707,12.263280163517615,-6.339991522267386,-10.21772675714131,-11.848514144486062,-9.273543238412133,-6.318611246832186
2017-09-06,-8.235957974477461,1.5571319246840953,12.304794420754371,-8.683230863241759,-11.33195362510078,-12.538243548139809,-9.82553774648902,-6.680605428530252
2017-09-07,-9.53842199120667,1.5570909945410794,12.651218939985824,-9.744714605756092,-12.140634017660844,-13.169680954701017,-10.375134616158377,-7.052081862169844
2017-09-08,-10.335218246586528,1.5568594125932727,12.678892090451193,-10.369633826499763,-12.82718579024456,-13.783599143983691,-10.928968713225348,-7.431528018563347
2017-09-11,-11.024724730774077,1.5505206530227968,12.224340787617743,-6.56427052067679,-11.18311070137842,-12.973883481120827,-10.5968196907386,-7.276941438882662
2017-09-12,-9.398320762344328,1.5504223938597412,12.879648547163455,-4.764708576347438,-10.529513025972433,-13.035847849171333,-10.94539999629099,-7.589246382585956
2017-09-13,-8.778256141599352,1.5497846866298606,12.905458185092408,-2.791410123657291,-9.60062941853334,-12.921378776450185,-11.20719809492862,-7.8638689349271775
2017-09-14,-8.13250108635579,1.5500798758756162,13.486859101579364,-0.3845991350652015,-8.285646033521314,-12.56110548330796,-11.339730324940472,-8.076791925103938
2017-09-15,-7.0166840104940125,1.550019611654069,14.196393752208964,0.6776113788580367,-7.389343584752477,-12.370788639676586,-11.579831616009557,-8.36511177308559
2017-09-18,-6.414818526770599,1.5500302811276483,20.0,1.2803824990602866,-6.636453401282818,-12.19521602355564,-11.822906143399647,-8.662102920951257
2017-09-19,-4.667689248923738,1.5527653520916742,14.007269752669336,3.003196394175847,-5.345894636746885,-11.6557261054317,-11.829571360415764,-8.820748331430536
2017-09-20,-5.344262371830337,1.5534536818863638,14.326483611729405,4.825078015929123,-3.9572502410731247,-11.089338053023948,-11.864216024902383,-9.022730558411196
2017-09-21,-4.369725523476587,1.5622926309483172,12.7682899495036,1.8629314974074036,-4.05048854010346,-10.386645405543469,-11.293058268988492,-8.6758335613515
2017-09-22,-5.1537021059011305,1.5637177552214894,13.620454882979482,1.861476615708644,-3.635915908192101,-10.09128055535887,-11.330312904107869,-8.830762993989065
2017-09-25,-4.799585379650808,1.5645430285307749,13.838331467255328,0.3311109996479974,-3.881065647161555,-10.050673316473365,-11.4626915513976,-9.026918930636253
2017-09-26,-5.284317796497181,1.565576358425278,13.968744283839651,-2.313222401041364,-4.7274882262829845,-10.205088746054706,-11.60927423976477,-9.194590953942225
2017-09-27,-6.288735703296171,1.5669008399993856,13.768606068472732,-6.227647406782958,-6.253800790230049,-10.466126754192144,-11.597618616314948,-9.176886405159124
2017-09-28,-7.8255693113678575,1.5675449204445462,12.098071502502911,-3.2491938933207667,-5.073102197146548,-9.277400419221758,-10.558481368505486,-8.45856041955836
2017-09-29,-6.40686383320959,1.5678333296125522,12.691808317277715,-0.8805270549784948,-4.236923311122747,-9.023415108194602,-10.657318947406225,-8.668073695960931
2017-10-02,-5.44606397157252,1.5729121176932013,11.72378903732394,-3.674269476458977,-4.856530481188326,-8.524714736850896,-9.893574772171323,-8.060515844487261
2017-10-03,-6.105398423611554,1.573163255729821,11.550068864938398,-8.108253340015175,-6.601293394629336,-8.840842754249183,-9.750702764408516,-7.880203593645733
