Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast,_sharpe_results_forecast
2025-02-21,5.308134082290366,1.3553828278659508,3.18628854224852,10.80641384867741,7.654943148766561,-2.026346860250723,-2.026346860250723
2025-02-24,4.769778236110202,1.3554394138515748,3.275481513105561,9.545107761835514,7.791750490130244,-1.5759376185718703,-1.5759376185718703
2025-02-25,4.733114413422046,1.3553804384332238,3.346791839144609,7.435114375974867,7.386706064723499,-1.31716327484404,-1.31716327484404
2025-02-26,4.210922966389375,1.3553642051965098,3.3232475385911098,3.458402789984456,5.865490031266043,-1.417323465052153,-1.417323465052153
2025-02-27,2.6605305710924823,1.3556852751766422,3.0438883263510794,-3.0168693331182226,2.6462006436459884,-2.0153204196225163,-2.0153204196225163
2025-02-28,-0.3681387888263898,1.35602268545927,2.6441448672919794,-8.837904830390805,-0.5402897790553371,-2.996633591362169,-2.996633591362169
2025-03-03,-3.4510179567497423,1.3557523463582197,2.6792704554436786,-10.150884761960992,-2.2310015234685903,-3.6781182071735534,-3.6781182071735534
2025-03-04,-4.62422576825658,1.3553742367962531,2.715437999647909,-8.913811964919956,-2.857897311090403,-4.034861134560218,-4.034861134560218
2025-03-05,-4.63547481021603,1.3533447849040767,2.318657914125253,-1.564509799923519,-0.7300673183101385,-2.8783385459205157,-2.878338545920516
2025-03-06,-1.5517020605328318,1.3534025251605806,2.6815255057676866,1.5916341467214363,0.4768098349538704,-2.4745595640419773,-2.4745595640419773
2025-03-07,-0.05391205284927695,1.353556367858906,2.4144158220861827,1.6913875901890765,0.7534060362995045,-2.318117025655227,-2.318117025655227
2025-03-10,0.060371253682742966,1.353764909120898,2.705164766171903,-0.6144606557369662,0.0223028270424096,-2.4877876129868564,-2.4877876129868564
2025-03-11,-0.7749762188214169,1.3536379585000082,2.704884831524079,0.3174416844916077,0.3475985557905539,-2.3055332297394164,-2.3055332297394164
2025-03-12,-0.336009787338022,1.3536321916075684,2.468449296999433,1.5399544267932208,0.8880234769475829,-2.083393361995041,-2.083393361995041
2025-03-13,0.19755110575059937,1.353756487239436,2.8049946035285886,0.4640931527910908,0.6030552034981723,-2.113303544534121,-2.113303544534121
2025-03-14,-0.09596899875117158,1.3537194716165475,2.799003132871296,2.055937113931879,1.2655087437162436,-1.770560978116427,-1.770560978116427
2025-03-17,0.6984375694649037,1.3539143353686627,20.0,6.317912938226799,3.119600339709822,-0.8202747031024519,-0.8202747031024519
2025-03-18,7.527182633617412,1.353957696306578,2.875184999119808,6.733734157628975,3.848324718185753,-0.3563889953070502,-0.3563889953070502
2025-03-19,3.451140694961177,1.3539761988798324,3.2841848716047246,6.645210556965997,4.3686177231400505,0.0282187590497549,0.0282187590497549
2025-03-20,3.886517017806283,1.3537672416751738,2.82384845520646,2.8296488100902177,3.18006497032965,-0.1302890158385136,-0.1302890158385136
2025-03-21,2.321069376912874,1.3537114508175758,2.860748650382642,-0.6427685852796262,1.827718404125027,-0.4921747824089266,-0.4921747824089266
2025-03-24,0.828860527115318,1.3537505083482295,2.9365136967494667,-2.051346280177407,0.9984136762637768,-0.7444418028638786,-0.7444418028638786
