Date,FinalForecast,Multiplier,CARRY_forecast
2017-09-22,-19.790768415542203,1.0,-19.93235718824392
2017-09-25,-19.93235718824392,1.0,-18.49458913583089
2017-09-26,-18.49458913583089,1.0,-19.343823354872114
2017-09-27,-19.343823354872114,1.0,-20.0
2017-09-28,-20.0,1.0,-20.0
2017-09-29,-20.0,1.0,-20.0
2017-10-02,-20.0,1.0,-20.0
2017-10-03,-20.0,1.0,-20.0
2017-10-04,-20.0,1.0,-20.0
2017-10-05,-20.0,1.0,-20.0
2017-10-06,-20.0,1.0,-20.0
2017-10-09,-20.0,1.0,-20.0
2017-10-10,-20.0,1.0,-20.0
2017-10-11,-20.0,1.0,-20.0
2017-10-12,-20.0,1.0,-20.0
2017-10-13,-20.0,1.0,-20.0
2017-10-16,-20.0,1.0,-20.0
2017-10-17,-20.0,1.0,-20.0
2017-10-18,-20.0,1.0,-20.0
2017-10-19,-20.0,1.0,-20.0
2017-10-20,-20.0,1.0,-20.0
2017-10-23,-20.0,1.0,-20.0
2017-10-24,-20.0,1.0,-20.0
2017-10-25,-20.0,1.0,-20.0
2017-10-26,-20.0,1.0,-20.0
2017-10-27,-20.0,1.0,-20.0
2017-10-30,-20.0,1.0,-20.0
2017-10-31,-20.0,1.0,-20.0
2017-11-01,-20.0,1.0,-20.0
2017-11-02,-20.0,1.0,-20.0
2017-11-03,-20.0,1.0,-20.0
2017-11-06,-20.0,1.0,-20.0
2017-11-07,-20.0,1.0,-20.0
2017-11-08,-20.0,1.0,-20.0
2017-11-09,-20.0,1.0,-20.0
2017-11-10,-20.0,1.0,-20.0
2017-11-13,-20.0,1.0,-20.0
2017-11-14,-20.0,1.0,-20.0
2017-11-15,-20.0,1.0,-20.0
2017-11-16,-20.0,1.0,-20.0
2017-11-17,-20.0,1.0,-20.0
2017-11-20,-20.0,1.0,-20.0
2017-11-21,-20.0,1.0,-20.0
2017-11-22,-20.0,1.0,-20.0
2017-11-23,-20.0,1.0,-20.0
2017-11-24,-20.0,1.0,-20.0
2017-11-27,-20.0,1.0,-20.0
2017-11-28,-20.0,1.0,-20.0
2017-11-29,-20.0,1.0,-20.0
2017-11-30,-20.0,1.0,-19.912000085906183
2017-12-01,-19.912000085906183,1.0,-13.290781196619172
2017-12-04,-13.290781196619172,1.0,-16.25816542553177
2017-12-05,-16.25816542553177,1.0,-17.14930722006836
2017-12-06,-17.14930722006836,1.0,-14.121858888409047
2017-12-07,-14.121858888409047,1.0,-1.1146593987504023
2017-12-08,-1.1146593987504023,1.0,-20.0
2017-12-11,-20.0,1.0,-20.0
2017-12-12,-20.0,1.0,-20.0
2017-12-13,-20.0,1.0,-20.0
2017-12-14,-20.0,1.0,-20.0
2017-12-15,-20.0,1.0,-20.0
2017-12-18,-20.0,1.0,-20.0
2017-12-19,-20.0,1.0,-20.0
2017-12-20,-20.0,1.0,-20.0
2017-12-21,-20.0,1.0,-20.0
2017-12-22,-20.0,1.0,-20.0
2017-12-25,-20.0,1.0,-20.0
2017-12-26,-20.0,1.0,-20.0
2017-12-27,-20.0,1.0,-20.0
2017-12-28,-20.0,1.0,-20.0
2017-12-29,-20.0,1.0,-20.0
2018-01-01,-20.0,1.0,-20.0
2018-01-02,-20.0,1.0,-20.0
2018-01-03,-20.0,1.0,-20.0
2018-01-04,-20.0,1.0,-20.0
2018-01-05,-20.0,1.0,-20.0
2018-01-08,-20.0,1.0,-20.0
2018-01-09,-20.0,1.0,-20.0
2018-01-10,-20.0,1.0,-20.0
2018-01-11,-20.0,1.0,-20.0
2018-01-12,-20.0,1.0,-20.0
2018-01-15,-20.0,1.0,-20.0
2018-01-16,-20.0,1.0,-20.0
2018-01-17,-20.0,1.0,-20.0
2018-01-18,-20.0,1.0,-20.0
2018-01-19,-20.0,1.0,-20.0
2018-01-22,-20.0,1.0,-20.0
2018-01-23,-20.0,1.0,-20.0
2018-01-24,-20.0,1.0,-20.0
2018-01-25,-20.0,1.0,-20.0
2018-01-26,-20.0,1.0,-20.0
2018-01-29,-20.0,1.0,-20.0
2018-01-30,-20.0,1.0,-20.0
2018-01-31,-20.0,1.0,-20.0
2018-02-01,-20.0,1.0,-20.0
2018-02-02,-20.0,1.0,-20.0
2018-02-05,-20.0,1.0,-20.0
2018-02-06,-20.0,1.0,-20.0
2018-02-07,-20.0,1.0,-20.0
2018-02-08,-20.0,1.0,-20.0
2018-02-09,-20.0,1.0,-20.0
2018-02-12,-20.0,1.0,-20.0
2018-02-13,-20.0,1.0,-20.0
2018-02-14,-20.0,1.0,-20.0
2018-02-15,-20.0,1.0,-20.0
2018-02-16,-20.0,1.0,-20.0
2018-02-19,-20.0,1.0,-20.0
2018-02-20,-20.0,1.0,-20.0
2018-02-21,-20.0,1.0,-20.0
2018-02-22,-20.0,1.0,-20.0
2018-02-23,-20.0,1.0,-20.0
2018-02-26,-20.0,1.0,-20.0
2018-02-27,-20.0,1.0,-20.0
2018-02-28,-20.0,1.0,-20.0
2018-03-01,-20.0,1.0,-20.0
2018-03-02,-20.0,1.0,-20.0
2018-03-05,-20.0,1.0,-20.0
2018-03-06,-20.0,1.0,-20.0
2018-03-07,-20.0,1.0,-20.0
2018-03-08,-20.0,1.0,-20.0
2018-03-09,-20.0,1.0,-15.02026707008853
2018-03-12,-15.02026707008853,1.0,-15.00967640298772
2018-03-13,-15.00967640298772,1.0,-12.526981816476244
2018-03-14,-12.526981816476244,1.0,-11.229993067088715
2018-03-15,-11.229993067088715,1.0,-10.76960609574756
2018-03-16,-10.76960609574756,1.0,-11.070880625364746
2018-03-19,-11.070880625364746,1.0,-10.988841155039283
2018-03-20,-10.988841155039283,1.0,-11.27016921999235
2018-03-21,-11.27016921999235,1.0,-11.140898396967296
2018-03-22,-11.140898396967296,1.0,-7.668921021843193
2018-03-23,-7.668921021843193,1.0,-7.879694752863051
2018-03-26,-7.879694752863051,1.0,-7.694190173106856
2018-03-27,-7.694190173106856,1.0,-7.432945196692525
2018-03-28,-7.432945196692525,1.0,-6.789033043411791
2018-03-29,-6.789033043411791,1.0,-6.980310835460954
2018-03-30,-6.980310835460954,1.0,-7.17697778874961
2018-04-02,-7.17697778874961,1.0,-8.288042358342103
2018-04-03,-8.288042358342103,1.0,-8.03190905453029
2018-04-04,-8.03190905453029,1.0,-8.712318180611243
2018-04-05,-8.712318180611243,1.0,-11.744165708948517
2018-04-06,-11.744165708948517,1.0,-10.35496759878358
2018-04-09,-10.35496759878358,1.0,-9.580299322462832
2018-04-10,-9.580299322462832,1.0,-8.735363492859983
2018-04-11,-8.735363492859983,1.0,-8.722137941603053
2018-04-12,-8.722137941603053,1.0,-8.90969642972364
2018-04-13,-8.90969642972364,1.0,-10.23448934225804
2018-04-16,-10.23448934225804,1.0,-11.01176994853294
2018-04-17,-11.01176994853294,1.0,-11.815371121089838
2018-04-18,-11.815371121089838,1.0,-11.399759473515688
2018-04-19,-11.399759473515688,1.0,-11.895442103502049
2018-04-20,-11.895442103502049,1.0,-12.759273833489132
2018-04-23,-12.759273833489132,1.0,-15.046086658588337
2018-04-24,-15.046086658588337,1.0,-16.018326962249954
2018-04-25,-16.018326962249954,1.0,-16.465100193153923
2018-04-26,-16.465100193153923,1.0,-14.299157674121616
2018-04-27,-14.299157674121616,1.0,-13.295919530918326
2018-04-30,-13.295919530918326,1.0,-13.67052576937306
2018-05-01,-13.67052576937306,1.0,-14.039243238830895
2018-05-02,-14.039243238830895,1.0,-14.37247543008994
2018-05-03,-14.37247543008994,1.0,-11.328204246793318
2018-05-04,-11.328204246793318,1.0,-12.158619868722983
2018-05-07,-12.158619868722983,1.0,-11.1990680359943
2018-05-08,-11.1990680359943,1.0,-12.229377828449389
2018-05-09,-12.229377828449389,1.0,-12.573934759341157
2018-05-10,-12.573934759341157,1.0,-11.584049741105124
2018-05-11,-11.584049741105124,1.0,-11.791300829573814
2018-05-14,-11.791300829573814,1.0,-12.135752942349766
2018-05-15,-12.135752942349766,1.0,-13.308609989328822
2018-05-16,-13.308609989328822,1.0,-12.673020315687952
2018-05-17,-12.673020315687952,1.0,-15.129303306957398
2018-05-18,-15.129303306957398,1.0,-12.33457583099038
2018-05-21,-12.33457583099038,1.0,-10.4886414574697
2018-05-22,-10.4886414574697,1.0,-10.595707382990664
2018-05-23,-10.595707382990664,1.0,-7.84466464615473
2018-05-24,-7.84466464615473,1.0,-6.372971363172381
2018-05-25,-6.372971363172381,1.0,-5.11795289976011
2018-05-28,-5.11795289976011,1.0,-3.490168102048418
2018-05-29,-3.490168102048418,1.0,-2.0800612004440437
2018-05-30,-2.0800612004440437,1.0,-4.852530867339196
2018-05-31,-4.852530867339196,1.0,-2.491315715582645
2018-06-01,-2.491315715582645,1.0,-2.862412044822743
2018-06-04,-2.862412044822743,1.0,-3.264881300038375
2018-06-05,-3.264881300038375,1.0,-0.4073522461610676
2018-06-06,-0.4073522461610676,1.0,-2.962985652229055
2018-06-07,-2.962985652229055,1.0,2.57758336295087
2018-06-08,2.57758336295087,1.0,-20.0
2018-06-11,-20.0,1.0,-20.0
2018-06-12,-20.0,1.0,-20.0
2018-06-13,-20.0,1.0,-20.0
2018-06-14,-20.0,1.0,-20.0
2018-06-15,-20.0,1.0,-20.0
2018-06-18,-20.0,1.0,-20.0
2018-06-19,-20.0,1.0,-20.0
2018-06-20,-20.0,1.0,-20.0
2018-06-21,-20.0,1.0,-20.0
2018-06-22,-20.0,1.0,-20.0
2018-06-25,-20.0,1.0,-20.0
2018-06-26,-20.0,1.0,-20.0
2018-06-27,-20.0,1.0,-20.0
2018-06-28,-20.0,1.0,-20.0
2018-06-29,-20.0,1.0,-20.0
2018-07-02,-20.0,1.0,-20.0
2018-07-03,-20.0,1.0,-20.0
2018-07-04,-20.0,1.0,-20.0
2018-07-05,-20.0,1.0,-20.0
2018-07-06,-20.0,1.0,-20.0
2018-07-09,-20.0,1.0,-20.0
2018-07-10,-20.0,1.0,-20.0
2018-07-11,-20.0,1.0,-20.0
2018-07-12,-20.0,1.0,-20.0
2018-07-13,-20.0,1.0,-20.0
2018-07-16,-20.0,1.0,-20.0
2018-07-17,-20.0,1.0,-20.0
2018-07-18,-20.0,1.0,-20.0
2018-07-19,-20.0,1.0,-20.0
2018-07-20,-20.0,1.0,-20.0
2018-07-23,-20.0,1.0,-20.0
2018-07-24,-20.0,1.0,-20.0
2018-07-25,-20.0,1.0,-20.0
2018-07-26,-20.0,1.0,-20.0
2018-07-27,-20.0,1.0,-20.0
2018-07-30,-20.0,1.0,-20.0
2018-07-31,-20.0,1.0,-20.0
2018-08-01,-20.0,1.0,-20.0
2018-08-02,-20.0,1.0,-20.0
2018-08-03,-20.0,1.0,-20.0
2018-08-06,-20.0,1.0,-20.0
2018-08-07,-20.0,1.0,-20.0
2018-08-08,-20.0,1.0,-20.0
2018-08-09,-20.0,1.0,-20.0
2018-08-10,-20.0,1.0,-20.0
2018-08-13,-20.0,1.0,-20.0
2018-08-14,-20.0,1.0,-20.0
2018-08-15,-20.0,1.0,-20.0
2018-08-16,-20.0,1.0,-20.0
2018-08-17,-20.0,1.0,-20.0
2018-08-20,-20.0,1.0,-20.0
2018-08-21,-20.0,1.0,-20.0
2018-08-22,-20.0,1.0,-20.0
2018-08-23,-20.0,1.0,-20.0
2018-08-24,-20.0,1.0,-20.0
2018-08-27,-20.0,1.0,-20.0
2018-08-28,-20.0,1.0,-20.0
2018-08-29,-20.0,1.0,-20.0
2018-08-30,-20.0,1.0,-20.0
2018-08-31,-20.0,1.0,-20.0
2018-09-03,-20.0,1.0,-20.0
2018-09-04,-20.0,1.0,-20.0
2018-09-05,-20.0,1.0,-20.0
2018-09-06,-20.0,1.0,-20.0
2018-09-07,-20.0,1.0,20.0
2018-09-10,20.0,1.0,20.0
2018-09-11,20.0,1.0,20.0
2018-09-12,20.0,1.0,20.0
2018-09-13,20.0,1.0,20.0
2018-09-14,20.0,1.0,20.0
2018-09-17,20.0,1.0,20.0
2018-09-18,20.0,1.0,20.0
2018-09-19,20.0,1.0,20.0
2018-09-20,20.0,1.0,20.0
2018-09-21,20.0,1.0,20.0
2018-09-24,20.0,1.0,20.0
2018-09-25,20.0,1.0,20.0
2018-09-26,20.0,1.0,20.0
2018-09-27,20.0,1.0,20.0
2018-09-28,20.0,1.0,20.0
2018-10-01,20.0,1.0,20.0
2018-10-02,20.0,1.0,20.0
2018-10-03,20.0,1.0,20.0
2018-10-04,20.0,1.0,20.0
2018-10-05,20.0,1.0,20.0
2018-10-08,20.0,1.0,20.0
2018-10-09,20.0,1.0,20.0
2018-10-10,20.0,1.0,20.0
2018-10-11,20.0,1.0,20.0
2018-10-12,20.0,1.0,20.0
2018-10-15,20.0,1.0,20.0
2018-10-16,20.0,1.0,20.0
2018-10-17,20.0,1.0,20.0
2018-10-18,20.0,1.0,20.0
2018-10-19,20.0,1.0,20.0
2018-10-22,20.0,1.0,20.0
2018-10-23,20.0,1.0,20.0
2018-10-24,20.0,1.0,20.0
2018-10-25,20.0,1.0,20.0
2018-10-26,20.0,1.0,20.0
2018-10-29,20.0,1.0,20.0
2018-10-30,20.0,1.0,20.0
2018-10-31,20.0,1.0,20.0
2018-11-01,20.0,1.0,20.0
2018-11-02,20.0,1.0,20.0
2018-11-05,20.0,1.0,20.0
2018-11-06,20.0,1.0,20.0
2018-11-07,20.0,1.0,20.0
2018-11-08,20.0,1.0,20.0
2018-11-09,20.0,1.0,20.0
2018-11-12,20.0,1.0,20.0
2018-11-13,20.0,1.0,20.0
2018-11-14,20.0,1.0,20.0
2018-11-15,20.0,1.0,20.0
2018-11-16,20.0,1.0,20.0
2018-11-19,20.0,1.0,20.0
2018-11-20,20.0,1.0,20.0
2018-11-21,20.0,1.0,20.0
2018-11-22,20.0,1.0,20.0
2018-11-23,20.0,1.0,20.0
2018-11-26,20.0,1.0,20.0
2018-11-27,20.0,1.0,20.0
2018-11-28,20.0,1.0,20.0
2018-11-29,20.0,1.0,20.0
2018-11-30,20.0,1.0,20.0
2018-12-03,20.0,1.0,20.0
2018-12-04,20.0,1.0,20.0
2018-12-05,20.0,1.0,20.0
2018-12-06,20.0,1.0,20.0
2018-12-07,20.0,1.0,-20.0
2018-12-10,-20.0,1.0,-20.0
2018-12-11,-20.0,1.0,-20.0
2018-12-12,-20.0,1.0,-20.0
2018-12-13,-20.0,1.0,-20.0
2018-12-14,-20.0,1.0,-20.0
2018-12-17,-20.0,1.0,-20.0
2018-12-18,-20.0,1.0,-20.0
2018-12-19,-20.0,1.0,-20.0
2018-12-20,-20.0,1.0,-20.0
2018-12-21,-20.0,1.0,-20.0
2018-12-24,-20.0,1.0,-20.0
2018-12-25,-20.0,1.0,-20.0
2018-12-26,-20.0,1.0,-20.0
2018-12-27,-20.0,1.0,-20.0
2018-12-28,-20.0,1.0,-20.0
2018-12-31,-20.0,1.0,-20.0
2019-01-01,-20.0,1.0,-20.0
2019-01-02,-20.0,1.0,-20.0
2019-01-03,-20.0,1.0,-20.0
2019-01-04,-20.0,1.0,-20.0
2019-01-07,-20.0,1.0,-20.0
2019-01-08,-20.0,1.0,-20.0
2019-01-09,-20.0,1.0,-20.0
2019-01-10,-20.0,1.0,-20.0
2019-01-11,-20.0,1.0,-20.0
2019-01-14,-20.0,1.0,-20.0
2019-01-15,-20.0,1.0,-20.0
2019-01-16,-20.0,1.0,-20.0
2019-01-17,-20.0,1.0,-20.0
2019-01-18,-20.0,1.0,-20.0
2019-01-21,-20.0,1.0,-20.0
2019-01-22,-20.0,1.0,-20.0
2019-01-23,-20.0,1.0,-20.0
2019-01-24,-20.0,1.0,-20.0
2019-01-25,-20.0,1.0,-20.0
2019-01-28,-20.0,1.0,-20.0
2019-01-29,-20.0,1.0,-20.0
2019-01-30,-20.0,1.0,-20.0
2019-01-31,-20.0,1.0,-20.0
2019-02-01,-20.0,1.0,-20.0
2019-02-04,-20.0,1.0,-20.0
2019-02-05,-20.0,1.0,-20.0
2019-02-06,-20.0,1.0,-20.0
2019-02-07,-20.0,1.0,-20.0
2019-02-08,-20.0,1.0,-20.0
2019-02-11,-20.0,1.0,-20.0
2019-02-12,-20.0,1.0,-20.0
2019-02-13,-20.0,1.0,-20.0
2019-02-14,-20.0,1.0,-20.0
2019-02-15,-20.0,1.0,-20.0
2019-02-18,-20.0,1.0,-20.0
2019-02-19,-20.0,1.0,-20.0
2019-02-20,-20.0,1.0,-20.0
2019-02-21,-20.0,1.0,-20.0
2019-02-22,-20.0,1.0,-20.0
2019-02-25,-20.0,1.0,-20.0
2019-02-26,-20.0,1.0,-20.0
2019-02-27,-20.0,1.0,-20.0
2019-02-28,-20.0,1.0,-20.0
2019-03-01,-20.0,1.0,-20.0
2019-03-04,-20.0,1.0,-20.0
2019-03-05,-20.0,1.0,-20.0
2019-03-06,-20.0,1.0,-20.0
2019-03-07,-20.0,1.0,-20.0
2019-03-08,-20.0,1.0,20.0
2019-03-11,20.0,1.0,20.0
2019-03-12,20.0,1.0,20.0
2019-03-13,20.0,1.0,20.0
2019-03-14,20.0,1.0,20.0
2019-03-15,20.0,1.0,20.0
2019-03-18,20.0,1.0,20.0
2019-03-19,20.0,1.0,20.0
2019-03-20,20.0,1.0,20.0
2019-03-21,20.0,1.0,20.0
2019-03-22,20.0,1.0,20.0
2019-03-25,20.0,1.0,20.0
