date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2014-02-22,-0.09760043892780385,0.3499866454892385
2014-03-01,0.3356323310924157,0.3981531308980782
2014-03-08,0.46169066620423554,0.39054904319737216
2014-03-15,0.46896628521466815,0.3861293799854015
2014-03-22,0.4501398382537599,0.36912305107793053
2014-03-29,0.5826477526785961,0.4209635710307346
2014-04-05,0.6057426058341145,0.39561639308979685
2014-04-12,0.6037068601207689,0.3442028547867074
2014-04-19,0.6023511015913926,0.2788536792193933
2014-04-26,0.6010783409338358,0.2677306605764772
2014-05-03,0.5931082255766771,0.24978926845141708
2014-05-10,0.590465667273599,0.23508457331786345
2014-05-17,0.6031614650795193,0.2502585810205927
2014-05-24,0.6243577079395942,0.2567644029915259
2014-05-31,0.6507747977429619,0.23239765690553255
2014-06-07,0.6936702485465825,0.25094724936131146
2014-06-14,0.6946390298939467,0.2291975232065023
2014-06-21,0.6729630600309342,0.2302445326459724
2014-06-28,0.6414831398052231,0.22465274106145972
2014-07-05,0.643507519393865,0.23498662932392858
2014-07-12,0.7045808815817857,0.2344289270673273
2014-07-19,0.7612319599269773,0.32604724293188314
2014-07-26,0.7653699766604075,0.33567982503689864
2014-08-02,0.8165461795342576,0.3468379179235652
2014-08-09,0.8287869871299346,0.3740276525180688
2014-08-16,0.8354966886780828,0.47052533009947484
2014-08-23,0.8506351115317334,0.5409640298780617
2014-08-30,0.830654068118974,0.6162503933422877
2014-09-06,0.8638303970266801,0.6667028423272457
2014-09-13,0.8769132721499595,0.6836274685050989
2014-09-20,0.8862273028859107,0.6962627950202466
2014-09-27,0.8969729243816191,0.7409811032242937
2014-10-04,0.8956910056830856,0.7538214168945804
2014-10-11,0.9131476062344489,0.7764737091186291
2014-10-18,0.9302759387385906,0.7900098096786954
2014-10-25,0.9306287512731478,0.7902153600516929
2014-11-01,0.930648179950563,0.789101919072477
2014-11-08,0.948501892152312,0.799512302767416
2014-11-15,0.948770528908395,0.8051587762765964
2014-11-22,0.9481962082300063,0.8112168973675794
2014-11-29,0.9579567928454203,0.843977729973893
2014-12-06,0.9633946570661068,0.8728558490403064
2014-12-13,0.9659115745431797,0.8791418358425324
2014-12-20,0.9790069037425608,0.8802076412034874
2014-12-27,0.9977970213188955,0.882524620215059
2015-01-03,0.9978573164574053,0.8867918759574089
2015-01-10,0.9980771231300832,0.9180327740592362
2015-01-17,0.9979450357028858,0.9194310700681391
2015-01-24,0.9979585419070742,0.9214049385371329
2015-01-31,0.9990613763384736,0.9432237134593054
2015-02-07,0.9996091632445749,0.9433736044346048
2015-02-14,0.9996102813926171,0.945105047241534
2015-02-21,0.9996054495932446,0.9482629760670879
2015-02-28,0.9996003413218602,0.9457085931234288
2015-03-07,0.9996099084867993,0.9581237630630697
2015-03-14,1.0000000000000004,0.9601693974639149
2015-03-21,1.0000000000000004,0.9609884120375132
2015-03-28,1.0000000000000004,0.9601006163182741
2015-04-04,1.0000000000000004,0.9634939097766808
2015-04-11,1.0000000000000007,0.9641018691096876
2015-04-18,1.0000000000000004,0.9691980924388222
2015-04-25,1.0000000000000004,0.9692739476591148
2015-05-02,0.9991277433030036,0.9688986461905099
2015-05-09,0.9910428815620634,0.9710180597092088
2015-05-16,0.974721343582813,0.9619837053397998
2015-05-23,0.9734557059885813,0.96139162303588
2015-05-30,0.966259475700988,0.9612572919750889
2015-06-06,0.96469170809719,0.9635185123658249
2015-06-13,0.9382630578541111,0.9542505357704186
2015-06-20,0.8968252464057914,0.9442507211997633
2015-06-27,0.8859444055645315,0.949545939588735
2015-07-04,0.5686305149013674,0.8062472956628998
2015-07-11,0.41447968793982354,0.7625304357075517
2015-07-18,0.3894392512782709,0.748277210998395
2015-07-25,0.3696211932743343,0.7463189575344334
2015-08-01,0.33987583264872756,0.7411819797780136
2015-08-08,0.598985780845896,0.793565994400597
2015-08-15,0.6018606929778624,0.7945423028185076
2015-08-22,0.6281763008883146,0.8014241047748203
2015-08-29,0.6363663730417728,0.8023920717473197
2015-09-05,0.6190345441000044,0.8016233285964938
2015-09-12,0.6182044329336489,0.8014076200540907
2015-09-19,0.6167617195925834,0.798712299916746
2015-09-26,0.647009050586443,0.7974420044773495
2015-10-03,0.627103793569962,0.795615436061378
2015-10-10,0.6667622612211442,0.8014628780513361
2015-10-17,0.6600468297478865,0.7955285536146142
2015-10-24,0.6620588568536713,0.7960386557666126
2015-10-31,0.6848734716795079,0.8060385853342129
2015-11-07,0.7002900006692335,0.808727404887443
