date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2014-08-23,0.4688839791473382,0.5027031635979398
2014-08-30,0.2726629434036014,0.47662029656766447
2014-09-06,0.20883111432077284,0.49354968860446385
2014-09-13,0.29778318201618087,0.5148352016545932
2014-09-20,0.2427496205476237,0.4872641471712932
2014-09-27,0.10304285039220872,0.389101411142101
2014-10-04,0.13679809024280473,0.33979279197174467
2014-10-11,-0.018144811134381215,0.2646416692492938
2014-10-18,-0.12422407052083184,0.21609583767671486
2014-10-25,-0.12459222525915978,0.21604235269829206
2014-11-01,-0.12599253304623415,0.22902634320294976
2014-11-08,-0.0342272839712664,0.27367956481685857
2014-11-15,-0.09005307355576268,0.2508817733973874
2014-11-22,-0.100302190716197,0.23192420309301726
2014-11-29,-0.10639434635174905,0.1997503132240673
2014-12-06,0.01966882584543529,0.3058804615255038
2014-12-13,-0.003399656306017638,0.2846101120918176
2014-12-20,-0.033546123012225586,0.2668418916139145
2014-12-27,-0.017511263323164918,0.25738658561636585
2015-01-03,0.04201553772052316,0.2768460212713083
2015-01-10,0.145588854003303,0.2810228434448325
2015-01-17,0.08932866980189416,0.29986477221234836
2015-01-24,0.12346815732743462,0.3172216917138705
2015-01-31,0.17919515441972145,0.2938881370273187
2015-02-07,0.19022667773591398,0.2956437024826344
2015-02-14,0.21147531053330815,0.3115779224081905
2015-02-21,0.22576120661836094,0.30580057213884143
2015-02-28,0.2372386552968643,0.24734795412926236
2015-03-07,0.15620850085822893,0.17313402109215678
2015-03-14,0.1723942430714907,0.2131435142469199
2015-03-21,0.1878488125311673,0.21386143653560832
2015-03-28,0.3190882950893056,0.2644468949834905
2015-04-04,0.39171942299745305,0.31839345574669603
2015-04-11,0.49656956379783107,0.33533520444470427
2015-04-18,0.5973595363519206,0.3472642188620176
2015-04-25,0.5883543305604341,0.3429609501779954
2015-05-02,0.5941647609648332,0.346210194701365
2015-05-09,0.581051941642104,0.3495821388991563
2015-05-16,0.541744450771753,0.30309531180918003
2015-05-23,0.5247281396828918,0.28987932948663736
2015-05-30,0.5685139748301875,0.29082543406576133
2015-06-06,0.5413290298899991,0.2939122732633533
2015-06-13,0.5771489064618859,0.3053035819475327
2015-06-20,0.6068924545847877,0.3172538515455808
2015-06-27,0.6107308529382539,0.32893465098027097
2015-07-04,0.5974070427147826,0.34448065497705344
2015-07-11,0.4741882384715535,0.3039945108990609
2015-07-18,0.4417431905621834,0.2611759523547236
2015-07-25,0.4179055996618458,0.2597221877861795
2015-08-01,0.3004466131213009,0.23316122179087742
2015-08-08,-0.2650363106649005,-0.10386915037449129
2015-08-15,-0.2927447536461064,-0.10597726374941081
2015-08-22,-0.2647054505758038,-0.08853181402566766
2015-08-29,-0.2565906258233844,-0.08521480218736308
2015-09-05,-0.20032525604088305,-0.08019870793232647
2015-09-12,-0.25945406537874366,-0.10804998107526294
2015-09-19,-0.25870716517756986,-0.1074418438024567
2015-09-26,-0.177605843083212,-0.027817165838417732
2015-10-03,-0.2678496739939765,-0.03043203673216219
2015-10-10,-0.15690944914408347,0.06895058864061057
2015-10-17,-0.1955948546371534,0.09902722853448713
2015-10-24,-0.19763179212442963,0.09287286562148134
2015-10-31,-0.2672697756504117,0.03681093461321657
2015-11-07,-0.3666580874241562,-0.05164114365068875
2015-11-14,-0.36175407178565444,-0.044566438450144276
2015-11-21,-0.33214874819051743,-0.030732332718665618
2015-11-28,-0.36190864253918986,-0.07729399428827283
2015-12-05,-0.36861270327446727,-0.101800890546162
2015-12-12,-0.3984546248621912,-0.10112307239991704
2015-12-19,-0.43730523228616913,-0.10045549721978476
2015-12-26,-0.5295677904851904,-0.22209421609440377
2016-01-02,-0.504733950237419,-0.20541053430811107
2016-01-09,-0.4864817796501212,-0.2270257587560385
2016-01-16,-0.4852752271118198,-0.2459860657218432
2016-01-23,-0.3268977339385883,-0.15941952872166468
2016-01-30,-0.30653638067442307,-0.16572274686579616
2016-02-06,-0.0875435907242551,-0.1629751444265837
2016-02-13,-0.10299274605935865,-0.18296376502007072
2016-02-20,-0.11137840175223923,-0.17944917490871948
2016-02-27,-0.11390933627372515,-0.17816312630723394
2016-03-05,-0.11439323594941352,-0.1577391567361568
2016-03-12,-0.10793686916369259,-0.18043999773195457
