date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2016-02-13,dax,1.0,0.6818181818181818,1,0.08818154230324772,0.0133414287312061,0.0011764677620466153,0.03620898623718944
2016-02-13,sx5e,1.0,0.6123388581952116,1,0.0463065840460437,0.0202399818881593,0.000937244422394451,0.04572379195703626
2016-02-20,spx,1.0,0.6979166666666666,1,0.16020210316105732,0.0266625599958933,0.004271398186999979,0.16020210316105732
2016-02-20,ndx,1.0,0.6979166666666666,1,0.1281004539076714,0.022046359210694,0.0028241486219014737,0.014989077338851992
2016-02-20,dax,1.0,0.999999,1,0.17724997266070328,0.0326774095214068,0.00579206994429196,0.08906843035745556
2016-02-20,sx5e,1.0,0.6979166666666666,1,0.10850556113997775,0.0369355036938918,0.004007707554293451,0.06219897709393405
2016-02-27,spx,1.0,0.7009803921568627,1,0.21801100645932076,0.0111000555002775,0.0024199342713698167,0.05780890329826344
2016-02-27,ndx,1.0,0.7009803921568627,1,0.2153936614294668,0.0075837375837375,0.0016334890054814778,0.0872932075217954
2016-02-27,dax,1.0,0.7009803921568627,1,0.12528792610516437,0.000708456795841,8.876108268602873e-05,0.051962046555538904
2016-02-27,sx5e,1.0,0.7009803921568627,1,0.1322738941771119,0.012000592621858,0.001587365118526275,0.02376833303713416
2016-03-05,spx,1.0,0.7156862745098039,1,0.3088416505881587,0.0135447213169879,0.004183174088295162,0.09083064412883796
2016-03-05,ndx,1.0,0.7156862745098039,1,0.2667561873761059,0.0112338169988284,0.0029966901922883525,0.05136252594663909
2016-03-05,dax,1.0,0.7156862745098039,1,0.2388978347246075,0.0121725579867217,0.0029079977460875414,0.11360990861944312
2016-03-05,sx5e,0.0,0.999999,1,0.33772533091489365,-0.0045643828485913,-0.0015415077079627617,0.20545143673778174
2016-03-12,spx,0.0,0.723404255319149,1,0.3841055340722079,-0.0066550220045081,-0.002556230781303879,0.07526388348404917
2016-03-12,ndx,0.0,0.723404255319149,1,0.3596315886912381,-0.0012015879097585,-0.0004321289689386334,0.09287540131513222
2016-03-12,dax,0.0,0.723404255319149,1,0.3852952305681562,-0.0099941713229085,-0.003850706544197685,0.1463973958435487
2016-03-12,sx5e,0.0,0.723404255319149,1,0.2416853592291214,-0.0238710752768999,-0.005769289403482951,0.09603997168577225
2016-03-19,spx,1.0,0.6986301369863014,1,0.2513283480462434,0.018094835800662,0.004547745189948404,0.1327771860259645
