date,base_corr_26w,combo_corr_26w,base_corr_52w,combo_corr_52w
2017-11-25,0.9907460083472033,0.9907460083472033,0.9237697560282118,0.9237697560282118
2017-12-02,0.9905508634972215,0.9905508634972215,0.9491182535230531,0.9491182535230531
2017-12-09,0.9918418824025712,0.9918418824025712,0.9498499733121543,0.9498499733121543
2017-12-16,0.9893217323087322,0.9893217323087322,0.9585620250351224,0.9585620250351224
2017-12-23,0.9918562685918061,0.9918562685918061,0.9850578756077135,0.9850578756077135
2017-12-30,0.9920837883324308,0.9920837883324308,0.9880974179264236,0.9880974179264236
2018-01-06,0.9925412265400781,0.9925412265400781,0.9881035627581244,0.9881035627581244
2018-01-13,0.9923118858454442,0.9923118858454442,0.9880876849456968,0.9880876849456968
2018-01-20,0.9954759725083157,0.9954759725083157,0.9906296380381979,0.9906296380381979
2018-01-27,0.9937420059952768,0.9937420059952768,0.990817340505244,0.990817340505244
2018-02-03,0.9620169125590632,0.9620169125590632,0.9694337353092525,0.9694337353092525
2018-02-10,0.9463000902929863,0.9463000902929863,0.9585068415342377,0.9585068415342377
2018-02-17,0.9383978410527828,0.9383978410527828,0.95200735908852,0.95200735908852
2018-02-24,0.9196972988991122,0.9196972988991122,0.9367324935571377,0.9367324935571377
2018-03-03,0.9176383660946107,0.9176383660946107,0.9358547599756424,0.9358547599756424
2018-03-10,0.9164218252366513,0.9164218252366513,0.9304476814569592,0.9304476814569592
2018-03-17,0.9143947028056695,0.9143947028056695,0.928183953117635,0.928183953117635
2018-03-24,0.9136162973217276,0.9136162973217276,0.9274860419033262,0.9274860419033262
2018-03-31,0.9141119066422165,0.9141119066422165,0.9264312583167625,0.9264312583167625
2018-04-07,0.9137821571788183,0.9137821571788183,0.9256543089762188,0.9256543089762188
2018-04-14,0.9144327731572816,0.9144327731572816,0.9229012058454721,0.9229012058454721
2018-04-21,0.9157266456446368,0.9157266456446368,0.9226683472445912,0.9226683472445912
2018-04-28,0.9164193338794693,0.9164193338794693,0.9238359596769146,0.9238359596769146
2018-05-05,0.9159840430990335,0.9159840430990335,0.9233400265847336,0.9233400265847336
2018-05-12,0.9159927728148428,0.9159927728148428,0.9233482320169657,0.9233482320169657
2018-05-19,0.9145501158958713,0.9145501158958713,0.921872337312389,0.921872337312389
2018-05-26,0.9156734049626551,0.9156734049626551,0.9217068566706715,0.9217068566706715
2018-06-02,0.9157076240328217,0.9157076240328217,0.9215873011351415,0.9215873011351415
2018-06-09,0.9172369503003711,0.9172369503003711,0.9228107304384499,0.9228107304384499
2018-06-16,0.9187248964588989,0.9187248964588989,0.9220453402460295,0.9220453402460295
2018-06-23,0.9224970787311862,0.9224970787311862,0.9229336596451317,0.9229336596451317
2018-06-30,0.9225181265816799,0.9225181265816799,0.920455518020977,0.920455518020977
2018-07-07,0.9236292985452718,0.9236292985452718,0.9199969861562206,0.9199969861562206
