date,n_assets,port_ret,avg_p_up,avg_gross
2010-01-09,4,-0.0022435753114365227,0.5911987256073278,0.06019532913761244
2010-01-16,4,-0.0039516882852462885,0.7168033926585095,0.18306175583715947
2010-01-23,4,-0.0017643524105123139,0.5338624338624338,0.0808434102737143
2010-01-30,4,-0.0013118643203455039,0.5144974453573465,0.1658429732842399
2010-02-06,4,0.0034631698530866004,0.6146341463414633,0.09869454733768196
2010-02-13,4,0.0012678940416703509,0.42872165065651113,0.11707958910271685
2010-02-20,4,-0.000863332394583746,0.5201131363922061,0.12384551230749552
2010-02-27,4,-0.0017665612766184877,0.4205128205128205,0.14312580252120333
2010-03-06,4,0.0005743931007388173,0.6292808219178082,0.11544424077881078
2010-03-13,4,0.0014244360422822244,0.6221577164973391,0.11186318573345168
2010-03-20,4,0.0017236924930059791,0.6341876359117737,0.14840271979097938
2010-03-27,4,0.0015339008288243292,0.6121395348837209,0.1873594450413723
2010-04-03,4,0.001091388064235897,0.4483247422680412,0.22803593522145044
2010-04-10,4,-0.0013199556581404192,0.48114499210990436,0.12596523734085424
2010-04-17,4,0.005236028996303914,0.4369230769230769,0.2069612517899778
2010-04-24,4,0.0029461499259419164,0.5366817226365046,0.09578240879014871
2010-05-01,4,-0.000111759472764696,0.5545967939948789,0.07652544172247702
2010-05-08,4,0.0012688780063875404,0.4727130977130977,0.06838178397297098
2010-05-15,4,0.0018953053264592313,0.999999,0.14862008666372206
2010-05-22,4,0.0004319747901495312,0.5179768495444892,0.06977499780825966
2010-05-29,4,0.001886173446966549,0.6510067114093959,0.08912510114636436
2010-06-05,4,0.0031979646638407256,0.6395981652724133,0.10072252409670959
2010-06-12,4,0.005939397583326945,0.4169867549668874,0.19038856432347445
2010-06-19,4,-0.0046487988864322306,0.6419699950811608,0.09675313473818697
2010-06-26,4,0.001677413676973065,0.5686100058944886,0.05678959723503169
2010-07-03,4,0.0006693814358675792,0.4428725782414307,0.06415176772455088
2010-07-10,4,0.002829917059166683,0.6513805522208882,0.09162001200129598
2010-07-17,4,-3.644458066286366e-05,0.6550522648083623,0.09548355664205188
