date,n_assets,port_ret,avg_er,avg_gross
2010-02-13,4,0.010198682742587213,-0.012959350717318872,0.8830731852204576
2010-02-20,4,-0.04240429405792644,-0.018371948292472774,0.9807892456769816
2010-02-27,4,-0.009781778670704344,-0.011919160307029013,0.7638906968948631
2010-03-06,4,0.0030760037064614322,0.006424480746174016,0.6008240510458756
2010-03-13,4,0.004714834193607794,0.003735137524240582,0.3733101715515946
2010-03-20,4,-0.006936840022273972,-0.0055347040081351676,0.7187251505143475
2010-03-27,4,-0.004763555654883161,-0.002715094502891019,0.713549430301881
2010-04-03,4,0.00019921494337556305,-0.0009882842165750048,0.3586200381988322
2010-04-10,4,-0.0049259747897733176,0.0005071305799528983,0.5704133763068905
2010-04-17,4,-0.02597580490931614,0.008102502122959711,0.9832834799895909
2010-04-24,4,0.06112929012992015,-0.008115613802792809,0.7915105455704925
2010-05-01,4,0.013601328523077768,0.005589167458325518,0.46466890272676714
2010-05-08,4,-0.004560061751453327,0.004068257667736599,0.14264286541932808
2010-05-15,4,0.013173271299561418,0.04937068433640747,0.9888696849030654
2010-05-22,4,-0.0013556295774381478,0.002952830455428502,0.10334495935593135
2010-05-29,4,0.0042568844084225005,0.003815137469141569,0.17338403788668472
2010-06-05,4,0.003690978326647604,0.0015261235176295689,0.1869151711487028
2010-06-12,4,0.022849135047107564,-0.006505410337396111,0.6871339782484367
2010-06-19,4,-0.010037809352679391,0.0036656093787350305,0.21146889648506284
2010-06-26,4,0.03338504951224578,0.014149943240053515,0.6499296431984165
2010-07-03,4,-0.0017279051012470184,0.00472080544784096,0.20372642724908832
2010-07-10,4,-0.005369639063860257,-0.0038404440427187345,0.1936394394717508
2010-07-17,4,1.0011104491658093e-05,-0.002686554346466514,0.14071075390402615
2010-07-24,4,-0.009273886069124814,-0.006431755224135496,0.5189362941399753
