date,asset,y,p_up,er_te,signal_up,position,ret_fwd_1w,strat_ret,turnover
2009-06-27,ndx,0.0,0.43512755862329217,-0.0033824064242562782,0,-0.38456930170424736,-0.0182813839643776,0.007030459065367919,0.6154306982957527
2009-06-27,dax,0.0,0.3942792030695712,-0.0033824064242562782,0,-0.6921815068341646,-0.0280148931334838,0.019391390942932907,0.3078184931658354
2009-06-27,sx5e,0.0,0.4127152376706526,-0.0033824064242562782,0,-0.37801164291820316,-0.0399792971116946,0.01511263978390665,0.6219883570817968
2009-07-04,spx,1.0,0.34069798079126923,-0.011938645053869127,0,-1.0,0.0696711521617963,-0.0696711521617963,0.6657647470553714
2009-07-04,ndx,1.0,0.33494792426483794,-0.011938645053869127,0,-1.0,0.0756564119900835,-0.0756564119900835,0.6154306982957527
2009-07-04,dax,1.0,0.3372844053022296,-0.011938645053869127,0,-1.0,0.0878633658996002,-0.0878633658996002,0.3078184931658354
2009-07-04,sx5e,1.0,0.4006565130100755,-0.0035497846992807234,0,-0.39830160091565636,0.0822846673416701,-0.032774114732999425,0.0202899579974532
2009-07-11,spx,1.0,0.44103361505205835,-0.0033277433541266032,0,-0.2292577127946137,0.041344988196261,-0.009478657429395099,0.7707422872053863
2009-07-11,ndx,1.0,0.4181406634755642,-0.0033277433541266032,0,-0.26991686536913506,0.0470122965310424,-0.012689411713463227,0.7300831346308649
2009-07-11,dax,1.0,0.4751308991561742,-0.0033277433541266032,0,-0.10768786059320216,0.0504097702072954,-0.005428520306618583,0.8923121394067979
2009-07-11,sx5e,1.0,0.4136261206752989,-0.0033277433541266032,0,-0.25531017625432295,0.0459906042442899,-0.011741869275652466,0.1429914246613334
2009-07-18,spx,1.0,0.5065485568099185,-0.0008394843120112783,0,-0.014345428467741207,0.0083940934991728,-0.00012041686784391489,0.2149122843268725
2009-07-18,ndx,1.0,0.5119272336874148,-0.0008394843120112783,0,-0.0005314545361856382,0.0026890798344025,-1.4291236761585334e-06,0.2693854108329494
2009-07-18,dax,1.0,0.5530626088073782,0.0032778456831626837,1,0.16107501295353893,0.0196544127770894,0.003165834792663876,0.2687628735467411
2009-07-18,sx5e,1.0,0.569033878965104,0.0032778456831626837,1,0.21685969843951997,0.0214383063079806,0.004649104641002731,0.4721698746938429
2009-07-25,spx,1.0,0.5579217523862421,0.0027812819143871433,1,0.21559965388916674,0.0232916109693361,0.005021663263509982,0.22994508235690794
2009-07-25,ndx,1.0,0.539822683035439,0.000906842942515617,1,0.1088986228454017,0.0100601237401458,0.0010955336209562093,0.10943007738158733
2009-07-25,dax,1.0,0.5435942889162185,0.0027812819143871433,1,0.14502814551382387,0.0237840716860398,0.0034493598093941983,0.016046867439715062
2009-07-25,sx5e,1.0,0.5833162895775195,0.0027812819143871433,1,0.234658939909536,0.025809948713672,0.006056535204269764,0.017799241470016047
2009-08-01,spx,0.0,0.6305502010335112,0.0043031690650127165,1,0.49466902569634563,-0.0063237273375029,-0.0031281520408119054,0.2790693718071789
2009-08-01,ndx,0.0,0.6217498484312961,0.0043031690650127165,1,0.4261290957421985,-0.004884253684802,-0.002081322606080177,0.3172304728967968
2009-08-01,dax,0.0,0.6538160981561878,0.004353778470588991,1,0.528388451135853,-0.027450283570497,-0.014504412819054862,0.3833603056220291
2009-08-01,sx5e,0.0,0.6459335502021466,0.0043031690650127165,1,0.5028861704759726,-0.0136019983593351,-0.006840256865746491,0.2682272305664366
2009-08-08,spx,1.0,0.5919304684263609,0.003091378627061001,1,0.395356201850946,0.0219502235855353,0.008678157026556289,0.09931282384539963
2009-08-08,ndx,1.0,0.5767014088149446,0.003091378627061001,1,0.337066634360074,0.0162573375197012,0.005479806041421436,0.08906246138212448
2009-08-08,dax,1.0,0.5981918794469605,0.003819226805507363,1,0.37857162005218026,0.0289370534797734,0.010954747215374396,0.14981683108367272
2009-08-08,sx5e,1.0,0.6241940343895301,0.004678683622786843,1,0.4846620525575218,0.0285493798255045,0.013836801025473315,0.0182241179184508
2009-08-15,spx,1.0,0.6013360270573648,0.0033441827591198865,1,0.4866734768153626,0.0027286990927075,0.0013279854746308844,0.0913172749644166
2009-08-15,ndx,1.0,0.5789711996591309,0.0033441827591198865,1,0.5132295155941058,0.0033337810939197,0.0017109948559291958,0.1761628812340318
2009-08-15,dax,1.0,0.5603711423702217,0.0020536732522517826,1,0.27187511001095477,0.0099968147852544,0.002717885119500179,0.10669651004122549
2009-08-15,sx5e,1.0,0.5772737746808154,0.0033441827591198865,1,0.36019711774838586,0.0211354812392101,0.007612939424588561,0.12446493480913595
2009-08-22,spx,0.0,0.752703536368981,0.02458399062987758,1,1.0,-0.0121776991632084,-0.0121776991632084,0.5133265231846373
2009-08-22,ndx,0.0,0.7461101267487947,0.02458399062987758,1,1.0,-0.0031462233149144,-0.0031462233149144,0.4867704844058942
2009-08-22,dax,0.0,0.7658944048277843,0.030364730213678782,1,1.0,-0.0240912757030096,-0.0240912757030096,0.7281248899890452
2009-08-22,sx5e,0.0,0.7717374826865968,0.030364730213678782,1,1.0,-0.0215112442708611,-0.0215112442708611,0.6398028822516142
2009-08-29,spx,1.0,0.660709545275959,0.005081190584758714,1,0.728706019332247,0.02590515545061,0.018877242708597072,0.271293980667753
2009-08-29,ndx,1.0,0.6618396025273098,0.005081190584758714,1,0.8159626820266637,0.0289303875902739,0.0236061166502308,0.18403731797333633
2009-08-29,dax,1.0,0.6748122076734837,0.005081190584758714,1,0.6911850911673885,0.0444968176761515,0.030755536982149435,0.30881490883261153
2009-08-29,sx5e,1.0,0.694843943081275,0.011196375026909195,1,0.9386636345620752,0.0320886218988532,0.030120422459665744,0.061336365437924756
2009-09-05,spx,1.0,0.5727128419462222,0.0027171029945946,1,0.3528050333876673,0.0245221677711391,0.008651544219234709,0.3759009859445797
2009-09-05,ndx,1.0,0.5928707044746206,0.0042347276007085825,1,0.5341831812779809,0.0236018653661314,0.012607719525374669,0.28177950074868274
2009-09-05,dax,1.0,0.5708766068664111,0.0027171029945946,1,0.29746977068568947,0.0141909168175076,0.00422136877152368,0.393715320481699
2009-09-05,sx5e,1.0,0.5403747325654743,-0.0004274397698712229,0,0.057369378674904575,0.0197324969890899,0.0011320410919685127,0.8812942558871707
2009-09-12,spx,0.0,0.6869318587448547,0.01580727019639618,1,1.0,-0.0223907142188521,-0.0223907142188521,0.6471949666123327
2009-09-12,ndx,0.0,0.6846789258074315,0.013125213405087868,1,1.0,-0.0180206811805893,-0.0180206811805893,0.4658168187220191
2009-09-12,dax,0.0,0.716884385947462,0.016275259523453437,1,1.0,-0.0214627715061633,-0.0214627715061633,0.7025302293143105
2009-09-12,sx5e,0.0,0.694251624539173,0.016275259523453437,1,1.0,-0.0191497762569097,-0.0191497762569097,0.9426306213250955
2009-09-19,spx,0.0,0.7490796813828463,0.02240607823458755,1,1.0,-0.0183553878856355,-0.0183553878856355,0.0
2009-09-19,ndx,0.0,0.7371935577500982,0.012532372923385353,1,1.0,-0.0186878375586577,-0.0186878375586577,0.0
2009-09-19,dax,0.0,0.7209208468245785,0.012532372923385353,1,1.0,-0.0203371549483016,-0.0203371549483016,0.0
2009-09-19,sx5e,0.0,0.736335804470249,0.012532372923385353,1,1.0,-0.0251946538604141,-0.0251946538604141,0.0
2009-09-26,spx,1.0,0.6670180801340896,0.004976376990433583,1,0.5614913894902122,0.0451419709132763,0.02534682797242225,0.43850861050978784
2009-09-26,ndx,1.0,0.6710415328874125,0.004976376990433583,1,0.5698883811658904,0.0392603865286407,0.02237403812275418,0.43011161883410964
2009-09-26,dax,1.0,0.627892386598383,0.00418322855513862,1,0.46604656254253096,0.0446204210025786,0.020795193827452308,0.533953437457469
2009-09-26,sx5e,1.0,0.6671285767368007,0.004976376990433583,1,0.5363817607663992,0.0440411504745346,0.023622869837708806,0.4636182392336008
2009-10-03,spx,1.0,0.6157063727868688,0.004159626220664213,1,0.42790426254114167,0.0151098003714453,0.006465547985087169,0.1335871269490705
2009-10-03,ndx,1.0,0.6140160981258527,0.0036849107703656727,1,0.413842011654408,0.0066907440848265,0.0027689109915294296,0.15604636951148237
2009-10-03,dax,1.0,0.6627833868441714,0.005337200537556022,1,0.5929376756380996,0.0055165724770127,0.0032709836620090243,0.12689111309556866
2009-10-03,sx5e,1.0,0.622123861875316,0.004215133114550413,1,0.4199094103815334,0.0039379913815238,0.0016535996391032189,0.11647235038486581
2009-10-10,spx,0.0,0.698610552503405,0.010568821945420043,1,0.9580980177415974,-0.007428655486908,-0.007117380096491796,0.5301937552004558
2009-10-10,ndx,1.0,0.6775864760976248,0.010568821945420043,1,0.9806865263039878,0.0082273532184993,0.008068454448526012,0.5668445146495797
2009-10-10,dax,0.0,0.7045916836522743,0.010568821945420043,1,0.9599701404806534,-0.0005467154415772,-0.0005248304992538071,0.3670324648425538
2009-10-10,sx5e,0.0,0.7025067600257501,0.010568821945420043,1,0.8855886771897528,-0.0025747097835516,-0.002280133831362976,0.46567926680821936
2009-10-17,spx,0.0,0.6919515626092911,0.007360235521149733,1,0.8076786862613177,-0.0402000741015189,-0.0324687430379224,0.15041933148027975
2009-10-17,ndx,0.0,0.6712733087420671,0.005756678027816647,1,0.7219094124938374,-0.049326254683143,-0.03560908753882916,0.25877711381015034
