Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
14/02/2013,9130,9130,9080,9130,2140,301096,XU1 Index,Future,SGX,USD,1,1,1,9130,9130,9130,327.71303503726676,554,0.0237,,1
15/02/2013,9130,9130,9080,9120,2140,301086,XU1 Index,Future,SGX,USD,1,1,1,9120,9120,9140,308.42584197826744,555,0.0237,,1
18/02/2013,9195,9200,9030,9050,70723,299115,XU1 Index,Future,SGX,USD,1,1,1,9050,9050,9085,302.15379637970756,556,0.0237,,1
19/02/2013,9050,9055,8840,8855,63953,289340,XU1 Index,Future,SGX,USD,1,1,1,8855,8855,8895,293.78038849907887,557,0.0237,,1
20/02/2013,8850,8885,8725,8830,73128,272140,XU1 Index,Future,SGX,USD,1,1,1,8830,8830,8845,277.29542008479507,558,0.0237,,1
21/02/2013,8835,8835,8425,8500,106051,258331,XU1 Index,Future,SGX,USD,1,1,1,8500,8500,8520,268.3370082564142,559,0.0237,,1
22/02/2013,8495,8520,8360,8425,73122,223962,XU1 Index,Future,SGX,USD,1,1,1,8425,8425,8455,274.6820889683252,560,0.0237,,1
25/02/2013,8445,8605,8445,8495,979985,156074,XU1 Index,Future,SGX,USD,1,1,1,8495,8460,8495,279.3866794725003,561,0.0237,,1
26/02/2013,8495,8590,8360,8360,161761,235378,XU1 Index,Future,SGX,USD,1,1,1,8360,8315,8360,294.2486193680491,562,0.0237,,1
27/02/2013,8345,8545,8310,8475,86059,255135,XU1 Index,Future,SGX,USD,1,1,1,8475,8480,8475,301.02948360584725,563,0.0237,,1
28/02/2013,8475,8785,8475,8775,65482,259656,XU1 Index,Future,SGX,USD,1,1,1,8775,8775,8795,294.33894860631284,564,0.0237,,1
01/03/2013,8795,8825,8590,8715,54470,262352,XU1 Index,Future,SGX,USD,1,1,1,8715,8715,8740,285.8127300640572,565,0.0237,,1
04/03/2013,8705,8740,8230,8295,91133,263771,XU1 Index,Future,SGX,USD,1,1,1,8295,8295,8315,311.7434842943845,566,0.0237,,1
05/03/2013,8285,8550,8240,8505,78772,260841,XU1 Index,Future,SGX,USD,1,1,1,8505,8505,8515,321.60768025655625,567,0.0237,,1
06/03/2013,8510,8670,8495,8625,46922,252480,XU1 Index,Future,SGX,USD,1,1,1,8625,8625,8645,324.00385800172734,568,0.0237,,1
07/03/2013,8605,8640,8395,8500,55988,247041,XU1 Index,Future,SGX,USD,1,1,1,8500,8500,8525,330.95606455641564,569,0.0237,,1
08/03/2013,8505,8580,8455,8515,59262,243340,XU1 Index,Future,SGX,USD,1,1,1,8515,8515,8520,327.9388916653079,570,0.0237,,1
11/03/2013,8510,8555,8370,8415,52620,239703,XU1 Index,Future,SGX,USD,1,1,1,8415,8415,8425,325.35557471788337,571,0.0237,,1
12/03/2013,8415,8520,8245,8295,77039,240552,XU1 Index,Future,SGX,USD,1,1,1,8295,8295,8300,327.48129717589137,572,0.0237,,1
13/03/2013,8290,8325,8170,8205,46896,234839,XU1 Index,Future,SGX,USD,1,1,1,8205,8205,8210,325.8908303916176,573,0.0237,,1
14/03/2013,8210,8260,8140,8250,61027,236095,XU1 Index,Future,SGX,USD,1,1,1,8250,8250,8255,326.0932893104952,574,0.0237,,1
15/03/2013,8220,8440,8090,8165,107617,239933,XU1 Index,Future,SGX,USD,1,1,1,8165,8165,8210,327.0044597045612,575,0.0237,,1
18/03/2013,8165,8170,8045,8060,111995,225272,XU1 Index,Future,SGX,USD,1,1,1,8060,8060,8065,329.61176657800354,576,0.0237,,1
19/03/2013,8040,8175,8025,8100,63712,216960,XU1 Index,Future,SGX,USD,1,1,1,8100,8100,8120,323.991126421706,577,0.0237,,1
20/03/2013,8100,8450,8045,8435,112277,215469,XU1 Index,Future,SGX,USD,1,1,1,8435,8435,8440,301.3175235528229,578,0.0237,,1
