Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
31/08/2022,21925,21990,21440,21568,22167,94280,Future,MIL,EUR,5,25,5,109145,ST1 Index,431.92083379784697,4537,0.0089,,
01/09/2022,21405,21525,21220,21288,24080,95201,Future,MIL,EUR,5,25,5,107840,ST1 Index,449.07240693303294,4538,0.0089,,
02/09/2022,21435,21955,21295,21923,28735,98251,Future,MIL,EUR,5,25,5,106440,ST1 Index,448.36306716985604,4539,0.0089,,
05/09/2022,21260,21555,21245,21499,15751,95055,Future,MIL,EUR,5,25,5,109615,ST1 Index,482.72090970728414,4540,0.0089,,
06/09/2022,21460,21625,21310,21486,19995,96962,Future,MIL,EUR,5,25,5,107495,ST1 Index,512.7080975909151,4541,0.0089,,
07/09/2022,21290,21635,21255,21518,17635,96491,Future,MIL,EUR,5,25,5,107430,ST1 Index,537.101101595683,4542,0.0089,,
08/09/2022,21665,21730,21195,21679,25884,99255,Future,MIL,EUR,5,25,5,107590,ST1 Index,546.8769453316687,4543,0.0089,,
09/09/2022,21695,22175,21650,22090,26423,101553,Future,MIL,EUR,5,25,5,108395,ST1 Index,541.6631240927927,4544,0.0089,,
12/09/2022,22245,22680,22175,22607,37605,102987,Future,MIL,EUR,5,25,5,110450,ST1 Index,542.3920783608761,4545,0.0089,,
13/09/2022,22615,22895,22110,22325,49316,101983,Future,MIL,EUR,5,25,5,113035,ST1 Index,532.7526067528573,4546,0.0089,,
14/09/2022,22120,22505,22080,22425,40226,66625,Future,MIL,EUR,5,25,5,111625,ST1 Index,531.5262615042001,4547,0.0089,,
15/09/2022,22390,22570,22255,22398,23991,36878,Future,MIL,EUR,5,25,5,112125,ST1 Index,523.0367163676291,4548,0.0089,,
16/09/2022,22170,22250,22020,22063,160,23105,Future,MIL,EUR,5,25,5,111990,ST1 Index,505.36669854865397,4549,0.0089,,
19/09/2022,21950,22175,21660,22052,15577,79061,Future,MIL,EUR,5,25,5,110315,ST1 Index,476.63717857713027,4550,0.0089,,
20/09/2022,22180,22275,21500,21665,20400,80685,Future,MIL,EUR,5,25,5,110260,ST1 Index,448.9214036650909,4551,0.0089,,
21/09/2022,21570,22095,21505,21923,16917,79898,Future,MIL,EUR,5,25,5,108325,ST1 Index,426.75373460811085,4552,0.0089,,
22/09/2022,21600,22085,21560,21698,21821,82541,Future,MIL,EUR,5,25,5,109615,ST1 Index,383.5580138674874,4553,0.0089,,
23/09/2022,21715,21775,20855,20970,32385,87388,Future,MIL,EUR,5,25,5,108490,ST1 Index,416.2237258998743,4554,0.0089,,
26/09/2022,20845,21290,20805,21124,30236,88751,Future,MIL,EUR,5,25,5,104850,ST1 Index,442.9568564416197,4555,0.0089,,
27/09/2022,21265,21390,20630,20896,26672,85720,Future,MIL,EUR,5,25,5,105620,ST1 Index,473.0003805516196,4556,0.0089,,
28/09/2022,20680,21005,20375,20776,42056,91689,Future,MIL,EUR,5,25,5,104480,ST1 Index,499.43417984953635,4557,0.0089,,
29/09/2022,20815,20820,20080,20251,30526,87821,Future,MIL,EUR,5,25,5,103880,ST1 Index,561.7143461481543,4558,0.0089,,
30/09/2022,20250,20590,20240,20529,30373,88481,Future,MIL,EUR,5,25,5,101255,ST1 Index,603.4564331156397,4559,0.0089,,
03/10/2022,20305,20975,20245,20841,28751,89665,Future,MIL,EUR,5,25,5,102645,ST1 Index,620.9202793719325,4560,0.0089,,
04/10/2022,21080,21575,21070,21551,26315,90899,Future,MIL,EUR,5,25,5,104205,ST1 Index,618.7030790306329,4561,0.0089,,
05/10/2022,21485,21515,21065,21233,25578,90702,Future,MIL,EUR,5,25,5,107755,ST1 Index,622.2709083151159,4562,0.0089,,
06/10/2022,21520,21520,20935,21059,24640,92282,Future,MIL,EUR,5,25,5,106165,ST1 Index,627.9843602102309,4563,0.0089,,
07/10/2022,20975,21150,20655,20806,26232,94368,Future,MIL,EUR,5,25,5,105295,ST1 Index,639.4705544448371,4564,0.0089,,
10/10/2022,20630,20870,20500,20823,22230,93867,Future,MIL,EUR,5,25,5,104030,ST1 Index,653.5876707338667,4565,0.0089,,
11/10/2022,20715,20740,20395,20625,26211,95067,Future,MIL,EUR,5,25,5,104115,ST1 Index,675.1227616776983,4566,0.0089,,
12/10/2022,20620,20730,20310,20390,23792,95981,Future,MIL,EUR,5,25,5,103125,ST1 Index,706.4556768370707,4567,0.0089,,
13/10/2022,20330,20890,20080,20672,36315,100706,Future,MIL,EUR,5,25,5,101950,ST1 Index,718.0209908737521,4568,0.0089,,
14/10/2022,20985,21210,20690,20860,35826,102548,Future,MIL,EUR,5,25,5,103360,ST1 Index,707.3841554172147,4569,0.0089,,
17/10/2022,20840,21285,20750,21216,19648,97549,Future,MIL,EUR,5,25,5,104300,ST1 Index,653.1247762375333,4570,0.0089,,
18/10/2022,21410,21730,21370,21420,21662,99606,Future,MIL,EUR,5,25,5,106080,ST1 Index,614.8347257613185,4571,0.0089,,
19/10/2022,21540,21575,21240,21372,16656,98679,Future,MIL,EUR,5,25,5,107100,ST1 Index,561.9733178737199,4572,0.0089,,
20/10/2022,21335,21655,21270,21584,18249,96821,Future,MIL,EUR,5,25,5,106860,ST1 Index,508.8399781221316,4573,0.0089,,
21/10/2022,21375,21685,21145,21466,19265,98059,Future,MIL,EUR,5,25,5,107920,ST1 Index,476.5020916379403,4574,0.0089,,
24/10/2022,21595,22045,21465,21898,20492,98499,Future,MIL,EUR,5,25,5,107330,ST1 Index,464.6940678216858,4575,0.0089,,
25/10/2022,21965,22215,21755,22182,15264,98087,Future,MIL,EUR,5,25,5,109490,ST1 Index,500.71865021053986,4576,0.0089,,
26/10/2022,22100,22315,22030,22298,16683,97438,Future,MIL,EUR,5,25,5,110910,ST1 Index,530.3128007776775,4577,0.0089,,
27/10/2022,22235,22540,22080,22491,19917,98218,Future,MIL,EUR,5,25,5,111490,ST1 Index,585.7938146953504,4578,0.0089,,
28/10/2022,22340,22600,22140,22441,17922,96355,Future,MIL,EUR,5,25,5,112455,ST1 Index,636.2266813031312,4579,0.0089,,
31/10/2022,22515,22625,22350,22543,13298,94438,Future,MIL,EUR,5,25,5,112205,ST1 Index,687.4132017949572,4580,0.0089,,
01/11/2022,22720,23005,22620,22677,19536,97292,Future,MIL,EUR,5,25,5,112715,ST1 Index,735.5946392785405,4581,0.0089,,
02/11/2022,22770,22875,22485,22709,15977,97677,Future,MIL,EUR,5,25,5,113385,ST1 Index,772.3086127548523,4582,0.0089,,
03/11/2022,22500,22620,22400,22597,16384,99084,Future,MIL,EUR,5,25,5,113545,ST1 Index,764.6256556873581,4583,0.0089,,
04/11/2022,22725,23295,22550,23184,33231,106750,Future,MIL,EUR,5,25,5,112985,ST1 Index,803.0255869742384,4584,0.0089,,
07/11/2022,23155,23425,23045,23383,18119,105085,Future,MIL,EUR,5,25,5,115920,ST1 Index,857.082940367297,4585,0.0089,,
08/11/2022,23380,23630,23265,23606,12816,103415,Future,MIL,EUR,5,25,5,116915,ST1 Index,933.4253674872192,4586,0.0089,,
09/11/2022,23480,23740,23480,23685,16593,105516,Future,MIL,EUR,5,25,5,118030,ST1 Index,995.763698542639,4587,0.0089,,
