Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate
30/09/2011,39.85,42.15,39.45,42.15,23070,47681,UX1 Index,Future,CBF,USD,0.05,50,1000,42150,42.15,37.75,3.0472364529191602,1500,,0.0004,,1
03/10/2011,42.1,45.05,41.15,45.05,24292,48012,UX1 Index,Future,CBF,USD,0.05,50,1000,45050,45.05,40.55,3.500535673293342,1501,,0.0004,,1
04/10/2011,45.85,46.3,40.35,40.8,29810,46352,UX1 Index,Future,CBF,USD,0.05,50,1000,40800,40.8,38.1,3.5519267072016785,1502,,0.0004,,1
05/10/2011,40.5,40.8,38.1,38.45,21206,46730,UX1 Index,Future,CBF,USD,0.05,50,1000,38450,38.45,36.3,3.4402495064552885,1503,,0.0004,,1
06/10/2011,38.1,39.25,37.45,37.85,13208,48581,UX1 Index,Future,CBF,USD,0.05,50,1000,37850,37.85,35.9,3.322388698913152,1504,,0.0004,,1
07/10/2011,37.85,39.05,36.46,37.95,18221,48922,UX1 Index,Future,CBF,USD,0.05,50,1000,37950,37.95,35.95,3.184373303074321,1505,,0.0004,,1
10/10/2011,36.55,36.65,34.6,34.7,12310,48922,UX1 Index,Future,CBF,USD,0.05,50,1000,34700,34.7,33.65,3.1780130060567395,1506,,0.0004,,1
11/10/2011,33.65,34.5,33.4,33.5,14385,45962,UX1 Index,Future,CBF,USD,0.05,50,1000,33500,34.5,33.5,3.246943434472767,1507,,0.0004,,1
12/10/2011,33.6,33.6,30.95,32.25,24127,42066,UX1 Index,Future,CBF,USD,0.05,50,1000,32250,32.25,31.45,3.3132624908588935,1508,,0.0004,,1
13/10/2011,31.8,32.55,31.1,31.2,14419,42484,UX1 Index,Future,CBF,USD,0.05,50,1000,31200,32.1,31.2,3.476915539190711,1509,,0.0004,,1
14/10/2011,30.75,30.76,29.35,29.35,15197,40795,UX1 Index,Future,CBF,USD,0.05,50,1000,29350,29.75,29.35,3.7546781930456516,1510,,0.0004,,1
17/10/2011,30.05,34.3,29.75,34.2,23536,36850,UX1 Index,Future,CBF,USD,0.05,50,1000,34200,34.2,32.95,3.757134324632616,1511,,0.0004,,1
18/10/2011,34.85,35.05,30.65,32.15,23266,36850,UX1 Index,Future,CBF,USD,0.05,50,1000,32150,32.15,31,3.82653346167685,1512,,0.0004,,1
19/10/2011,31.25,34.05,30.7,33.85,32402,45395,UX1 Index,Future,CBF,USD,0.05,50,1000,33850,33.85,31.55,3.8320120911429747,1513,,0.0004,,1
20/10/2011,33.1,35.15,32.95,34.1,16647,45222,UX1 Index,Future,CBF,USD,0.05,50,1000,34100,34.1,31.55,3.786404406997833,1514,,0.0004,,1
21/10/2011,32.86,33,31.5,31.6,13036,45382,UX1 Index,Future,CBF,USD,0.05,50,1000,31600,31.6,30,3.798259469809728,1515,,0.0004,,1
24/10/2011,31.7,31.8,29.7,29.75,14224,47074,UX1 Index,Future,CBF,USD,0.05,50,1000,29750,29.75,28.85,3.9617304720705864,1516,,0.0004,,1
25/10/2011,29.45,32.45,29.45,32.4,17467,47244,UX1 Index,Future,CBF,USD,0.05,50,1000,32400,32.4,30.25,3.980289981060756,1517,,0.0004,,1
26/10/2011,31.6,33.15,30.35,30.5,14913,48419,UX1 Index,Future,CBF,USD,0.05,50,1000,30500,30.5,29.2,4.123358259153898,1518,,0.0004,,1
27/10/2011,28.3,28.3,26,26.2,27459,53237,UX1 Index,Future,CBF,USD,0.05,50,1000,26200,26.2,25.8,4.487647862002181,1519,,0.0004,,1
28/10/2011,26.85,27.15,25.9,26.25,12526,51908,UX1 Index,Future,CBF,USD,0.05,50,1000,26250,26.25,25.55,4.747834594142136,1520,,0.0004,,1
31/10/2011,27,30.05,27,29.95,16141,50892,UX1 Index,Future,CBF,USD,0.05,50,1000,29950,29.95,28.2,4.799631062210185,1521,,0.0004,,1
01/11/2011,32.2,35.3,32.2,33.95,36802,51375,UX1 Index,Future,CBF,USD,0.05,50,1000,33950,33.95,31.25,4.774137793012076,1522,,0.0004,,1
02/11/2011,33.6,34.15,32.4,32.7,12924,45696,UX1 Index,Future,CBF,USD,0.05,50,1000,32700,32.7,30.4,4.657119997022436,1523,,0.0004,,1
03/11/2011,32.35,34.05,30.7,30.95,14403,44303,UX1 Index,Future,CBF,USD,0.05,50,1000,30950,30.95,29.25,4.591638233426748,1524,,0.0004,,1
04/11/2011,31.45,33.1,30.58,31.4,10141,43237,UX1 Index,Future,CBF,USD,0.05,50,1000,31400,31.4,29.85,4.255674642952204,1525,,0.0004,,1
07/11/2011,31.4,32.6,30.85,31.1,10216,43410,UX1 Index,Future,CBF,USD,0.05,50,1000,31100,31.1,29.75,3.4882756007326097,1526,,0.0004,,1
08/11/2011,29.3,30.1,28.3,28.35,19997,40609,UX1 Index,Future,CBF,USD,0.05,50,1000,28350,28.9,28.35,3.15401595853073,1527,,0.0004,,1
09/11/2011,30.45,33.55,30.1,33.45,23605,46069,UX1 Index,Future,CBF,USD,0.05,50,1000,33450,36.45,33.45,2.8875277776441473,1528,,0.0004,,1
10/11/2011,31.75,33.15,31.2,31.5,21836,46712,UX1 Index,Future,CBF,USD,0.05,50,1000,31500,33.45,31.5,2.61680785181741,1529,,0.0004,,1
11/11/2011,30.7,30.7,29.75,30.2,11123,46712,UX1 Index,Future,CBF,USD,0.05,50,1000,30200,31.4,30.2,2.2878792946015802,1530,,0.0004,,1
14/11/2011,30.7,31.42,30.45,30.75,18312,50804,UX1 Index,Future,CBF,USD,0.05,50,1000,30750,32.1,30.75,2.186202948798055,1531,,0.0004,,1
15/11/2011,31.75,32,30.3,30.7,32350,65111,UX1 Index,Future,CBF,USD,0.05,50,1000,30700,32.05,30.7,2.13807156101006,1532,,0.0004,,1
16/11/2011,31.35,32.7,30.38,32.65,20904,65282,UX1 Index,Future,CBF,USD,0.05,50,1000,32650,32.65,33.6,2.148103814995912,1533,,0.0004,,1
17/11/2011,32.45,34.25,31.9,33.75,26356,65164,UX1 Index,Future,CBF,USD,0.05,50,1000,33750,33.75,34.65,2.2093551095285653,1534,,0.0004,,1
18/11/2011,32.75,33.6,32.3,32.35,21507,64600,UX1 Index,Future,CBF,USD,0.05,50,1000,32350,32.35,33.75,2.182028872402921,1535,,0.0004,,1
21/11/2011,34.25,34.3,32.6,32.95,20590,64612,UX1 Index,Future,CBF,USD,0.05,50,1000,32950,32.95,34.35,2.128624360160016,1536,,0.0004,,1
22/11/2011,32.65,33.35,31.95,32.3,17773,64337,UX1 Index,Future,CBF,USD,0.05,50,1000,32300,32.3,33.85,2.131212487450896,1537,,0.0004,,1
23/11/2011,32.9,33.7,32.65,32.3,15979,65396,UX1 Index,Future,CBF,USD,0.05,50,1000,32300,32.3,33.85,2.077193619606345,1538,,0.0004,,1
24/11/2011,32.9,33.7,32.65,33.6,15979,65396,UX1 Index,Future,CBF,USD,0.05,50,1000,33600,33.6,35.05,2.051194773784289,1539,,0.0004,,1
25/11/2011,34.15,34.6,33,34.5,7926,64095,UX1 Index,Future,CBF,USD,0.05,50,1000,34500,34.5,35.6,2.1505813167606482,1540,,0.0004,,1
28/11/2011,32.6,32.65,31.35,32,13490,62695,UX1 Index,Future,CBF,USD,0.05,50,1000,32000,32,33.7,2.126470079733066,1541,,0.0004,,1
29/11/2011,31.6,32.4,31.3,31.35,11103,62380,UX1 Index,Future,CBF,USD,0.05,50,1000,31350,31.35,33.2,2.1176874179160525,1542,,0.0004,,1
30/11/2011,30.5,30.5,28.25,28.35,18918,64927,UX1 Index,Future,CBF,USD,0.05,50,1000,28350,28.35,30.9,2.1990376683146278,1543,,0.0004,,1
01/12/2011,28.35,28.75,27.7,27.9,11926,64896,UX1 Index,Future,CBF,USD,0.05,50,1000,27900,27.9,30.15,2.054973641355681,1544,,0.0004,,1
02/12/2011,27.2,28,26.5,27.8,14752,65782,UX1 Index,Future,CBF,USD,0.05,50,1000,27800,27.8,29.9,1.911155845729651,1545,,0.0004,,1
05/12/2011,26.8,28.3,26.45,27.8,10995,64151,UX1 Index,Future,CBF,USD,0.05,50,1000,27800,27.8,29.7,2.02734021154154,1546,,0.0004,,1
06/12/2011,27.8,28.25,27.4,28.1,9514,63834,UX1 Index,Future,CBF,USD,0.05,50,1000,28100,28.1,29.95,2.0564674403776317,1547,,0.0004,,1
07/12/2011,28.1,29.6,27.85,28.6,15581,64355,UX1 Index,Future,CBF,USD,0.05,50,1000,28600,28.6,30.6,2.0910663149057114,1548,,0.0004,,1
08/12/2011,28.65,30.5,27.9,30.15,12493,63272,UX1 Index,Future,CBF,USD,0.05,50,1000,30150,30.15,32.1,2.0977825594342923,1549,,0.0004,,1
09/12/2011,31.45,31.7,29.5,29.55,11055,61174,UX1 Index,Future,CBF,USD,0.05,50,1000,29550,27.2,29.55,2.114034452573254,1550,,0.0004,,1
12/12/2011,27.9,29,27.35,27.6,11624,60417,UX1 Index,Future,CBF,USD,0.05,50,1000,27600,27.6,30.1,2.2125908644241905,1551,,0.0004,,1
13/12/2011,27,27.9,25.99,27.1,27124,46152,UX1 Index,Future,CBF,USD,0.05,50,1000,27100,27.1,29.9,2.2819344863514512,1552,,0.0004,,1
14/12/2011,27.25,28.3,26.8,27.1,15181,46996,UX1 Index,Future,CBF,USD,0.05,50,1000,27100,27.1,30.1,2.3153149533774946,1553,,0.0004,,1
15/12/2011,29.75,29.75,28.75,28.9,11677,45656,UX1 Index,Future,CBF,USD,0.05,50,1000,28900,26.35,28.9,2.3240015777390184,1554,,0.0004,,1
16/12/2011,28.45,29.3,27.9,28.85,13971,44902,UX1 Index,Future,CBF,USD,0.05,50,1000,28850,26.1,28.85,2.3428526059770505,1555,,0.0004,,1
19/12/2011,28.65,28.87,27.97,28.35,17460,48434,UX1 Index,Future,CBF,USD,0.05,50,1000,28350,25.6,28.35,2.371783787222914,1556,,0.0004,,1
20/12/2011,27.6,27.7,26.5,26.55,19735,55180,UX1 Index,Future,CBF,USD,0.05,50,1000,26550,23.85,26.55,2.4770563847707416,1557,,0.0004,,1
21/12/2011,26.65,27.12,24.45,24.5,19435,59713,UX1 Index,Future,CBF,USD,0.05,50,1000,24500,24.5,25.85,2.6467228163649628,1558,,0.0004,,1
22/12/2011,24.4,25.4,24,25.1,14868,58734,UX1 Index,Future,CBF,USD,0.05,50,1000,25100,25.1,26,2.6594924327774025,1559,,0.0004,,1
23/12/2011,24.75,25.95,24.55,25.1,8945,54610,UX1 Index,Future,CBF,USD,0.05,50,1000,25100,25.1,26,2.71302107130292,1560,,0.0004,,1
26/12/2011,24.75,25.95,24.55,25.7,8945,54610,UX1 Index,Future,CBF,USD,0.05,50,1000,25700,25.7,26.4,2.6665255170977993,1561,,0.0004,,1
27/12/2011,25.75,25.9,25.25,25.45,6760,52909,UX1 Index,Future,CBF,USD,0.05,50,1000,25450,25.45,26.2,2.640063130558383,1562,,0.0004,,1
28/12/2011,25.15,26.8,25.15,26.7,11358,50177,UX1 Index,Future,CBF,USD,0.05,50,1000,26700,26.7,27.1,2.5391468383429694,1563,,0.0004,,1
29/12/2011,26.5,26.55,25.8,25.95,5891,50313,UX1 Index,Future,CBF,USD,0.05,50,1000,25950,25.95,26.55,2.3214255677637268,1564,,0.0004,,1
30/12/2011,25.95,26.75,25.8,25.95,4964,50018,UX1 Index,Future,CBF,USD,0.05,50,1000,25950,25.95,26.55,1.9117509426353612,1565,,0.0004,,1
02/01/2012,25.95,26.75,25.8,26.7,4964,50018,UX1 Index,Future,CBF,USD,0.05,50,1000,26700,26.7,27.15,1.6863841990089985,1566,,0.0004,,1
03/01/2012,25.6,25.6,24.55,24.8,13106,51308,UX1 Index,Future,CBF,USD,0.05,50,1000,24800,24.8,25.8,1.5518752097598758,1567,,0.0004,,1
