Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
29/07/2014,138.4,139.78,138.32,141.51,120586,209534,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,141510,142.61,141.51,0.6926940161440868,563,0.006,,1.1308
30/07/2014,138.4,139.78,138.32,141.09,120586,209242,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,141090,142.19,141.09,0.6940477889418971,564,0.006,,1.1308
31/07/2014,138.4,139.78,138.32,140.98,120586,214954,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,140980,142.08,140.98,0.6969368694521659,565,0.006,,1.1308
01/08/2014,138.4,139.78,138.32,141.29,120586,221026,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,141290,142.39,141.29,0.6962406193276574,566,0.006,,1.1308
04/08/2014,138.4,139.78,138.32,141.36,120586,219528,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,141360,142.46,141.36,0.695269731831998,567,0.006,,1.1308
05/08/2014,138.4,139.78,138.32,140.85,120586,221783,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,140850,141.95,140.85,0.6672248496584345,568,0.006,,1.1308
06/08/2014,138.4,139.78,138.32,141.35,120586,230061,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,141350,142.45,141.35,0.6115349540309957,569,0.006,,1.1308
07/08/2014,142.52,142.96,142.49,142.84,58215,228190,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,142840,142.84,141.74,0.7532137810752431,570,0.006,,1.1308
08/08/2014,143.16,143.34,143.04,143.18,66437,225321,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143180,143.18,142.08,0.8567123204446302,571,0.006,,1.1308
11/08/2014,142.96,143.13,142.87,143.03,35652,227057,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143030,143.03,141.93,0.9144442756860118,572,0.006,,1.1308
12/08/2014,143,143.23,142.93,143.15,43130,224687,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143150,143.15,142.05,0.9848734267245779,573,0.006,,1.1308
13/08/2014,143.09,143.69,142.86,143.49,51482,226294,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143490,143.49,141.8,1.058087898050772,574,0.006,,1.1308
14/08/2014,143.7,143.98,143.66,143.83,52991,231185,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143830,143.83,142.14,1.1419964973682937,575,0.006,,1.1308
15/08/2014,143.76,144.52,143.76,144.33,49166,230135,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144330,144.33,142.64,1.2452646305108799,576,0.006,,1.1308
18/08/2014,144.23,144.23,143.62,143.69,51226,233663,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143690,143.69,142.01,1.266394883123485,577,0.006,,1.1308
19/08/2014,143.65,144.05,143.61,143.97,48747,235757,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143970,143.97,142.29,1.2868654423318522,578,0.006,,1.1308
20/08/2014,143.9,144.25,143.9,144.17,60603,231686,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144170,144.17,142.49,1.3195801099849516,579,0.006,,1.1308
