Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
29/08/2017,108.1406,108.2188,108.1406,108.1797,842413,1271103,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216359,108.2813,108.1797,0.04122474983743631,6172,0.004,,1
30/08/2017,108.1797,108.1875,108.125,108.1484,534279,1391064,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216297,108.2656,108.1484,0.04214275342007804,6173,0.004,,1
31/08/2017,108.1641,108.1797,108.125,108.1563,336608,1440292,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216313,108.2734,108.1563,0.042437887150816,6174,0.004,,1
01/09/2017,108.1563,108.2109,108.1016,108.1563,305171,1437807,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216313,108.2734,108.1563,0.04312116957858402,6175,0.004,,1
04/09/2017,108.1563,108.2109,108.1016,108.1094,305171,1437807,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216219,108.2344,108.1094,0.046358182655895315,6176,0.004,,1
05/09/2017,108.1563,108.2422,108.1328,108.2344,321027,1459018,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216469,108.3438,108.2344,0.04698623308117068,6177,0.004,,1
06/09/2017,108.2266,108.2422,108.1875,108.2031,379201,1478196,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216406,108.3281,108.2031,0.04589515478231147,6178,0.004,,1
07/09/2017,108.2109,108.2969,108.2031,108.2656,335829,1490830,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216531,108.375,108.2656,0.0477695275863908,6179,0.004,,1
08/09/2017,108.2734,108.3125,108.2422,108.2813,280492,1497281,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216563,108.4063,108.2813,0.049315847005087794,6180,0.004,,1
11/09/2017,108.2656,108.2734,108.1641,108.1875,258480,1507149,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216375,108.3203,108.1875,0.048952045573494675,6181,0.004,,1
12/09/2017,108.1797,108.1875,108.125,108.1484,263349,1489492,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216297,108.2891,108.1484,0.048952045573494675,6182,0.004,,1
13/09/2017,108.1484,108.1641,108.0938,108.1094,241184,1478312,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216219,108.2578,108.1094,0.052744106139875964,6183,0.004,,1
14/09/2017,108.1094,108.125,108.0313,108.0703,325292,1465169,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216141,108.2266,108.0703,0.05911617882744666,6184,0.004,,1
15/09/2017,108.0781,108.1016,108.0156,108.0234,297561,1467269,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216047,108.1875,108.0234,0.06566189457481099,6185,0.004,,1
18/09/2017,108.0156,108.0234,107.9766,108,247303,1487164,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,216000,108.1641,108,0.0748293676694908,6186,0.004,,1
19/09/2017,107.9844,108.0234,107.9688,107.9766,245857,1491800,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215953,108.1484,107.9766,0.08503932364390084,6187,0.004,,1
20/09/2017,107.9766,108.0156,107.8672,107.8906,322472,1498166,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215781,108.0859,107.8906,0.101108905472297,6188,0.004,,1
21/09/2017,107.8906,107.9141,107.8672,107.875,297135,1509006,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215750,108.0781,107.875,0.11412654890865233,6189,0.004,,1
22/09/2017,107.875,107.9219,107.875,107.8906,261388,1534808,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215781,108.0938,107.8906,0.12300016164945572,6190,0.004,,1
25/09/2017,107.8906,107.9531,107.875,107.9375,243338,1545581,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215875,108.1406,107.9375,0.1253076682907015,6191,0.004,,1
26/09/2017,107.9219,107.9375,107.875,107.9063,334937,1579737,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215813,108.1016,107.9063,0.129815647230138,6192,0.004,,1
27/09/2017,107.8906,107.8984,107.8281,107.8594,433409,1606253,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215719,108.0781,107.8594,0.13398693244407167,6193,0.004,,1
28/09/2017,107.8672,107.9219,107.8125,107.9141,333783,1586007,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215828,108.1172,107.9141,0.1353388878547727,6194,0.004,,1
29/09/2017,107.9063,107.9141,107.8203,107.8516,512147,1591026,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215703,108.0703,107.8516,0.1389261162120368,6195,0.004,,1
02/10/2017,107.9063,107.9141,107.8203,107.7734,512147,1591026,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215547,107.8281,107.7734,0.14946940344349544,6196,0.004,,1
03/10/2017,107.9063,107.9141,107.8203,107.7422,512147,1591026,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215484,107.8359,107.7422,0.15849552590661223,6197,0.004,,1
04/10/2017,107.9063,107.9141,107.8203,107.7344,512147,1593051,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215469,107.8281,107.7344,0.1668478040982453,6198,0.004,,1
05/10/2017,107.9063,107.9141,107.8203,107.7031,512147,1604294,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215406,107.7969,107.7031,0.17492766619109898,6199,0.004,,1
06/10/2017,107.7969,107.8047,107.7344,107.7734,441082,1615293,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215547,107.7734,107.625,0.17685495940381252,6200,0.004,,1
09/10/2017,107.7813,107.7891,107.7578,107.7656,86622,1618623,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215531,107.7656,107.6172,0.1795929014903369,6201,0.004,,1
10/10/2017,107.7734,107.8047,107.7578,107.7891,387300,1663880,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215578,107.7891,107.6406,0.17371451023363005,6202,0.004,,1
11/10/2017,107.7656,107.7891,107.75,107.7578,287319,1674728,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215516,107.7578,107.6094,0.16911643641498045,6203,0.004,,1
12/10/2017,107.75,107.7891,107.7422,107.7656,267994,1689929,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215531,107.7656,107.6172,0.15677383624942046,6204,0.004,,1
13/10/2017,107.7578,107.8203,107.7266,107.7891,349703,1715411,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215578,107.7891,107.6484,0.137842625479271,6205,0.004,,1
16/10/2017,107.7969,107.7969,107.6953,107.7031,308445,1740140,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215406,107.7031,107.5391,0.127875140921435,6206,0.004,,1
17/10/2017,107.7031,107.7266,107.6719,107.7031,314081,1735962,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215406,107.7031,107.5391,0.11812186616232125,6207,0.004,,1
